stage	backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
pso-after	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.05	0.03	0.01	52609024	4	0
pso-after	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.06	0.03	0.01	53706752	2	6
pso-after	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.06	0.04	0.01	53739520	2	6
pso-after	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.06	0.04	0.01	53460992	8	6
pso-after	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.06	0.04	0.01	53526528	8	6
pso-after	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.08	0.06	0.01	54444032	0	0
pso-after	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.08	0.06	0.01	54542336	0	0
pso-after	caat	pso	correct/litmus/SB/variants/sb0.c	6	0	0.05	0.03	0.01	52674560	4	0
pso-after	cat	pso	correct/litmus/SB/variants/sb0.c	6	0	0.05	0.03	0.01	52592640	4	0
pso-after	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.04	0.03	0.01	52510720	4	0
pso-after	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.05	0.03	0.01	52674560	4	0
pso-after	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.06	0.04	0.01	53723136	2	6
pso-after	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	6	0	0.06	0.04	0.01	53772288	2	6
pso-after	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.06	0.04	0.01	53444608	11	7
pso-after	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	6	0	0.06	0.04	0.01	53444608	11	7
pso-after	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.08	0.06	0.01	54312960	0	0
pso-after	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	6	42	0.08	0.05	0.01	54476800	0	0
pso-after	cat	sc	correct/litmus/SB/variants/sb0.c	7	0	0.05	0.03	0.01	52674560	3	0
pso-after	caat	sc	correct/litmus/SB/variants/sb0.c	7	0	0.05	0.03	0.01	52576256	3	0
pso-after	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.05	0.03	0.01	52822016	4	0
pso-after	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.05	0.03	0.01	52527104	4	0
pso-after	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.05	0.03	0.01	53739520	2	6
pso-after	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.05	0.03	0.01	53772288	2	6
pso-after	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.06	0.03	0.01	53428224	8	6
pso-after	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.05	0.03	0.01	53641216	8	6
pso-after	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	7	0	0.16	0.13	0.01	54362112	24	16
pso-after	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	7	0	0.10	0.08	0.01	54296576	24	16
pso-after	cat	tso	correct/litmus/SB/variants/sb0.c	7	0	0.05	0.03	0.01	52609024	4	0
pso-after	caat	tso	correct/litmus/SB/variants/sb0.c	7	0	0.05	0.03	0.01	52543488	4	0
pso-after	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.05	0.03	0.01	52543488	4	0
pso-after	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.05	0.03	0.01	52576256	4	0
pso-after	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.06	0.04	0.01	53706752	2	6
pso-after	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.06	0.03	0.01	53772288	2	6
pso-after	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.06	0.04	0.01	53444608	8	6
pso-after	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.06	0.04	0.01	53526528	8	6
pso-after	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.08	0.06	0.01	54525952	0	0
pso-after	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.08	0.06	0.01	54394880	0	0
pso-after	cat	pso	correct/litmus/SB/variants/sb0.c	7	0	0.05	0.03	0.01	52543488	4	0
pso-after	caat	pso	correct/litmus/SB/variants/sb0.c	7	0	0.05	0.03	0.01	52510720	4	0
pso-after	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.05	0.03	0.01	52559872	4	0
pso-after	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.05	0.03	0.01	52658176	4	0
pso-after	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.06	0.03	0.01	53919744	2	6
pso-after	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.06	0.04	0.01	53772288	2	6
pso-after	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.06	0.04	0.01	53608448	11	7
pso-after	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.06	0.04	0.01	53493760	11	7
pso-after	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.08	0.05	0.01	54525952	0	0
pso-after	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.08	0.06	0.01	54460416	0	0
pso-after	caat	sc	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52494336	3	0
pso-after	cat	sc	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52609024	3	0
pso-after	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52592640	4	0
pso-after	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52805632	4	0
pso-after	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.05	0.03	0.01	53690368	2	6
pso-after	cat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.06	0.03	0.01	53854208	2	6
pso-after	caat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.05	0.03	0.01	53575680	8	6
pso-after	cat	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.05	0.03	0.01	53444608	8	6
pso-after	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	8	0	0.10	0.08	0.01	54444032	24	16
pso-after	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	8	0	0.15	0.13	0.01	54411264	24	16
pso-after	caat	tso	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52461568	4	0
pso-after	cat	tso	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52543488	4	0
pso-after	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52658176	4	0
pso-after	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.05	0.03	0.01	52576256	4	0
pso-after	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.05	0.03	0.01	53772288	2	6
pso-after	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.06	0.03	0.01	53870592	2	6
pso-after	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.06	0.03	0.01	53542912	8	6
pso-after	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.05	0.03	0.01	53542912	8	6
pso-after	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.08	0.05	0.01	54558720	0	0
pso-after	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.08	0.06	0.01	54378496	0	0
pso-after	caat	pso	correct/litmus/SB/variants/sb0.c	8	0	0.05	0.03	0.01	52576256	4	0
pso-after	cat	pso	correct/litmus/SB/variants/sb0.c	8	0	0.04	0.03	0.01	52559872	4	0
