stage	backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
pso-before	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.08	0.06	0.02	54509568	0	0
pso-before	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.08	0.06	0.01	54575104	0	0
pso-before	cat	pso	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52609024	4	0
pso-before	caat	pso	correct/litmus/SB/variants/sb0.c	3	0	0.05	0.03	0.01	52559872	4	0
pso-before	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.06	0.03	0.02	52592640	4	0
pso-before	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.05	0.03	0.01	52527104	4	0
pso-before	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.06	0.04	0.01	53755904	2	6
pso-before	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.08	0.05	0.02	53805056	2	6
pso-before	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.07	0.04	0.01	53690368	11	7
pso-before	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.08	0.06	0.01	53608448	11	7
pso-before	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.09	0.06	0.01	54558720	0	0
pso-before	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.11	0.08	0.02	54509568	0	0
pso-before	caat	sc	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52510720	3	0
pso-before	cat	sc	correct/litmus/SB/variants/sb0.c	4	0	0.05	0.03	0.01	52854784	3	0
pso-before	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52723712	4	0
pso-before	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.05	0.03	0.01	52576256	4	0
pso-before	caat	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.11	0.04	0.02	53886976	2	6
