variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r03	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	36559	2248	10	2	13	13	1
after	pso	r03	13-privatized_69-refine-protected-loop-interval_true.yml	0	34640	2248	10	2	13	13	1
after	pso	r03	14_spin2003.yml	0	40832	2600	12	2	20	16	1
after	pso	r03	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	1
after	pso	r03	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_45-escape_racing.yml	0	41784	3832	19	2	78	63	1
after	pso	r03	28-race_reach_46-escape_racefree.yml	0	852023	5592	29	56	2166	1718	1
after	pso	r03	29_conditionals_vs.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_11-traces-max-simple_true.yml	0	271566	3304	16	20	303	253	1
after	pso	r03	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_21-traces-cluster-based_true.yml	0	2836812	6648	35	172	5641	4874	1
after	pso	r03	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	1
after	pso	r03	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	1
after	pso	r03	45_monabsex1_vs.yml	0	97576	3304	16	8	210	144	1
after	pso	r03	46_monabsex2_vs.yml	0	219225	4184	21	18	831	558	1
after	pso	r03	48_ticket_lock_low_contention_vs-pthread.yml	0	36951	2600	12	2	20	16	1
after	pso	r03	48_ticket_lock_low_contention_vs.yml	0	183835	4888	25	8	428	345	1
after	pso	r03	butterfly.yml	0	14412395070	11224	61	694890	64655580	63118065	1
after	pso	r03	circular_buffer_bad.yml	0	14622406	31880	89	476	123721	90056	1
after	pso	r03	circular_buffer_ok.yml	0	0	0	0	0	0	0	0
after	pso	r03	dekker-unfair.yml	0	1072277	6648	35	74	4327	4033	1
after	pso	r03	dekker.yml	0	1081319	6648	35	70	4168	3884	1
after	pso	r03	exponential-nondet.yml	0	0	0	0	0	0	0	1
after	pso	r03	fib_safe-5.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_safe-6.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-5.yml	0	10467701150	171752	243	96526	59081568	48653991	1
after	pso	r03	fib_unsafe-6.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-7.yml	0	0	0	0	0	0	0	0
after	pso	r03	lazy01.yml	0	439139	5592	29	36	1292	1083	1
