   BENCHMARK INFORMATION
benchmark definition:    /work/parallel-scaling/definitions/parallel-pso-t8-r5.xml
name:                    parallel-pso-t8-r5
run sets:                cat-pso.t8.r01.unreach-call, caat-pso.t8.r01.unreach-call, caat-pso.t8.r02.unreach-call, cat-pso.t8.r02.unreach-call, cat-pso.t8.r03.unreach-call, caat-pso.t8.r03.unreach-call, caat-pso.t8.r04.unreach-call, cat-pso.t8.r04.unreach-call, cat-pso.t8.r05.unreach-call, caat-pso.t8.r05.unreach-call
date:                    Tue, 2026-07-14 22:41:27 UTC
tool:                    GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /work/build/genmc-caat-llvm15noble/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=8 --v1
parallel runs:           3
resource limits:
- memory:                16000.0 MB
- time:                  480 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    a432e3073d0a
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



cat-pso.t8.r01.unreach-call
Run set 1 of 10 with options '--disable-estimation --disable-mm-detector --nthreads=8 --v1 --svcomp-backend=cat-pso' and propertyfile 'None'

inputfile                                                                                            status                       cpu time   wall time        host  executions   blocked  oracle-checks
pthread/butterfly.yml                                                                                TIMEOUT                        285.70       61.01        None        None      None           None
pthread-ext/43_NetBSD_sysmon_power_sliced.yml                                                        true                             0.08        0.08        None           0         1           None
goblint-regression/28-race_reach_06-cond_racing1.yml                                                 TIMEOUT                        121.45       61.82        None        None      None           None
pthread/queue_ok.yml                                                                                 true                             0.21        0.14        None           2      None           None
pthread/queue_ok_longer.yml                                                                          true                           117.11       55.10        None           2      None           None
pthread/queue_ok_longest.yml                                                                         TIMEOUT                        163.55       61.29        None        None      None           None
pthread/queue_longer.yml                                                                             TIMEOUT                        327.13       61.06        None        None      None           None
pthread/queue.yml                                                                                    false(unreach-call)             32.95        4.21        None           8        57           None
pthread/singleton.yml                                                                                false(unreach-call)              0.09        0.08        None           4      None           None
pthread/singleton_with-uninit-problems.yml                                                           true                             0.10        0.08        None           4      None           None
pthread-C-DAC/pthread-demo-datarace-3.yml                                                            SEGMENTATION FAULT               1.09        0.38        None        None      None           None
pthread/reorder_2.yml                                                                                false(unreach-call)              2.16        0.34        None          65        35           None
pthread/twostage_3.yml                                                                               ABORTED                          0.24        0.19        None        None      None           None
ldv-races/race-1_1-join.yml                                                                          true                             0.08        0.08        None           1      None           None
ldv-races/race-1_3-join.yml                                                                          false(unreach-call)              0.08        0.08        None           1         1           None
ldv-races/race-1_2-join.yml                                                                          false(unreach-call)              0.08        0.08        None           2      None           None
ldv-races/race-4_1-thread_local_vars.yml                                                             true                             0.08        0.09        None           0         1           None
ldv-races/race-2_1-container_of.yml                                                                  true                             0.07        0.08        None           1      None           None
ldv-races/race-3_1-container_of-global.yml                                                           true                             0.08        0.08        None           1      None           None
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run set 2                                                                                            done                          4993.11      370.75           -


caat-pso.t8.r02.unreach-call
Run set 3 of 10 with options '--disable-estimation --disable-mm-detector --nthreads=8 --v1 --svcomp-backend=caat-pso' and propertyfile 'None'

inputfile                                                                                            status                       cpu time   wall time        host  executions   blocked  oracle-checks
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
goblint-regression/13-privatized_66-mine-W-init_true.yml                                             true                             0.07        0.07        None           1      None           None
goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml                               false(unreach-call)              0.07        0.07        None           0      None           None
goblint-regression/36-apron_16-traces-unprot2_true.yml                                               true                             0.06        0.07        None           1      None           None
goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml                                   true                             0.06        0.07        None           1      None           None
