   BENCHMARK INFORMATION
benchmark definition:    /work/parallel-scaling/definitions/parallel-sc-t8-r5.xml
name:                    parallel-sc-t8-r5
run sets:                genmc-sc.t8.r01.unreach-call, cat-sc.t8.r01.unreach-call, caat-sc.t8.r01.unreach-call, cat-sc.t8.r02.unreach-call, caat-sc.t8.r02.unreach-call, genmc-sc.t8.r02.unreach-call, caat-sc.t8.r03.unreach-call, genmc-sc.t8.r03.unreach-call, cat-sc.t8.r03.unreach-call, genmc-sc.t8.r04.unreach-call, cat-sc.t8.r04.unreach-call, caat-sc.t8.r04.unreach-call, cat-sc.t8.r05.unreach-call, caat-sc.t8.r05.unreach-call, genmc-sc.t8.r05.unreach-call
date:                    Tue, 2026-07-14 19:26:45 UTC
tool:                    GenMC SV-COMP adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /work/build/genmc-caat-llvm15noble/bin/genmc
options:                 --disable-estimation --disable-mm-detector --nthreads=8 --v1
parallel runs:           3
resource limits:
- memory:                16000.0 MB
- time:                  480 s
- cpu cores:             8
hardware requirements:
- cpu cores:             8
- memory:                16000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    a432e3073d0a
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.7450880001 MB
------------------------------------------------------------



genmc-sc.t8.r01.unreach-call
Run set 1 of 15 with options '--disable-estimation --disable-mm-detector --nthreads=8 --v1 --svcomp-backend=genmc-sc' and propertyfile 'None'

inputfile                                                                                            status                       cpu time   wall time        host  executions   blocked  oracle-checks
pthread/lazy01.yml                                                                                   false(unreach-call)              0.07        0.07        None           0         3           None
pthread-deagle/circular_buffer_ok.yml                                                                true                           104.78       13.18        None        3432      None           None
pthread-atomic/szymanski.yml                                                                         true                             0.08        0.07        None           6        25           None
pthread-atomic/dekker.yml                                                                            true                             0.07        0.07        None           4         6           None
pthread-atomic/dekker-unfair.yml                                                                     true                             0.07        0.07        None           4         6           None
pthread-theta/unwind3-1.yml                                                                          false(unreach-call)              0.07        0.07        None           1      None           None
pthread-theta/exponential-nondet.yml                                                                 true                             0.07        0.07        None           1      None           None
pthread-theta/unwind2-1.yml                                                                          false(unreach-call)              0.07        0.07        None           2         1           None
pthread-theta/unwind2-100.yml                                                                        false(unreach-call)              0.08        0.08        None           2         1           None
pthread/butterfly.yml                                                                                true                            43.32        6.83        None       64560      None           None
pthread-ext/43_NetBSD_sysmon_power_sliced.yml                                                        true                             0.08        0.08        None           0         1           None
goblint-regression/28-race_reach_06-cond_racing1.yml                                                 TIMEOUT                         90.04       61.15        None        None      None           None
pthread/queue_ok.yml                                                                                 true                             0.10        0.09        None           2      None           None
pthread/queue_ok_longer.yml                                                                          true                            12.41        5.82        None           2      None           None
pthread/queue_ok_longest.yml                                                                         true                            53.49       24.72        None           2      None           None
pthread/queue_longer.yml                                                                             TIMEOUT                        436.46       61.07        None        None      None           None
pthread/queue.yml                                                                                    false(unreach-call)              3.25        0.50        None           8        56           None
pthread/singleton.yml                                                                                false(unreach-call)              0.09        0.08        None           3      None           None
pthread/singleton_with-uninit-problems.yml                                                           true                             0.09        0.08        None           4      None           None
pthread-C-DAC/pthread-demo-datarace-3.yml                                                            SEGMENTATION FAULT               0.48        0.27        None        None      None           None
pthread/reorder_2.yml                                                                                ABORTED                          0.27        0.18        None        None      None           None
pthread/twostage_3.yml                                                                               ABORTED                          0.15        0.21        None        None      None           None
ldv-races/race-1_1-join.yml                                                                          true                             0.07        0.07        None           1      None           None
ldv-races/race-1_3-join.yml                                                                          false(unreach-call)              0.08        0.09        None           2      None           None
ldv-races/race-1_2-join.yml                                                                          false(unreach-call)              0.08        0.09        None           2      None           None
ldv-races/race-4_1-thread_local_vars.yml                                                             true                             0.08        0.09        None           0         1           None
ldv-races/race-2_1-container_of.yml                                                                  true                             0.09        0.09        None           1      None           None
