variant	model	program	repetition	status	wall_seconds	user_seconds	sys_seconds	peak_rss_kib	executions	blocked
before	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.088234665	0.052281000	0.035578000	93380	8	6
after	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.079029228	0.047493000	0.031168000	93240	8	6
before	tso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.296370114	0.260088000	0.035666000	92520	0	0
after	tso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.327661631	0.294030000	0.033255000	93436	0	0
before	pso	correct/litmus/SB/variants/sb0.c	3	0	0.064038648	0.035883000	0.027594000	92776	4	0
after	pso	correct/litmus/SB/variants/sb0.c	3	0	0.055323254	0.027715000	0.027252000	92056	4	0
before	pso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.064879513	0.032195000	0.032232000	92300	4	0
after	pso	correct/litmus/RMWFix/variants/rmwfix0.c	3	0	0.061355782	0.032874000	0.027957000	92360	4	0
before	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.084399416	0.060185000	0.023846000	93044	2	6
after	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	3	0	0.093190629	0.053934000	0.038568000	93572	2	6
before	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.093882523	0.063746000	0.029625000	92576	11	7
after	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	3	0	0.103521455	0.059696000	0.043397000	93136	11	7
before	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.340407394	0.307539000	0.032364000	93768	0	0
after	pso	correct/data-structures/fcombiner-async/variants/main0.c	3	42	0.319872316	0.283664000	0.035835000	93604	0	0
after	sc	correct/litmus/SB/variants/sb0.c	4	0	0.066021419	0.037135000	0.028499000	93184	3	0
before	sc	correct/litmus/SB/variants/sb0.c	4	0	0.059354534	0.032005000	0.027017000	92796	3	0
after	sc	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.066641565	0.023906000	0.042425000	92236	4	0
before	sc	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.065793694	0.034518000	0.030900000	92232	4	0
after	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.087400611	0.058602000	0.028372000	93048	2	6
before	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.073959607	0.032107000	0.041391000	93628	2	6
after	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.073908796	0.045839000	0.027731000	92524	8	6
before	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.069956276	0.037339000	0.032070000	92528	8	6
after	sc	correct/data-structures/fcombiner-async/variants/main0.c	4	0	0.350420637	0.318867000	0.031161000	93864	24	16
before	sc	correct/data-structures/fcombiner-async/variants/main0.c	4	0	0.379507065	0.351175000	0.027762000	93188	24	16
after	tso	correct/litmus/SB/variants/sb0.c	4	0	0.067858101	0.035952000	0.031450000	92800	4	0
before	tso	correct/litmus/SB/variants/sb0.c	4	0	0.064868781	0.028317000	0.036168000	92444	4	0
after	tso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.065149940	0.032866000	0.031988000	92624	4	0
before	tso	correct/litmus/RMWFix/variants/rmwfix0.c	4	0	0.058496471	0.034406000	0.023722000	92628	4	0
after	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.075623357	0.047253000	0.028066000	92448	2	6
before	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	4	0	0.072288051	0.028967000	0.042990000	93632	2	6
after	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.082787010	0.045461000	0.036761000	93276	8	6
before	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	4	0	0.082716011	0.053934000	0.028344000	93492	8	6
