shape	outcome	mode	workers	status	elapsed_ns	gate	complete	fail_open	loads_reduced	verdict_sha256
000000	0200	rvf	2	0	54555708	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0201	baseline	1	0	51577292		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0201	rvf	1	0	52846709	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0201	rvf	2	0	51515125	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0202	baseline	1	0	51593042		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0202	rvf	1	0	57939750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0202	rvf	2	0	53294584	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0210	baseline	1	0	51430583		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0210	rvf	1	0	51312250	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0210	rvf	2	0	57508542	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0211	baseline	1	0	55769750		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0211	rvf	1	0	50658417	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0211	rvf	2	0	54822375	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0212	baseline	1	0	51226875		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0212	rvf	1	0	54130750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0212	rvf	2	0	54465917	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0220	baseline	1	0	51334667		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0220	rvf	1	0	51317500	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0220	rvf	2	0	58534500	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0221	baseline	1	0	53376209		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0221	rvf	1	0	52718500	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0221	rvf	2	0	53558750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0222	baseline	1	0	51324125		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0222	rvf	1	0	51174833	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	0222	rvf	2	0	53944750	native-fallback reason=non-atomic load instruction	16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1000	baseline	1	0	51131000		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
