variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r02	queue_ok_longer.yml	247000128	3095387000	76523016	8033	17	9838823	8395116	1
after	pso	r02	queue_ok_longest.yml	1111249733	13350474759	302799816	16033	17	38876823	33109516	1
after	pso	r02	race-1_1-join.yml	0	72986	3816	16	3	36	28	1
after	pso	r02	race-1_2-join.yml	0	305555	6312	28	13	491	379	1
after	pso	r02	race-1_3-join.yml	0	300062	6312	28	13	491	379	1
after	pso	r02	race-2_1-container_of.yml	0	0	0	0	0	0	0	1
after	pso	r02	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	1
after	pso	r02	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	1
after	pso	r02	reorder_2.yml	0	358750784	34664	82	6346	2072872	2003170	1
after	pso	r02	singleton.yml	0	657761	10264	47	20	2444	2345	1
after	pso	r02	singleton_with-uninit-problems.yml	0	2066369	10472	48	65	8011	7652	1
after	pso	r02	stateful01-1.yml	0	434052	7976	36	10	773	640	1
after	pso	r02	stateful01-2.yml	0	3800178	7976	36	123	8605	6662	1
after	pso	r02	szymanski.yml	0	8530768	6936	31	378	21489	18284	1
after	pso	r02	time_var_mutex.yml	0	613192	7352	33	22	2008	1821	1
after	pso	r02	triangular-1.yml	0	0	0	0	0	0	0	0
after	pso	r02	triangular-2.yml	0	10246767694	28840	68	246976	43977622	38208076	1
after	pso	r02	twostage_3.yml	0	6505941	42568	101	69	43965	42248	1
after	pso	r02	unwind2-1.yml	0	83634	4232	18	3	72	67	1
after	pso	r02	unwind2-100.yml	0	84273	4232	18	3	72	67	1
after	pso	r02	unwind3-1.yml	0	85313	4232	18	3	109	102	1
after	pso	r03	01b_inc.yml	0	150373	4856	21	5	282	236	1
after	pso	r03	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_01-priv_nr_true.yml	0	328869	5064	22	10	433	369	1
after	pso	r03	13-privatized_18-first-reads_true.yml	0	213426	3816	16	10	280	251	1
after	pso	r03	13-privatized_18-first-reads_unknown_1_neg.yml	0	40460	2152	8	1	15	12	1
after	pso	r03	13-privatized_18-first-reads_unknown_2_pos.yml	0	47149	2152	8	1	15	12	1
after	pso	r03	13-privatized_19-publish-precision_true.yml	0	966748	5272	23	33	1821	1575	1
after	pso	r03	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_1_pos.yml	0	40052	3192	13	1	26	22	1
after	pso	r03	13-privatized_19-publish-precision_unknown_2_neg.yml	0	52436	3192	13	1	26	22	1
after	pso	r03	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_20-publish-regression_true.yml	0	565749	5480	24	18	910	788	1
after	pso	r03	13-privatized_24-multiple-protecting_true.yml	0	20296612	12344	57	426	60071	48978	1
after	pso	r03	13-privatized_25-struct_nr_true.yml	0	336860	5064	22	10	433	369	1
after	pso	r03	13-privatized_27-multiple-protecting2_true.yml	0	67849413	13176	61	1546	167997	139912	1
after	pso	r03	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2377359	7976	36	88	4281	3726	1
after	pso	r03	13-privatized_30-traces-oplus-vs-meet_true.yml	0	909361	5896	26	30	1597	1404	1
after	pso	r03	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2358932	6728	30	84	3805	3294	1
after	pso	r03	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2463384	7976	36	76	3824	3337	1
after	pso	r03	13-privatized_33-traces-v-matters_true.yml	0	338066	6104	27	10	319	281	1
after	pso	r03	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	368336	6312	28	12	456	400	1
after	pso	r03	13-privatized_35-traces-ex-2_true.yml	0	876929	5688	25	30	1064	916	1
after	pso	r03	13-privatized_36-traces-ex-3_true.yml	0	731507	5064	22	27	667	580	1
after	pso	r03	13-privatized_37-traces-ex-4_true.yml	0	811026	5688	25	28	990	853	1
after	pso	r03	13-privatized_38-traces-ex-4-switch_true.yml	0	893081	5688	25	30	1028	888	1
after	pso	r03	13-privatized_40-traces-ex-6_true.yml	0	245992	4856	21	8	183	161	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	44341	3192	13	1	27	23	1
after	pso	r03	13-privatized_42-traces-ex-mini_true.yml	0	2030652	5896	26	20	642	549	1
after	pso	r03	13-privatized_44-traces-mine2_true.yml	0	114717	4856	21	3	72	64	1
after	pso	r03	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	612201	5688	25	29	970	797	1
after	pso	r03	13-privatized_46-refine-protected1_true.yml	0	128315	3400	14	4	88	62	1
after	pso	r03	13-privatized_47-refine-protected2_true.yml	0	262123	3608	15	10	169	147	1
after	pso	r03	13-privatized_57-singlethreaded-unlock_true.yml	0	40611	1736	6	1	7	5	1
after	pso	r03	13-privatized_58-singlethreaded-lock_true.yml	0	40306	1736	6	1	7	5	1
after	pso	r03	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	32147	2568	10	1	9	9	1
after	pso	r03	13-privatized_69-refine-protected-loop-interval_true.yml	0	42857	2568	10	1	9	9	1
after	pso	r03	14_spin2003.yml	0	47508	2984	12	1	14	12	1
after	pso	r03	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	1
after	pso	r03	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0
