task	expected	model	method	threads	repetition	status	verdict	walltime_seconds	cputime_seconds	memory_bytes	executions	blocked
dekker-unfair.yml	true	sc	cat	2	5	true	true	0.07032108795829117	0.065091332	25899008	4	6
unwind3-1.yml	false	sc	cat	2	5	false(unreach-call)	false	0.06662687100470066	0.060923121	25903104	1	
exponential-nondet.yml	true	sc	cat	2	5	true	true	0.06975747103570029	0.062315881	25960448	1	
unwind2-1.yml	false	sc	cat	2	5	false(unreach-call)	false	0.06969665503129363	0.062184336	25903104	3	
unwind2-100.yml	false	sc	cat	2	5	false(unreach-call)	false	0.06756921700434759	0.061952477	25956352	3	
butterfly.yml	true	sc	cat	2	5	true	true	17.367911440960597	34.655416303	25931776	64560	
43_NetBSD_sysmon_power_sliced.yml	true	sc	cat	2	5	true	true	0.06760319700697437	0.059481022	25817088	0	1
28-race_reach_06-cond_racing1.yml	false	sc	cat	2	5	TIMEOUT		61.15363022999372	90.166904207	5933092864		
queue_ok.yml	true	sc	cat	2	5	true	true	0.08894052600953728	0.099896413	26046464	2	
queue_ok_longer.yml	true	sc	cat	2	5	true	true	6.752182841009926	13.400899827	280252416	2	
queue_ok_longest.yml	true	sc	cat	2	5	true	true	30.37523116200464	60.59615948	1106853888	2	
queue_longer.yml	false	sc	cat	2	5	TIMEOUT		61.02320009004325	121.945560313	175210496		
queue.yml	false	sc	cat	2	5	false(unreach-call)	false	0.6434433449758217	1.220669872	26001408	2	14
singleton.yml	false	sc	cat	2	5	false(unreach-call)	false	0.06778964900877327	0.063707654	26009600	2	1
singleton_with-uninit-problems.yml	true	sc	cat	2	5	true	true	0.06655258999671787	0.067082176	26046464	4	
pthread-demo-datarace-3.yml	false	sc	cat	2	5	false(unreach-call)	false	0.13720635703066364	0.199416765	25894912	0	14
reorder_2.yml	false	sc	cat	2	5	false(unreach-call)	false	0.19006017403444275	0.304082403	26087424	53	14
twostage_3.yml	false	sc	cat	2	5	ABORTED		0.18632430001161993	0.107597221	26161152		
