model	method	threads	runs	solved	all_walltime_seconds_n	all_walltime_seconds_mean	all_walltime_seconds_median	all_walltime_seconds_p95	all_walltime_seconds_geomean	all_walltime_seconds_sum	all_walltime_seconds_max	all_cputime_seconds_n	all_cputime_seconds_mean	all_cputime_seconds_median	all_cputime_seconds_p95	all_cputime_seconds_geomean	all_cputime_seconds_sum	all_cputime_seconds_max	all_rss_mib_n	all_rss_mib_mean	all_rss_mib_median	all_rss_mib_p95	all_rss_mib_geomean	all_rss_mib_sum	all_rss_mib_max	solved_walltime_seconds_n	solved_walltime_seconds_mean	solved_walltime_seconds_median	solved_walltime_seconds_p95	solved_walltime_seconds_geomean	solved_walltime_seconds_sum	solved_walltime_seconds_max	solved_cputime_seconds_n	solved_cputime_seconds_mean	solved_cputime_seconds_median	solved_cputime_seconds_p95	solved_cputime_seconds_geomean	solved_cputime_seconds_sum	solved_cputime_seconds_max	solved_rss_mib_n	solved_rss_mib_mean	solved_rss_mib_median	solved_rss_mib_p95	solved_rss_mib_geomean	solved_rss_mib_sum	solved_rss_mib_max
sc	caat	4	480	434	480	4.555048261314611	0.07233535250998102	61.299288162245645	0.17861854112410358	2186.4231654310133	61.43492664996302	480	11.0633479678	0.06880035500000001	121.15789273465	0.20577906288391587	5310.4070245440025	243.427247796	480	325.43629557291666	24.7109375	5410.8287109375	36.29932274252277	156209.421875	5411.15625	434	0.7904335337418479	0.07114167202962562	3.539229024696394	0.1190507389599221	343.048153643962	18.664409004035406	434	2.4488678769470047	0.067772169	13.902558920849991	0.13485149735401525	1062.8086585950002	74.329270738	434	33.208228326612904	24.70703125	25.014453125	26.46863058092656	14412.37109375	595.0234375
sc	caat	8	480	428	480	4.407424016187966	0.0766248235013336	61.32665553531551	0.18241512634356893	2115.563527770224	61.473068209015764	480	13.960778921547917	0.0749880445	121.09875089545001	0.226486053113055	6701.173882342993	486.398804937	480	342.11089680989585	24.75	5411.4421875	37.183014392353144	164213.23046875	5411.80078125	428	0.6308966800356969	0.07578280099551193	3.0216788388206606	0.12051705103202273	270.0237790552783	15.620794605987612	428	2.895230842773364	0.07396214400000001	18.967618385049917	0.1486312326104759	1239.1588007070006	123.861770402	428	33.91502080899533	24.7109375	36.689453125	26.985293008686252	14515.62890625	595.83203125
sc	cat	1	480	445	480	7.223888607714495	0.06863160300417803	61.00993485066574	0.22178318310147302	3467.4665317029576	61.02672307903413	480	7.2134640221	0.0616697805	61.0038212877	0.20288374993557018	3462.4627306080006	61.014440538	480	328.43841959635415	24.63671875	5602.2578125	35.74489909586804	157650.44140625	5602.4765625	445	2.9933144674428447	0.06774203199893236	30.295222278404978	0.14257997379171403	1332.0249380120658	31.725960843032226	445	2.984254949002247	0.061098407	30.281984508	0.1295240454080789	1327.9934523059983	31.715689245	445	350.9012728230337	24.63671875	5602.2609375	36.05979100536444	156151.06640625	5602.4765625
sc	cat	2	480	417	480	9.195703299172237	0.06824101152596995	61.13152138108853	0.22971335438073032	4413.937583602674	61.176801579014864	480	16.700658138108334	0.0639512735	121.88469588070001	0.2507366509639149	8016.3159062919985	121.954642417	480	333.15777994791665	24.658203125	5658.121875000001	35.91698089009855	159915.734375	5658.3671875	417	1.7961096382890862	0.06701398000586778	6.736980481806677	0.10297103474128987	748.9777191665489	52.08005114895059	417	3.506201140004796	0.062913011	13.377271063	0.1052393612108983	1462.0858753820007	103.971532682	417	40.30728229916067	24.64453125	24.95078125	26.814421529438373	16808.13671875	1055.625
sc	cat	4	480	419	480	7.50976867056573	0.07161965302657336	61.142874642708925	0.2293235690259597	3604.6889618715504	61.171796991024166	480	20.981544866952085	0.0687681845	151.7332321597999	0.2712087549383412	10071.14153613701	243.804672024	480	335.90638020833336	24.70703125	5658.4111328125	36.39719123907033	161235.0625	5658.61328125	419	2.033317607590625	0.07035862095654011	15.319761404389169	0.1263624939227449	851.960077580472	40.09261031600181	419	7.150738796770883	0.067361359	53.976333744399994	0.14228056045257562	2996.1595558469994	159.912119158	419	40.30024985083532	24.703125	25.0078125	26.861841403124885	16885.8046875	1056.09375
sc	cat	8	480	414	480	6.7418346048565585	0.07655720549519174	61.13697403853585	0.2303630133221989	3236.080610331148	61.17657224001596	480	29.86310953884792	0.075372209	138.5287166690998	0.2948925159446139	14334.29257864701	487.35244078	480	340.78456217447916	24.748046875	5658.982421875	37.06118845778008	163576.58984375	5659.20703125	414	1.312337792982687	0.07526812350261025	10.49544728514447	0.12839889698460838	543.3078462948324	30.109494787990116	414	7.456745315231885	0.073800277	61.06150785314951	0.155006884329666	3087.0925605060006	240.18286239	414	40.60342127113527	24.701171875	25.827539062499994	26.973827294083158	16809.81640625	1056.9765625
sc	genmc	1	480	480	480	0.6205562620497707	0.06621410499792546	3.048503654307569	0.12167244664672018	297.8670057838899	9.15584763197694	480	0.6128350587729167	0.059373306	3.03432612605	0.11035641010087718	294.1608282110004	9.15064856	480	37.53260904947917	24.5625	73.4794921875	27.267152779833566	18015.65234375	993.5546875	480	0.6205562620497707	0.06621410499792546	3.048503654307569	0.12167244664672018	297.8670057838899	9.15584763197694	480	0.6128350587729167	0.059373306	3.03432612605	0.11035641010087718	294.1608282110004	9.15064856	480	37.53260904947917	24.5625	73.4794921875	27.267152779833566	18015.65234375	993.5546875
sc	genmc	2	480	471	480	0.8597166778833828	0.06676899251760915	3.6809572608821326	0.1297588080747894	412.66400538402377	17.40063402702799	480	1.5664182703458331	0.062361039	7.268316675949999	0.13582460864314505	751.8807697660003	34.734969135	480	52.624088541666666	24.5859375	126.0923828125	28.404418151242876	25259.5625	2136.546875	471	0.7573657155839228	0.06670308503089473	3.644903025502572	0.12423049721449762	356.71925204002764	17.40063402702799	471	1.3656861762059447	0.062174434	6.7239126815	0.13026716024424934	643.2381889930003	34.734969135	471	35.24248606687898	24.5859375	125.912109375	27.422698694104337	16599.2109375	2128.5625
sc	genmc	4	480	460	480	0.5732267800291689	0.07023133750772104	3.3753580746473744	0.12628250553685622	275.1488544140011	16.50453394697979	480	1.5084369178166668	0.066738379	6.688263428199998	0.14083668739339997	724.049720552	50.907959905	480	68.89637044270833	24.61328125	221.52636718749926	29.265217418294938	33070.2578125	3901.30078125	460	0.5901889124804217	0.06986688301549293	3.383124037832021	0.12427983261784185	271.486899740994	16.50453394697979	460	1.570208882621739	0.06632669299999999	6.73414032915	0.14393039267505348	722.2960860060002	50.907959905	460	70.81049592391304	24.609375	237.28652343749968	29.473308140550927	32572.828125	3901.30078125
sc	genmc	8	480	456	480	0.3740662962830053	0.07591465750010684	3.2131002657028143	0.12431987500571522	179.55182221584255	4.494613807997666	480	1.1640277633479168	0.07405959749999999	6.51160541515	0.14996486934739958	558.7333264070005	34.748516938	480	38.91572265625	24.625	227.0037109375	28.539037631260783	18679.546875	316.48828125	456	0.3834469975656503	0.0756267279793974	3.2188992834999226	0.12140432160624867	174.85183088993654	4.494613807997666	456	1.2187990990416666	0.0736304945	6.52368264025	0.1525517370498946	555.7723891630004	34.748516938	456	39.592610677083336	24.62109375	234.181640625	28.69995765559237	18054.23046875	316.48828125
