task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/weaver/parallel-ticket-2.wvr.yml	true	correct	benchmark-consistent	0.0666014s	0.07246067398227751s	25243648B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/mult-dist.wvr.yml	TIMEOUT	error	unknown	11.017242467s	11.042937060003169s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/clever.wvr.yml	true	correct	benchmark-consistent	0.069257846s	0.08102793100988492s	25251840B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-nonblocking-counter-alt2.wvr.yml	TIMEOUT	error	unknown	10.996127775s	11.020598275004886s	66252800B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-counter-determinism.wvr.yml	true	correct	benchmark-consistent	0.068786406s	0.07601033803075552s	25288704B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-misc-2.wvr.yml	true	correct	benchmark-consistent	0.075331583s	0.0953125010128133s	25280512B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-misc-2-unrolled-atomic.wvr.yml	true	correct	benchmark-consistent	0.061901964s	0.07916908198967576s	25239552B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-sre-trans.wvr.yml	true	correct	benchmark-consistent	0.067381397s	0.07341109000844881s	25284608B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/spaghetti.wvr.yml	TIMEOUT	error	unknown	10.984355604s	11.016283378994558s	55291904B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-sre-subst.wvr.yml	true	correct	benchmark-consistent	0.066935364s	0.07294645701767877s	25276416B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-simpl-str-symm.wvr.yml	true	correct	benchmark-consistent	0.06777572s	0.07536010001786053s	25350144B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-bad-threaded-sum-2.wvr.yml	TIMEOUT	error	unknown	10.99914949s	11.014702030981425s	59785216B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
