log	preventive-syncs	preventive-retentions	preventive-adaptive-retentions	preventive-used-checkpoints	preventive-adaptive-used	preventive-rollback-hits	preventive-unused-discards	preventive-live-checkpoints	preventive-unused-live	max-history-base-bytes	max-preventive-history-base-bytes	retained-undo-bytes	peak-undo-bytes	retained-snapshot-equivalent-bytes	peak-snapshot-equivalent-bytes	offline-evals	sync-ns	history-ns	checkpoint-ns	rollback-ns
caat-pso.preventive-pruning.28-race_reach_45-escape_racing.yml.log	5	5	4	0	0	0	4	1	1	1688	1688	0	0	11176	11176	6	353337	0	1951	0
caat-pso.preventive-pruning.28-race_reach_46-escape_racefree.yml.log	16	16	15	0	0	0	15	1	1	2120	2120	0	0	13960	13960	18	1115839	0	4586	0
caat-pso.preventive-pruning.circular_buffer_bad.yml.log	126	126	125	0	0	0	125	1	1	12880	12880	0	0	83168	83168	133	31422122	0	36991	0
caat-pso.preventive-pruning.lazy01.yml.log	10	10	9	0	0	0	10	0	0	2120	2120	0	0	13960	13960	13	824208	0	3655	0
caat-pso.preventive-pruning.szymanski.yml.log	181	181	180	0	0	0	180	1	1	2264	2264	0	0	14888	14888	200	12575794	0	37569	0
caat-pso.preventive-pruning.dekker.yml.log	26	26	25	0	0	0	25	1	1	2552	2552	0	0	16744	16744	32	2424773	0	8096	0
caat-pso.preventive-pruning.dekker-unfair.yml.log	28	28	27	0	0	0	27	1	1	2552	2552	0	0	16744	16744	34	2571665	0	7260	0
caat-pso.preventive-pruning.unwind3-1.yml.log	3	3	2	0	0	0	3	0	0	1328	1328	0	0	8856	8856	4	216573	0	1493	0
caat-pso.preventive-pruning.exponential-nondet.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.unwind2-1.yml.log	3	3	2	0	0	0	2	1	1	1328	1328	0	0	8856	8856	3	178670	0	1346	0
caat-pso.preventive-pruning.43_NetBSD_sysmon_power_sliced.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.unwind2-100.yml.log	3	3	2	0	0	0	2	1	1	1328	1328	0	0	8856	8856	3	163416	0	1219	0
caat-pso.preventive-pruning.queue_ok.yml.log	7	7	6	0	0	0	6	1	1	218456	218456	0	0	1407320	1407320	9	21715352	0	4228	0
caat-pso.preventive-pruning.singleton.yml.log	18	18	17	0	0	0	17	1	1	3488	3488	0	0	22776	22776	22	2397842	0	6760	0
caat-pso.preventive-pruning.singleton_with-uninit-problems.yml.log	22	22	21	0	0	0	21	1	1	3488	3488	0	0	22776	22776	28	3173782	0	7624	0
caat-pso.preventive-pruning.race-1_1-join.yml.log	2	2	1	0	0	0	1	1	1	1184	1184	0	0	7928	7928	2	114445	0	977	0
caat-pso.preventive-pruning.twostage_3.yml.log	59	59	58	0	0	0	58	1	1	14608	14608	0	0	94304	94304	74	26595075	0	24995	0
caat-pso.preventive-pruning.race-1_2-join.yml.log	14	14	13	0	0	0	13	1	1	2048	2048	0	0	13496	13496	15	933849	0	4123	0
caat-pso.preventive-pruning.race-1_3-join.yml.log	14	14	13	0	0	0	13	1	1	2048	2048	0	0	13496	13496	15	954192	0	4020	0
caat-pso.preventive-pruning.race-4_1-thread_local_vars.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.race-3_1-container_of-global.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.race-2_1-container_of.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.reorder_2.yml.log	841	841	840	0	0	0	840	1	1	11872	11872	0	0	76672	76672	1057	286644293	0	308999	0
caat-pso.preventive-pruning.queue.yml.log	919	919	918	0	0	0	918	1	1	59168	59168	0	0	381200	381200	939	722517455	0	250743	0
caat-pso.preventive-pruning.pthread-demo-datarace-3.yml.log	1719	1719	1718	0	0	0	1718	1	1	95920	95920	0	0	617912	617912	1759	1645484422	0	443737	0
caat-pso.preventive-pruning.28-race_reach_21-deref_read_racing.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
caat-pso.preventive-pruning.triangular-2.yml.log	20453	20453	20452	0	0	0	20452	1	1	9856	9856	0	0	63680	63680	25611	4327718141	0	5771942	0
caat-pso.preventive-pruning.fib_unsafe-5.yml.log	3735	3735	3734	0	0	0	3734	1	1	70112	70112	0	0	451728	451728	4675	7341625671	0	1730376	0
caat-pso.preventive-pruning.triangular-1.yml.log	93320	93320	93319	0	0	0	93319	1	1	9856	9856	0	0	63680	63680	114838	19329298079	0	26365905	0
caat-pso.preventive-pruning.queue_ok_longer.yml.log	7	7	0	0	0	0	6	1	1	91170576	72879408	323895024	323895024	587519208	587519208	3	31523533698	194617440	24606	0
caat-pso.preventive-pruning.fib_safe-5.yml.log	16238	16238	16237	0	0	0	16237	1	1	70112	70112	0	0	451728	451728	19680	30498806676	0	6556875	0
caat-pso.preventive-pruning.circular_buffer_ok.yml.log	22305	22305	22304	0	0	0	22304	1	1	70400	70400	0	0	453584	453584	25737	30683189639	0	7472062	0
caat-pso.preventive-pruning.butterfly.yml.log	129217	129217	129216	0	0	0	129216	1	1	4424	4424	0	0	28808	28808	242470	30803889333	0	47935467	0
caat-pso.preventive-pruning.fib_unsafe-6.yml.log	17613	17613	17612	0	0	0	17612	1	1	101320	101320	0	0	652712	652712	21735	45240104599	0	7479990	0
