variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records
after	sc	r01	13-privatized_44-traces-mine2_true.yml	0	15065	2736	13	0	0	0	0	0	0	0	1	1
after	sc	r01	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	51318	4136	20	0	0	0	0	0	0	0	2	1
after	sc	r01	13-privatized_46-refine-protected1_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	13-privatized_47-refine-protected2_true.yml	0	26637	2536	12	0	0	0	0	0	0	0	2	1
after	sc	r01	13-privatized_57-singlethreaded-unlock_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	13-privatized_58-singlethreaded-lock_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	13-privatized_69-refine-protected-loop-interval_true.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	14_spin2003.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	28-race_reach_01-simple_racing.yml	0	9203581254	1807007952	40017	0	0	0	0	0	0	0	0	1
after	sc	r01	28-race_reach_06-cond_racing1.yml	0	9264034360	1807007952	40017	0	0	0	0	0	0	0	0	1
after	sc	r01	28-race_reach_11-ptr_racing.yml	0	9266022866	1807007952	40017	0	0	0	0	0	0	0	0	1
after	sc	r01	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	28-race_reach_24-sound_lock_racing.yml	0	10418533311	1807007952	40017	0	0	0	0	0	0	0	0	1
after	sc	r01	28-race_reach_37-indirect_racing.yml	0	9248007570	1807053072	40018	0	0	0	0	0	0	0	0	1
after	sc	r01	28-race_reach_45-escape_racing.yml	0	21343	3936	19	0	0	0	0	0	0	0	0	1
after	sc	r01	28-race_reach_46-escape_racefree.yml	0	29049	3536	17	0	0	0	0	0	0	0	2	1
after	sc	r01	29_conditionals_vs.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	36-apron_11-traces-max-simple_true.yml	0	31503	2536	12	0	0	0	0	0	0	0	2	1
after	sc	r01	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	36-apron_21-traces-cluster-based_true.yml	0	251845	7136	35	0	0	0	0	0	0	0	6	1
after	sc	r01	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	45_monabsex1_vs.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	46_monabsex2_vs.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	48_ticket_lock_low_contention_vs-pthread.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	48_ticket_lock_low_contention_vs.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	butterfly.yml	0	4436067776	12136	60	0	0	0	0	0	0	0	64560	1
after	sc	r01	circular_buffer_bad.yml	0	308753	34136	85	0	0	0	0	0	0	0	1	1
after	sc	r01	circular_buffer_ok.yml	0	709578547	185736	232	0	0	0	0	0	0	0	3432	1
after	sc	r01	dekker-unfair.yml	0	98866	6336	31	0	0	0	0	0	0	0	4	1
after	sc	r01	dekker.yml	0	124024	6336	31	0	0	0	0	0	0	0	4	1
after	sc	r01	exponential-nondet.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	fib_safe-5.yml	0	2202623618	194536	243	0	0	0	0	0	0	0	2772	1
after	sc	r01	fib_safe-6.yml	0	6355566832	281136	281	0	0	0	0	0	0	0	12012	1
after	sc	r01	fib_unsafe-5.yml	0	535731019	194536	243	0	0	0	0	0	0	0	632	1
after	sc	r01	fib_unsafe-6.yml	0	1613323978	281136	281	0	0	0	0	0	0	0	2942	1
after	sc	r01	fib_unsafe-7.yml	0	9134052909	319136	319	0	0	0	0	0	0	0	13238	1
after	sc	r01	lazy01.yml	0	56773	5336	26	0	0	0	0	0	0	0	1	1
after	sc	r01	pthread-demo-datarace-3.yml	0	69204941	262136	262	0	0	0	0	0	0	0	0	1
after	sc	r01	queue.yml	0	27015449	160936	201	0	0	0	0	0	0	0	2	1
after	sc	r01	queue_longer.yml	0	0	0	0	0	0	0	0	0	0	0	0	0
after	sc	r01	queue_ok.yml	0	630563	183336	229	0	0	0	0	0	0	0	2	1
after	sc	r01	queue_ok_longer.yml	81500701	580914703	23936072	4029	0	0	0	0	0	0	0	2	1
after	sc	r01	queue_ok_longest.yml	108519783	1740427499	94781648	8029	0	0	0	0	0	0	0	2	1
after	sc	r01	race-1_1-join.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	race-1_2-join.yml	0	13587	4736	23	0	0	0	0	0	0	0	1	1
after	sc	r01	race-1_3-join.yml	0	13434	4736	23	0	0	0	0	0	0	0	1	1
after	sc	r01	race-2_1-container_of.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	sc	r01	reorder_2.yml	0	46828107	32936	82	0	0	0	0	0	0	0	162	1
after	sc	r01	singleton.yml	0	81773	8736	43	0	0	0	0	0	0	0	1	1
after	sc	r01	singleton_with-uninit-problems.yml	0	118151	8936	44	0	0	0	0	0	0	0	4	1
after	sc	r01	stateful01-1.yml	0	46486	6336	31	0	0	0	0	0	0	0	0	1
after	sc	r01	stateful01-2.yml	0	127199	6536	32	0	0	0	0	0	0	0	6	1
after	sc	r01	szymanski.yml	0	345961	5936	29	0	0	0	0	0	0	0	6	1
after	sc	r01	time_var_mutex.yml	0	37888	5736	28	0	0	0	0	0	0	0	2	1
after	sc	r01	triangular-1.yml	0	1066113416	27336	68	0	0	0	0	0	0	0	16632	1
after	sc	r01	triangular-2.yml	0	174804703	27336	68	0	0	0	0	0	0	0	3638	1
after	sc	r01	twostage_3.yml	0	874921	40136	100	0	0	0	0	0	0	0	4	1
after	sc	r01	unwind2-1.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	unwind2-100.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	sc	r01	unwind3-1.yml	0	12098	3736	18	0	0	0	0	0	0	0	1	1
after	tso	r01	01b_inc.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	02_inc_cas.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	13-privatized_01-priv_nr_true.yml	0	161719	3288	16	4	84	0	2	1099	1598	0	2	1
after	tso	r01	13-privatized_18-first-reads_true.yml	0	116480	2584	12	4	34	0	2	791	982	0	2	1
after	tso	r01	13-privatized_18-first-reads_unknown_1_neg.yml	0	57495	1880	8	2	12	0	1	265	307	0	0	1
after	tso	r01	13-privatized_18-first-reads_unknown_2_pos.yml	0	65887	1880	8	2	12	0	1	265	307	0	0	1
after	tso	r01	13-privatized_19-publish-precision_true.yml	0	262878	3640	18	8	122	0	4	2291	2896	0	3	1
after	tso	r01	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	13-privatized_19-publish-precision_unknown_1_pos.yml	0	50582	2760	13	2	17	0	1	437	520	0	0	1
after	tso	r01	13-privatized_19-publish-precision_unknown_2_neg.yml	0	61863	2760	13	2	17	0	1	437	520	0	0	1
after	tso	r01	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	13-privatized_20-publish-regression_true.yml	0	120399	2584	12	4	34	0	2	791	982	0	2	1
after	tso	r01	13-privatized_24-multiple-protecting_true.yml	0	1903318	9624	52	24	2684	0	12	20583	39371	0	7	1
after	tso	r01	13-privatized_25-struct_nr_true.yml	0	127151	3288	16	4	84	0	2	1099	1598	0	2	1
after	tso	r01	13-privatized_27-multiple-protecting2_true.yml	0	5124483	11208	61	72	8006	0	36	70233	124736	0	26	1
after	tso	r01	13-privatized_29-multiple-protecting2-vesal_true.yml	0	387070	5928	31	12	274	0	6	5510	7721	0	4	1
after	tso	r01	13-privatized_30-traces-oplus-vs-meet_true.yml	0	279553	4168	21	8	93	0	4	2431	3086	0	2	1
after	tso	r01	13-privatized_31-traces-mine-vs-mutex_true.yml	0	309452	4872	25	12	218	0	6	4240	5379	0	4	1
after	tso	r01	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	415659	5752	30	12	220	0	6	5071	6784	0	3	1
after	tso	r01	13-privatized_33-traces-v-matters_true.yml	0	210245	3816	19	6	79	0	3	1836	2555	0	1	1
after	tso	r01	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	105747	2936	14	4	38	0	2	905	1148	0	1	1
after	tso	r01	13-privatized_35-traces-ex-2_true.yml	0	262846	3992	20	8	86	0	4	2245	2767	0	2	1
after	tso	r01	13-privatized_36-traces-ex-3_true.yml	0	203006	3640	18	8	86	0	4	2157	2641	0	3	1
after	tso	r01	13-privatized_37-traces-ex-4_true.yml	0	123835	3112	15	4	48	0	2	985	1302	0	2	1
after	tso	r01	13-privatized_38-traces-ex-4-switch_true.yml	0	267369	3992	20	8	86	0	4	2245	2767	0	2	1
after	tso	r01	13-privatized_40-traces-ex-6_true.yml	0	117755	2936	14	4	38	0	2	905	1148	0	1	1
after	tso	r01	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	69756	2760	13	2	17	0	1	431	547	0	0	1
after	tso	r01	13-privatized_42-traces-ex-mini_true.yml	0	144183	3816	19	4	66	0	2	1271	1850	0	2	1
after	tso	r01	13-privatized_44-traces-mine2_true.yml	0	83427	2760	13	2	13	0	1	431	546	0	1	1
after	tso	r01	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	179415	3992	20	6	116	0	3	1893	2631	0	2	1
after	tso	r01	13-privatized_46-refine-protected1_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	tso	r01	13-privatized_47-refine-protected2_true.yml	0	129099	2584	12	4	34	0	2	779	966	0	2	1
after	tso	r01	13-privatized_57-singlethreaded-unlock_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	tso	r01	13-privatized_58-singlethreaded-lock_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	tso	r01	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	tso	r01	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	13-privatized_69-refine-protected-loop-interval_true.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	14_spin2003.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0
after	tso	r01	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0	0	0	0	0	0
after	tso	r01	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0
after	tso	r01	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0
after	tso	r01	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0
after	tso	r01	28-race_reach_45-escape_racing.yml	0	83810	3816	19	2	28	0	1	643	888	0	0	1
after	tso	r01	28-race_reach_46-escape_racefree.yml	0	116893	3464	17	4	52	0	2	1111	1570	0	2	1
after	tso	r01	29_conditionals_vs.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	36-apron_11-traces-max-simple_true.yml	0	121322	2584	12	4	34	0	2	779	966	0	2	1
after	tso	r01	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	tso	r01	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	36-apron_21-traces-cluster-based_true.yml	0	786669	6632	35	26	490	0	13	13078	17487	0	6	1
after	tso	r01	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	0	0	0	0	1	1
after	tso	r01	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
after	tso	r01	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	0	0	0	0	0	1
