variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	executions	snapshot_bytes	base_bytes	lazy_checks	lazy_candidates
before	sc	r01	c/pthread-theta/unwind3-1.yml	false(unreach-call)	correct	0.070969279	0.07482003490440547	25960448.0	1	3736	1152	0	0
before	sc	r01	c/pthread-theta/exponential-nondet.yml	true	correct	0.061640833	0.07014127203729004	25972736.0	1	0	0	0	0
before	sc	r01	c/pthread-theta/unwind2-1.yml	false(unreach-call)	correct	0.065261373	0.07329146796837449	25972736.0	1	0	0	0	0
before	sc	r01	c/pthread-theta/unwind2-100.yml	false(unreach-call)	correct	0.067298918	0.07291185099165887	25960448.0	1	0	0	0	0
before	sc	r01	c/pthread/butterfly.yml	true	correct	13.382843963	13.431622624048032	25956352.0	64560	12136	3840	0	0
before	sc	r01	c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml	true	correct	0.061790456	0.06498511100653559	25739264.0	0	0	0	0	0
before	sc	r01	c/goblint-regression/28-race_reach_06-cond_racing1.yml	false(unreach-call)	correct	12.039499586	12.06154529307969	2060976128.0	0	1807007952	1680796	0	0
before	sc	r01	c/pthread/queue_ok.yml	true	correct	0.064858597	0.06897209899034351	26046464.0	2	183336	58624	0	0
before	sc	r01	c/pthread/queue_ok_longer.yml	true	correct	0.444037214	0.4519637080375105	79421440.0	2	23936072	2830196	0	0
before	sc	r01	c/pthread/queue_ok_longest.yml	true	correct	1.572831497	1.601324084913358	276971520.0	2	94781648	10971212	0	0
before	sc	r01	c/pthread/queue_longer.yml	TIMEOUT	error	61.038682206	61.07636800408363	1139924992.0					
before	sc	r01	c/pthread/queue.yml	false(unreach-call)	correct	0.085807479	0.09307866601739079	26017792.0	2	160936	51456	0	0
before	sc	r01	c/pthread/singleton.yml	false(unreach-call)	correct	0.066281865	0.07390254898928106	26058752.0	1	8736	2752	0	0
before	sc	r01	c/pthread/singleton_with-uninit-problems.yml	true	correct	0.072540939	0.07867903495207429	26083328.0	4	8936	2816	0	0
before	sc	r01	c/pthread-C-DAC/pthread-demo-datarace-3.yml	false(unreach-call)	correct	0.121493475	0.1279554470675066	25866240.0	0	262136	83840	0	0
before	sc	r01	c/pthread/reorder_2.yml	false(unreach-call)	correct	0.142945541	0.15043375408276916	25960448.0	162	32936	10496	0	0
before	sc	r01	c/pthread/twostage_3.yml	false(unreach-call)	correct	0.076914543	0.09050275001209229	26222592.0	4	40136	12800	0	0
before	sc	r01	c/ldv-races/race-1_1-join.yml	true	correct	0.065070758	0.06989997602067888	26013696.0	1	0	0	0	0
before	sc	r01	c/ldv-races/race-1_3-join.yml	false(unreach-call)	correct	0.066396193	0.07401111896615475	26087424.0	1	4736	1472	0	0
before	sc	r01	c/ldv-races/race-1_2-join.yml	false(unreach-call)	correct	0.063149226	0.07461259700357914	26091520.0	1	4736	1472	0	0
before	sc	r01	c/ldv-races/race-4_1-thread_local_vars.yml	true	correct	0.06514089	0.07583256298676133	26181632.0	0	0	0	0	0
before	sc	r01	c/ldv-races/race-2_1-container_of.yml	true	correct	0.067154375	0.0742647829465568	26087424.0	1	0	0	0	0
before	sc	r01	c/ldv-races/race-3_1-container_of-global.yml	true	correct	0.065142647	0.07535403303336352	26099712.0	1	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	correct	0.060000718	0.06538513698615134	25808896.0	1	0	0	0	0
before	sc	r02	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	correct	0.068494397	0.07581144594587386	25804800.0	0	0	0	0	0
before	sc	r02	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	true	correct	0.06520153	0.06955855491105467	25694208.0	1	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	correct	0.070396451	0.07269532908685505	25776128.0	1	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	correct	0.069158087	0.07747596898116171	25767936.0	2	2536	768	0	0
before	sc	r02	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	correct	0.066974491	0.0704410650068894	25817088.0	1	0	0	0	0
before	sc	r02	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	true	correct	0.069141425	0.07330310600809753	25808896.0	2	2536	768	0	0
before	sc	r02	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	0.06386017	0.068831728072837	25722880.0	0	2736	832	0	0
before	sc	r02	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	correct	0.066338971	0.0804083450930193	25821184.0	0	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	correct	0.060989042	0.07690678699873388	25751552.0	1	2936	896	0	0
before	sc	r02	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	correct	0.06491269	0.07372808002401143	25833472.0	1	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	correct	0.073678948	0.08502038195729256	25751552.0	1	2736	832	0	0
before	sc	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	0.065566643	0.07174256897997111	25903104.0	0	1736	512	0	0
before	sc	r02	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	correct	0.065693261	0.07084426493383944	25841664.0	0	1736	512	0	0
before	sc	r02	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	true	correct	0.069681731	0.07492506795097142	25735168.0	3	3736	1152	0	0
before	sc	r02	c/goblint-regression/13-privatized_18-first-reads_true.yml	true	correct	0.066496472	0.06839442404452711	25772032.0	2	2536	768	0	0
