model	repetition	task	before_status	after_status	before_category	after_category	common_terminal	before_cpu_s	after_cpu_s	before_wall_s	after_wall_s	before_memory_bytes	after_memory_bytes	before_executions	after_executions	before_snapshot_bytes	after_snapshot_bytes	before_base_bytes	after_base_bytes	before_lazy_checks	after_lazy_checks	before_lazy_candidates	after_lazy_candidates	terminal_verdict_match	execution_match	candidate_match	lazy_check_match	snapshot_match	base_match	cpu_ratio	wall_ratio	memory_ratio	full_check_ratio	candidate_ratio
sc	r02	c/goblint-regression/13-privatized_40-traces-ex-6_true.yml	true	true	correct	correct	True	0.060989042	0.070563399	0.07690678699873388	0.08617117605172098	25751552.0	25825280.0	1	1	2936	2936	896	896	0	0	0	0	True	True	True	True	True	True	1.1569848727907548	1.1204625679283626	1.0028630507396215		
sc	r02	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.066338971	0.070738354	0.0804083450930193	0.07380269898567349	25821184.0	25825280.0	0	0	0	0	0	0	0	0	0	0	True	True	True	True	True	True	1.0663167205291744	0.9178487494089803	1.0001586294416243		
sc	r02	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.06386017	0.067810324	0.068831728072837	0.0719494589138776	25722880.0	25874432.0	0	0	2736	2736	832	832	0	0	0	0	True	True	True	True	True	True	1.0618563026061474	1.045294966846415	1.0058917197452228		
sc	r02	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	true	correct	correct	True	0.066112305	0.076021139	0.07300811097957194	0.08096259494777769	25829376.0	25755648.0	2	2	3936	3936	1216	1216	0	0	0	0	True	True	True	True	True	True	1.149878816053986	1.1089534280709092	0.9971455756422455		
sc	r02	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	correct	correct	True	0.073678948	0.065010089	0.08502038195729256	0.07107120391447097	25751552.0	25755648.0	1	1	2736	2736	832	832	0	0	0	0	True	True	True	True	True	True	0.8823427962082194	0.8359313646717261	1.0001590583744233		
sc	r02	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	true	correct	correct	True	0.067422998	0.064441823	0.07237258704844862	0.07081924099475145	25878528.0	25821184.0	2	2	4136	4136	1280	1280	0	0	0	0	True	True	True	True	True	True	0.9557840041464782	0.9785368173634955	0.99778410889522		
sc	r02	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	correct	correct	True	0.066974491	0.07120465	0.0704410650068894	0.07637392403557897	25817088.0	25817088.0	1	1	0	0	0	0	0	0	0	0	True	True	True	True	True	True	1.063160748769259	1.0842244368126648	1.0		
sc	r02	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	correct	correct	True	0.069158087	0.057355113	0.07747596898116171	0.06519011792261153	25767936.0	25821184.0	2	2	2536	2536	768	768	0	0	0	0	True	True	True	True	True	True	0.8293334227130951	0.8414237186044425	1.00206644412653		
sc	r02	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	correct	correct	True	0.070396451	0.066644997	0.07269532908685505	0.06948463409207761	25776128.0	25825280.0	1	1	0	0	0	0	0	0	0	0	True	True	True	True	True	True	0.9467096146650915	0.9558335448080666	1.001906880661052		
sc	r02	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	true	correct	correct	True	0.06491269	0.061813436	0.07372808002401143	0.06833907403051853	25833472.0	25784320.0	1	1	0	0	0	0	0	0	0	0	True	True	True	True	True	True	0.9522550367270253	0.9269070075914383	0.9980973521484066		
sc	r02	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	correct	correct	True	0.060000718	0.068477369	0.06538513698615134	0.07148394302930683	25808896.0	25690112.0	1	1	0	0	0	0	0	0	0	0	True	True	True	True	True	True	1.141275826065948	1.0932751130344383	0.995397555943501		
sc	r02	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	true	correct	correct	True	0.071460298	0.067691122	0.07915275706909597	0.07406772300601006	25866240.0	25882624.0	0	0	0	0	0	0	0	0	0	0	True	True	True	True	True	True	0.9472549638681887	0.9357567032232754	1.000633412509897		
sc	r02	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	true	true	correct	correct	True	0.071167309	0.073061782	0.07517697394359857	0.0753241250058636	25853952.0	25849856.0	0	0	0	0	0	0	0	0	0	0	True	True	True	True	True	True	1.0266199892425327	1.0019573953904481	0.9998415716096325		
sc	r02	c/goblint-regression/28-race_reach_01-simple_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	12.720056765	12.723080809	12.794555761036463	12.754627573071048	2061053952.0	2061037568.0	0	0	1807007952	1807007952	1680796	1680796	0	0	0	0	True	True	True	True	True	True	1.0002377382472318	0.9968792829769824	0.9999920506690355		
sc	r02	c/goblint-regression/28-race_reach_06-cond_racing1.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	11.936616273	11.938985687	11.965668102027848	11.971078761969693	2061029376.0	2061062144.0	0	0	1807007952	1807007952	1680796	1680796	0	0	0	0	True	True	True	True	True	True	1.0001984996372346	1.0004521820173942	1.0000158988515067		
sc	r02	c/goblint-regression/28-race_reach_11-ptr_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	12.709694664	12.755497249	12.76450869103428	12.777487367973663	2061049856.0	2061037568.0	0	0	1807007952	1807007952	1680796	1680796	0	0	0	0	True	True	True	True	True	True	1.0036037517982028	1.0010167784169006	0.9999940379899281		
sc	r02	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	3.732799629	3.716873974	3.7450215299613774	3.737631510011852	56328192.0	56508416.0	0	0	0	0	0	0	0	0	0	0	True	True	True	True	True	True	0.9957335896424029	0.9980267082871479	1.0031995346131473		
sc	r02	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	12.348509171	12.268684293	12.389079609070905	12.506984132924117	2061053952.0	2061070336.0	0	0	1807007952	1807007952	1680796	1680796	0	0	0	0	True	True	True	True	True	True	0.9935356667841762	1.009516810576218	1.0000079493309644		
sc	r02	c/goblint-regression/28-race_reach_37-indirect_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	12.715213062	12.694526715	12.744757791981101	12.775292075006291	2060984320.0	2061111296.0	0	0	1807053072	1807053072	1680820	1680820	0	0	0	0	True	True	True	True	True	True	0.998373102605585	1.0023958307818452	1.0000616093964267		
sc	r02	c/goblint-regression/28-race_reach_45-escape_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.066401037	0.071894809	0.0733536520274356	0.07570146897342056	25841664.0	25923584.0	0	0	3936	3936	1216	1216	0	0	0	0	True	True	True	True	True	True	1.0827362379897774	1.0320068173989052	1.0031700744967507		
sc	r02	c/goblint-regression/28-race_reach_46-escape_racefree.yml	true	true	correct	correct	True	0.074205181	0.063525876	0.0769339210819453	0.06869039894081652	25825280.0	25923584.0	2	2	3536	3536	1088	1088	0	0	0	0	True	True	True	True	True	True	0.8560841055020134	0.8928493176326177	1.003806502775575		
sc	r02	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	correct	correct	True	0.069141425	0.066740585	0.07330310600809753	0.07651604793500155	25808896.0	25796608.0	2	2	2536	2536	768	768	0	0	0	0	True	True	True	True	True	True	0.965276388214446	1.043830911156058	0.9995238850976036		
sc	r02	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	correct	correct	True	0.06520153	0.074828108	0.06955855491105467	0.07686587306670845	25694208.0	25690112.0	1	1	0	0	0	0	0	0	0	0	True	True	True	True	True	True	1.1476434372015505	1.1050527597216149	0.9998405866411605		
sc	r02	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.069206596	0.071594556	0.07388197793625295	0.07404215703718364	25755648.0	25845760.0	0	0	0	0	0	0	0	0	0	0	True	True	True	True	True	True	1.034504803559476	1.0021680402366717	1.0034987277353689		
sc	r02	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	true	true	correct	correct	True	0.067880761	0.073591264	0.07270213798619807	0.07887931307777762	25903104.0	25935872.0	6	6	7136	7136	2240	2240	0	0	0	0	True	True	True	True	True	True	1.0841255005965535	1.0849655218220988	1.0012650221378874		
sc	r02	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	true	correct	correct	True	0.072311894	0.068443152	0.07695361005607992	0.07539974397514015	25825280.0	25825280.0	1	1	0	0	0	0	0	0	0	0	True	True	True	True	True	True	0.9464992301266509	0.9798077558699665	1.0		
