variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	lazy_depth_fallbacks	records
after	pso	r03	13-privatized_69-refine-protected-loop-interval_true.yml	0	30763	2248	10	2	13	0	0	1
after	pso	r03	14_spin2003.yml	0	39847	2600	12	2	8	0	0	1
after	pso	r03	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_45-escape_racing.yml	0	40933	3832	19	2	78	0	0	1
after	pso	r03	28-race_reach_46-escape_racefree.yml	0	786800	5592	29	56	977	0	0	1
after	pso	r03	29_conditionals_vs.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_11-traces-max-simple_true.yml	0	237674	3304	16	20	171	0	0	1
after	pso	r03	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_21-traces-cluster-based_true.yml	0	2435577	6648	35	172	3116	0	0	1
after	pso	r03	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	45_monabsex1_vs.yml	0	111693	3304	16	8	57	0	0	1
after	pso	r03	46_monabsex2_vs.yml	0	169104	4184	21	18	137	0	0	1
after	pso	r03	48_ticket_lock_low_contention_vs-pthread.yml	0	32048	2600	12	2	8	0	0	1
after	pso	r03	48_ticket_lock_low_contention_vs.yml	0	119029	4888	25	8	99	0	0	1
after	pso	r03	butterfly.yml	0	12936472841	11224	61	694890	54985280	0	0	1
after	pso	r03	circular_buffer_bad.yml	0	11992339	31880	89	476	37904	0	0	1
after	pso	r03	circular_buffer_ok.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	dekker-unfair.yml	0	847667	6648	35	74	1600	0	0	1
after	pso	r03	dekker.yml	0	814936	6648	35	70	1568	0	0	1
after	pso	r03	exponential-nondet.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	fib_safe-5.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	fib_safe-6.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-5.yml	0	5747977631	171752	243	96526	11518678	0	0	1
after	pso	r03	fib_unsafe-6.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-7.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	lazy01.yml	0	379739	5592	29	36	861	0	0	1
after	pso	r03	pthread-demo-datarace-3.yml	0	35163595	231304	262	80	930799	0	0	1
after	pso	r03	queue.yml	0	367645796	145000	205	5918	2074810	0	0	1
after	pso	r03	queue_longer.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	queue_ok.yml	0	9184733	534328	433	34	133711	0	0	1
after	pso	r03	queue_ok_longer.yml	155029612	3353995576	44133960	8033	34	49930431	0	0	1
after	pso	r03	queue_ok_longest.yml	454909051	17392067574	174022760	16033	34	203270106	0	16	1
after	pso	r03	race-1_1-join.yml	0	72695	3304	16	6	30	0	0	1
after	pso	r03	race-1_2-join.yml	0	275747	5416	28	26	546	0	0	1
after	pso	r03	race-1_3-join.yml	0	281736	5416	28	26	546	0	0	1
after	pso	r03	race-2_1-container_of.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	0	1
after	pso	r03	reorder_2.yml	0	298618753	29416	82	12692	778472	0	0	1
after	pso	r03	singleton.yml	0	520735	8760	47	40	1331	0	0	1
after	pso	r03	singleton_with-uninit-problems.yml	0	1561499	8936	48	130	3400	0	0	1
after	pso	r03	stateful01-1.yml	0	421883	6824	36	20	941	0	0	1
after	pso	r03	stateful01-2.yml	0	2933905	6824	36	246	4314	0	0	1
after	pso	r03	szymanski.yml	0	15265633	5944	31	756	9033	0	0	1
after	pso	r03	time_var_mutex.yml	0	647180	6296	33	44	1007	0	0	1
after	pso	r03	triangular-1.yml	0	0	0	0	0	0	0	0	0
after	pso	r03	triangular-2.yml	0	7622409582	24488	68	493952	14750405	0	0	1
after	pso	r03	twostage_3.yml	0	4845309	36104	101	138	38625	0	0	1
after	pso	r03	unwind2-1.yml	0	68237	3656	18	6	63	0	0	1
after	pso	r03	unwind2-100.yml	0	72459	3656	18	6	63	0	0	1
after	pso	r03	unwind3-1.yml	0	77763	3656	18	6	187	0	0	1
after	pso	r04	01b_inc.yml	0	146478	4184	21	10	129	0	0	1
after	pso	r04	02_inc_cas.yml	0	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_01-priv_nr_true.yml	0	306500	4360	22	20	590	0	0	1
after	pso	r04	13-privatized_18-first-reads_true.yml	0	267143	3304	16	20	209	0	0	1
after	pso	r04	13-privatized_18-first-reads_unknown_1_neg.yml	0	24698	1896	8	2	27	0	0	1
after	pso	r04	13-privatized_18-first-reads_unknown_2_pos.yml	0	42094	1896	8	2	27	0	0	1
after	pso	r04	13-privatized_19-publish-precision_true.yml	0	643538	4536	23	66	1041	0	0	1
after	pso	r04	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_19-publish-precision_unknown_1_pos.yml	0	37411	2776	13	2	43	0	0	1
after	pso	r04	13-privatized_19-publish-precision_unknown_2_neg.yml	0	33130	2776	13	2	43	0	0	1
