model	task	status	cpu_s	wall_s	rss_bytes	profile_records	checkpoint_records	final_records	max_active_events	max_stable_events	profiled_queries	max_current_base_bytes	max_published_predicate_bytes	max_transactional_predicate_bytes_lower_bound	base_relation_peak_sum	base_set_peak_sum	predicate_relation_peak_sum	predicate_set_peak_sum	predicate_evaluation_ns_sum	normalized_base_relation_peak_sum	reach_relation_peak_sum	target_relation_peak_sum	all_relation_peak_sum	target_relation_share	target_sparse_projection	target_packed_to_sparse	target_structural_projection	target_packed_to_structural
tso	queue_ok_longer.yml	true	3.356937952	3.3790098020108417	309256192	3	2	1	4029	4029	3	18277560	93411360	186799536	18275544	2016	93408336	3024	1701861660	18275544	2030616	40612320	111683880	0.36363636363636365	147276416	0.2757557598359808	15766824	2.5758085458428406
tso	twostage_3.yml	false(unreach-call)	0.096249518	0.11541357799433172	26357760	6	5	1	97	100	20	14464	73696	0	14400	64	73600	96	2632830	14400	1600	32000	88000	0.36363636363636365	103620	0.3088206909862961	12276	2.606712284131639
tso	reorder_2.yml	false(unreach-call)	0.216393291	0.22633272904204205	26226688	10	9	1	79	82	322	11872	60448	0	11808	64	60352	96	28101419	11808	1312	26240	72160	0.36363636363636365	72852	0.3601822873771482	8876	2.9562866155926093
tso	race-1_1-join.yml	true	0.076442791	0.08298049599397928	26210304	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
tso	race-1_3-join.yml	false(unreach-call)	0.08661438	0.09628546994645149	26226688	2	1	1	23	23	1	1688	8512	0	1656	32	8464	48	17096	1656	184	3680	10120	0.36363636363636365	7140	0.5154061624649859	1420	2.591549295774648
tso	race-1_2-join.yml	false(unreach-call)	0.078146226	0.08395205502165481	26218496	2	1	1	23	23	1	1688	8512	0	1656	32	8464	48	18717	1656	184	3680	10120	0.36363636363636365	7140	0.5154061624649859	1420	2.591549295774648
tso	race-4_1-thread_local_vars.yml	true	0.080441364	0.09494083799654618	26349568	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
tso	race-2_1-container_of.yml	true	0.07502461	0.08519586396869272	26349568	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
tso	race-3_1-container_of-global.yml	true	0.081374139	0.09130237100180238	26357760	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0.0	4	0.0
tso	circular_buffer_ok.yml	true	6.922880025	6.94076187297469	26128384	14	13	1	232	232	5148	66944	341696	0	66816	128	341504	192	2504059634	66816	7424	148480	408320	0.36363636363636365	568948	0.26097288328634605	53632	2.768496420047733
tso	triangular-1.yml	true	8.992652767	9.014486332016531	26062848	16	15	1	64	68	32277	9856	50144	0	9792	64	50048	96	2024020004	9792	1088	21760	59840	0.36363636363636365	60252	0.3611498373497975	6580	3.3069908814589666
tso	fib_safe-5.yml	true	9.447634286	9.469464230001904	26038272	14	13	1	239	243	5163	70112	357888	0	69984	128	357696	192	3576222801	69984	7776	155520	427680	0.36363636363636365	565168	0.27517481527616566	46400	3.3517241379310345
tso	fib_unsafe-6.yml	false(unreach-call)	14.931605063	14.952834351977799	26042368	14	13	1	277	281	6177	101320	517280	0	101160	160	517040	240	5923971987	101160	11240	224800	618200	0.36363636363636365	748296	0.3004158782086233	59696	3.765746448673278
tso	queue_ok_longest.yml	true	18.372158574	18.408186129003298	1189212160	3	2	1	8029	8029	3	72843120	372294720	744543072	72839088	4032	372288672	6048	11547311701	72839088	8093232	161864640	445127760	0.36363636363636365	583822016	0.2772499761297114	62251624	2.600167346638218
tso	28-race_reach_11-ptr_racing.yml	OUT OF MEMORY	29.407613868	29.470244234020356	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	butterfly.yml	true	30.616192378	30.650538119953126	26140672	19	18	1	57	60	196280	4352	22128	0	4320	32	22080	48	9933860210	4320	480	9600	26400	0.36363636363636365	38344	0.25036511579386606	4344	2.2099447513812156
tso	28-race_reach_24-sound_lock_racing.yml	OUT OF MEMORY	34.479074314	34.515389178995974	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	28-race_reach_01-simple_racing.yml	OUT OF MEMORY	35.397880803	35.41980795795098	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	28-race_reach_37-indirect_racing.yml	OUT OF MEMORY	40.610470019	40.64971957198577	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	28-race_reach_06-cond_racing1.yml	OUT OF MEMORY	40.129595838	40.16400809696643	3999997952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tso	fib_safe-6.yml	true	50.250986874	50.29114297096385	26025984	16	15	1	277	281	21777	101320	517280	0	101160	160	517040	240	20091422771	101160	11240	224800	618200	0.36363636363636365	759048	0.29616045362085136	59708	3.7649896161318415
tso	fib_unsafe-7.yml	TIMEOUT	60.96473514	61.01423051097663	26017792	15	15	0	315	319	16384	115000	587200	0	114840	160	586960	240	19286766474	114840	12760	255200	701800	0.36363636363636365	962700	0.26508777396904537	74620	3.4199946395068346
tso	queue_longer.yml	TIMEOUT	60.929904936	61.044753752008546	454569984	8	8	0	2153	2153	128	5271632	26939968	53829888	5270544	1088	26938336	1632	15408403670	5270544	585616	11712320	32208880	0.36363636363636365	67334340	0.17394274600449042	5737480	2.041370078849948
