model	repetition	task	before_status	after_status	before_category	after_category	common_terminal	before_cpu_s	after_cpu_s	before_wall_s	after_wall_s	before_memory_bytes	after_memory_bytes	before_executions	after_executions	before_snapshot_bytes	after_snapshot_bytes	before_base_bytes	after_base_bytes	before_lazy_checks	after_lazy_checks	before_lazy_candidates	after_lazy_candidates	terminal_verdict_match	execution_match	candidate_match	lazy_check_match	snapshot_match	base_match	cpu_ratio	wall_ratio	memory_ratio
sc	r01	c/goblint-regression/28-race_reach_37-indirect_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	13.29178992	13.175661779	13.33173610898666	13.282069195061922	2061103104.0	2061107200.0											True	True	True	True	True	True	0.9912631675869883	0.9962745351754105	1.0000019872853483
sc	r01	c/goblint-regression/28-race_reach_45-escape_racing.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.068882076	0.068753695	0.0726648549316451	0.07167516893241554	25829376.0	25870336.0											True	True	True	True	True	True	0.9981362205169311	0.9863801283280544	1.0015857913098636
sc	r01	c/goblint-regression/28-race_reach_46-escape_racefree.yml	true	true	correct	correct	True	0.064581396	0.070859372	0.07067289599217474	0.07726361602544785	25841664.0	25923584.0											True	True	True	True	True	True	1.0972102863803068	1.0932566854767471	1.0031700744967507
sc	r01	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	correct	correct	True	0.069176513	0.067069362	0.07597124099265784	0.07440779590979218	25706496.0	25751552.0											True	True	True	True	True	True	0.9695395025187233	0.9794205667508215	1.0017527087316762
sc	r01	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	correct	correct	True	0.068882314	0.074557389	0.07423598307650536	0.09366615803446621	25743360.0	25788416.0											True	True	True	True	True	True	1.0823879842364181	1.2617352684335936	1.0017501988862372
sc	r01	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.056939513	0.06867155	0.06285076902713627	0.07179979200009257	25858048.0	25890816.0											True	True	True	True	True	True	1.206043859208982	1.1423852581516145	1.0012672263583082
sc	r01	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	true	true	correct	correct	True	0.075926142	0.07252049	0.09420053299982101	0.08845147199463099	25890816.0	25849856.0											True	True	True	True	True	True	0.9551451988697122	0.9389699737134084	0.9984179718398988
sc	r01	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	true	correct	correct	True	0.068174825	0.069259371	0.07531142595689744	0.07692463195417076	25870336.0	25825280.0											True	True	True	True	True	True	1.0159083063286192	1.0214204680999748	0.9982583913869537
sc	r01	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.067528034	0.067807108	0.07209755608346313	0.07315137109253556	25800704.0	25784320.0											True	True	True	True	True	True	1.0041327132372906	1.0146165149877269	0.9993649785680266
sc	r01	c/ldv-races/race-1_1-join.yml	true	true	correct	correct	True	0.068165769	0.07099409	0.07206929102540016	0.07723566598724574	26075136.0	26083328.0											True	True	True	True	True	True	1.0414918080070363	1.0716862187533485	1.0003141690229342
