task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/pthread-deagle/arithmetic_prog_ok.yml	ERROR (compilation)	error	unknown	0.058037031s	0.06820432201493531s	25333760B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe009_power.oepc.yml	false(unreach-call)	correct	benchmark-consistent	0.082437864s	0.0935329610365443s	26357760B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe019_rmo.opt.yml	TIMEOUT	error	unknown	60.814021612s	61.01281343703158s	26329088B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe018_power.opt.yml	false(unreach-call)	correct	benchmark-consistent	50.072829501s	50.303398774995s	26390528B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe016_power.oepc.yml	false(unreach-call)	correct	benchmark-consistent	0.088539486s	0.1011244420078583s	26357760B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe016_rmo.opt.yml	TIMEOUT	error	unknown	60.848973477s	61.01628358301241s	26349568B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/rfi002_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml	true	correct	benchmark-consistent	3.928459353s	3.941225774004124s	26394624B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe003_power.oepc_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml	false(unreach-call)	correct	benchmark-consistent	7.076032926s	7.092069564969279s	26484736B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe032_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml	TIMEOUT	error	unknown	60.844672653s	61.016514665971044s	26427392B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe000_rmo.yml	false(unreach-call)	correct	benchmark-consistent	0.090157153s	0.10256342799402773s	26353664B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe002_rmo.oepc.yml	false(unreach-call)	correct	benchmark-consistent	0.086811867s	0.10048193001421168s	26349568B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe019_power.opt.yml	TIMEOUT	error	unknown	60.830976755s	61.01660702802474s	26398720B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_27-funptr_racing.yml	OUT OF MEMORY	error	unknown	24.173831319s	24.311904026020784s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-wmm/safe023_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml	TIMEOUT	error	unknown	60.860459051s	61.014232909015846s	26419200B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
