task_log	before_max_history_base_bytes	after_max_history_base_bytes	before_retained_snapshot_equivalent_bytes	after_retained_snapshot_equivalent_bytes	before_peak_snapshot_equivalent_bytes	after_peak_snapshot_equivalent_bytes
caat-sc.profile.13-privatized_18-first-reads_unknown_2_pos.yml.log	512	0	1880	0	1880	0
caat-sc.profile.13-privatized_19-publish-precision_true.yml.log	1152	0	4040	0	4040	0
caat-sc.profile.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-sc.profile.13-privatized_19-publish-precision_unknown_1_pos.yml.log	832	0	2960	0	2960	0
caat-sc.profile.13-privatized_19-publish-precision_unknown_2_neg.yml.log	832	0	2960	0	2960	0
caat-sc.profile.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0
caat-sc.profile.13-privatized_20-publish-regression_true.yml.log	768	0	2744	0	2744	0
caat-sc.profile.13-privatized_24-multiple-protecting_true.yml.log	3328	0	11384	0	11384	0
caat-sc.profile.13-privatized_25-struct_nr_true.yml.log	1024	0	3608	0	3608	0
caat-sc.profile.13-privatized_27-multiple-protecting2_true.yml.log	3904	0	13328	0	13328	0
caat-sc.profile.13-privatized_29-multiple-protecting2-vesal_true.yml.log	1984	0	6848	0	6848	0
caat-sc.profile.13-privatized_30-traces-oplus-vs-meet_true.yml.log	1344	0	4688	0	4688	0
caat-sc.profile.13-privatized_31-traces-mine-vs-mutex_true.yml.log	1600	0	5552	0	5552	0
caat-sc.profile.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	1920	0	6632	0	6632	0
caat-sc.profile.13-privatized_33-traces-v-matters_true.yml.log	1216	0	4256	0	4256	0
caat-sc.profile.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	896	0	3176	0	3176	0
caat-sc.profile.13-privatized_35-traces-ex-2_true.yml.log	1280	0	4472	0	4472	0
caat-sc.profile.13-privatized_36-traces-ex-3_true.yml.log	1152	0	4040	0	4040	0
caat-sc.profile.13-privatized_37-traces-ex-4_true.yml.log	960	0	3392	0	3392	0
caat-sc.profile.13-privatized_38-traces-ex-4-switch_true.yml.log	1280	0	4472	0	4472	0
caat-sc.profile.13-privatized_40-traces-ex-6_true.yml.log	896	0	3176	0	3176	0
caat-sc.profile.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-sc.profile.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	832	0	2960	0	2960	0
caat-sc.profile.13-privatized_42-traces-ex-mini_true.yml.log	1216	0	4256	0	4256	0
caat-sc.profile.13-privatized_44-traces-mine2_true.yml.log	832	0	2960	0	2960	0
