   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/source/optimization-analysis/core-direction-review-20260718/finite-skeleton-pthread-wmm.xml
name:                    finite-skeleton-pthread-wmm
run sets:                finite-skeleton.pthread-wmm.unreach-call
date:                    Sat, 2026-07-18 05:52:39 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/experiments/caat-optimization/sc-rvf-exploration/source/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector
parallel runs:           48
resource limits:
- memory:                4000.0 MB
- time:                  15 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    81923ccee93e
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



finite-skeleton.pthread-wmm.unreach-call
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --svcomp-backend=caat-sc' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
rfi006_power.opt.yml                                                                                                                                                   ERROR                            0.08        0.10        None
rfi006_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                           ERROR                            0.08        0.10        None
rfi006_rmo.yml                                                                                                                                                         ERROR                            0.09        0.09        None
rfi007_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                      ERROR                            0.07        0.10        None
rfi007_tso.yml                                                                                                                                                         ERROR                            0.08        0.09        None
rfi008.oepc.yml                                                                                                                                                        ERROR                            0.08        0.11        None
rfi008.opt.yml                                                                                                                                                         ERROR                            0.07        0.08        None
rfi009_power.oepc.yml                                                                                                                                                  ERROR                            0.07        0.09        None
rfi009_power.opt_pso.oepc_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                         ERROR                            0.08        0.09        None
rfi009_rmo.oepc.yml                                                                                                                                                    ERROR                            0.07        0.08        None
rfi010.yml                                                                                                                                                             ERROR                            0.07        0.08        None
safe000_power.oepc.yml                                                                                                                                                 ERROR                            0.09        0.10        None
safe000_power.opt.yml                                                                                                                                                  ERROR                            0.07        0.08        None
safe000_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                          ERROR                            0.06        0.07        None
safe000_rmo.yml                                                                                                                                                        ERROR                            0.09        0.09        None
safe001_power.oepc.yml                                                                                                                                                 ERROR                            0.07        0.08        None
safe001_power.opt_pso.oepc_pso.opt_rmo.opt.yml                                                                                                                         ERROR                            0.08        0.09        None
safe001_rmo.oepc.yml                                                                                                                                                   ERROR                            0.08        0.11        None
safe001_tso.yml                                                                                                                                                        ERROR                            0.07        0.08        None
safe002_power.oepc.yml                                                                                                                                                 ERROR                            0.09        0.10        None
safe002_power.opt_pso.oepc_pso.opt_rmo.opt.yml                                                                                                                         ERROR                            0.08        0.09        None
safe002_rmo.oepc.yml                                                                                                                                                   ERROR                            0.09        0.10        None
safe002_tso.yml                                                                                                                                                        ERROR                            0.07        0.08        None
safe003_power.oepc_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                               ERROR                            0.08        0.10        None
safe003_power.opt.yml                                                                                                                                                  ERROR                            0.08        0.09        None
safe003_tso.yml                                                                                                                                                        ERROR                            0.06        0.07        None
safe004_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                               ERROR                            0.07        0.08        None
safe004_power.opt_pso.opt_rmo.opt.yml                                                                                                                                  ERROR                            0.09        0.10        None
safe004_tso.yml                                                                                                                                                        ERROR                            0.07        0.08        None
safe005_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                     ERROR                            0.07        0.07        None
safe005_tso.yml                                                                                                                                                        ERROR                            0.07        0.08        None
safe006_power.oepc-thin000_power.oepc.yml                                                                                                                              ERROR                            0.06        0.08        None
safe006_power.opt-thin000_power.opt.yml                                                                                                                                ERROR                            0.07        0.08        None
safe006_pso.oepc_pso.opt_tso.oepc_tso.opt-thin000_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                ERROR                            0.07        0.08        None
safe006_rmo.oepc_rmo.opt-thin000_rmo.oepc_rmo.opt.yml                                                                                                                  ERROR                            0.08        0.09        None
safe007_power.oepc-thin001_power.oepc.yml                                                                                                                              ERROR                            0.07        0.07        None
