variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r01	stateful01-2.yml	0	4327916	6824	36	246	1692	0	123	37267	41070	0	6	1	26124288
after	pso	r01	szymanski.yml	0	9023008	5944	31	756	4332	0	378	102094	108225	0	6	1	26132480
after	pso	r01	time_var_mutex.yml	0	754038	6296	33	44	346	0	22	7806	9095	0	2	1	26079232
after	pso	r01	triangular-1.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26091520
after	pso	r01	triangular-2.yml	0	11022602098	24488	68	493952	6107784	0	246976	135832488	148775415	0	3638	1	26165248
after	pso	r01	twostage_3.yml	0	6977460	36104	101	138	12711	0	69	91454	147654	0	4	1	26349568
after	pso	r01	unwind2-1.yml	0	109120	3656	18	6	30	0	3	719	746	0	1	1	26083328
after	pso	r01	unwind2-100.yml	0	111381	3656	18	6	30	0	3	719	746	0	1	1	26095616
after	pso	r01	unwind3-1.yml	0	120684	3656	18	6	83	0	3	1032	1238	0	1	1	26091520
after	pso	r02	01b_inc.yml	0	229140	4184	21	10	76	0	5	1420	1600	0	0	1	25989120
after	pso	r02	02_inc_cas.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25993216
after	pso	r02	13-privatized_01-priv_nr_true.yml	0	430883	4360	22	20	410	0	10	2872	3294	0	2	1	26087424
after	pso	r02	13-privatized_18-first-reads_true.yml	0	286948	3304	16	20	87	0	10	2344	2522	0	2	1	26087424
after	pso	r02	13-privatized_18-first-reads_unknown_1_neg.yml	0	47298	1896	8	2	12	0	1	254	289	0	0	1	26091520
after	pso	r02	13-privatized_18-first-reads_unknown_2_pos.yml	0	48265	1896	8	2	12	0	1	254	289	0	0	1	25989120
after	pso	r02	13-privatized_19-publish-precision_true.yml	0	864653	4536	23	66	521	0	33	10374	11627	0	3	1	26087424
after	pso	r02	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25997312
after	pso	r02	13-privatized_19-publish-precision_unknown_1_pos.yml	0	72482	2776	13	2	17	0	1	419	487	0	0	1	26087424
after	pso	r02	13-privatized_19-publish-precision_unknown_2_neg.yml	0	57236	2776	13	2	17	0	1	419	487	0	0	1	26062848
