back_offered	back_queued	category	co_offered	co_queued	cputime	memory	peak_work	realized_prefixes	rejected_prefixes	repetition	rf_offered	rf_queued	status	task	validity_queries	variant	walltime	work_added	work_popped
1	1	correct	11	3	0.068363021	26054656.0	5	2	0	01	6	1	false(unreach-call)	goblint-regression/28-race_reach_45-escape_racing.yml	1	baseline	0.07839751592837274	6	2
1	1	correct	45	26	0.071132687	26083328.0	16	28	26	01	10	1	true	goblint-regression/28-race_reach_46-escape_racefree.yml	29	baseline	0.08011114201508462	28	28
		error			61.058539315	1057062912.0				01			TIMEOUT	goblint-regression/28-race_reach_01-simple_racing.yml		baseline	61.08042077696882		
		error			61.048109895	1057161216.0				01			TIMEOUT	goblint-regression/28-race_reach_11-ptr_racing.yml		baseline	61.06931752397213		
8	8	correct	1022	896	0.107023495	26091520.0	945	177	168	01	175	49	false(unreach-call)	pthread-deagle/circular_buffer_bad.yml	238	baseline	0.11225650098640472	954	178
		error			60.980791493	26021888.0				01			TIMEOUT	pthread/fib_safe-5.yml		baseline	61.01358329888899		
		error			60.978549994	26038272.0				01			TIMEOUT	pthread/fib_safe-6.yml		baseline	61.012447755085304		
642	642	correct	51518	47782	14.565950662	26083328.0	589	48431	47323	01	2204	652	false(unreach-call)	pthread/fib_unsafe-5.yml	48728	baseline	14.58336492208764	49077	48598
		error			60.978926328	26087424.0				01			TIMEOUT	pthread/fib_unsafe-6.yml		baseline	61.01788206794299		
		error			60.981459386	26099712.0				01			TIMEOUT	pthread/fib_unsafe-7.yml		baseline	61.01817951304838		
		error			61.012087444	1057189888.0				01			TIMEOUT	goblint-regression/28-race_reach_24-sound_lock_racing.yml		baseline	61.07135013991501		
2	2	correct	28	18	0.069842619	26066944.0	20	14	10	01	12	2	false(unreach-call)	pthread/lazy01.yml	19	baseline	0.0797334189992398	23	14
		error			60.976649413	26161152.0				01			TIMEOUT	pthread-deagle/circular_buffer_ok.yml		baseline	61.01405104401056		
64	11	correct	264	179	0.088130045	26103808.0	21	209	179	01	297	19	true	pthread-atomic/szymanski.yml	404	baseline	0.09457370603922755	209	209
7	5	correct	43	22	0.067324176	26046464.0	11	33	24	01	26	6	true	pthread-atomic/dekker.yml	44	baseline	0.07767653395421803	33	33
7	5	correct	45	23	0.070594586	26058752.0	11	34	25	01	28	6	true	pthread-atomic/dekker-unfair.yml	46	baseline	0.0782700179843232	34	34
0	0	correct	3	1	0.067980258	26132480.0	2	2	0	01	5	1	false(unreach-call)	pthread-theta/unwind3-1.yml	4	baseline	0.07334339700173587	3	2
0	0	correct	0	0	0.066279861	26107904.0	0	0	0	01	1	0	true	pthread-theta/exponential-nondet.yml	0	baseline	0.07288333703763783	0	0
1	1	correct	3	1	0.066302198	26075136.0	3	2	0	01	5	0	false(unreach-call)	pthread-theta/unwind2-1.yml	4	baseline	0.07851449807640165	4	2
1	1	correct	3	1	0.065522411	26083328.0	3	2	0	01	5	0	false(unreach-call)	pthread-theta/unwind2-100.yml	4	baseline	0.07333534106146544	4	2
32161	19876	correct	29854	993	27.220899833	26214400.0	21	89068	161	01	444081	76012	true	pthread/butterfly.yml	418710	baseline	27.238203353015706	96882	96882
0	0	correct	0	0	0.064837989	25948160.0	0	0	0	01	0	0	true	pthread-ext/43_NetBSD_sysmon_power_sliced.yml	0	baseline	0.07200217805802822	0	0
		error			61.04289309	1057157120.0				01			TIMEOUT	goblint-regression/28-race_reach_06-cond_racing1.yml		baseline	61.06043790502008		
1	1	correct	19	12	0.094177095	26292224.0	9	14	12	01	7	1	true	pthread/queue_ok.yml	18	baseline	0.09999146696645766	14	14
1	1	correct	19	12	4.242091866	125460480.0	9	14	12	01	7	1	true	pthread/queue_ok_longer.yml	18	baseline	4.250077762990259	14	14
1	1	correct	19	12	19.97095021	461557760.0	9	14	12	01	7	1	true	pthread/queue_ok_longest.yml	18	baseline	19.987276201951317	14	14
		error			60.984354949	82788352.0				01			TIMEOUT	pthread/queue_longer.yml		baseline	61.018693004967645		
22	22	correct	19779	18860	1.229297812	26304512.0	18040	2503	2480	01	1318	400	false(unreach-call)	pthread/queue.yml	2959	baseline	1.2369451069971547	19283	2505
3	3	correct	59	40	0.075392189	26198016.0	27	22	16	01	12	3	false(unreach-call)	pthread/singleton.yml	21	baseline	0.08411852293647826	48	22
3	3	correct	82	59	0.082048165	26292224.0	26	66	59	01	13	3	true	pthread/singleton_with-uninit-problems.yml	68	baseline	0.0881627140333876	66	66
40	40	correct	52520	50800	0.180052704	26050560.0	51601	41	0	01	1660	800	false(unreach-call)	pthread-C-DAC/pthread-demo-datarace-3.yml	40	baseline	0.19014987698756158	51641	41
166	166	correct	7064	6222	0.739618275	26165248.0	208	6403	6130	01	512	172	false(unreach-call)	pthread/reorder_2.yml	6452	baseline	0.7483890679432079	6561	6459
11	9	correct	228	164	0.099499658	26349568.0	120	70	54	01	45	15	false(unreach-call)	pthread/twostage_3.yml	74	baseline	0.10690144693944603	190	71
0	0	correct	4	2	0.076526208	26189824.0	2	2	2	01	2	0	true	ldv-races/race-1_1-join.yml	3	baseline	0.08113173604942858	2	2
2	2	correct	35	20	0.077041165	26218496.0	17	14	11	01	10	2	false(unreach-call)	ldv-races/race-1_3-join.yml	13	baseline	0.08534647501073778	25	15
2	2	correct	35	20	0.075858545	26234880.0	17	14	11	01	10	2	false(unreach-call)	ldv-races/race-1_2-join.yml	13	baseline	0.08352932007983327	25	15
0	0	correct	0	0	0.078523198	26345472.0	0	0	0	01	0	0	true	ldv-races/race-4_1-thread_local_vars.yml	0	baseline	0.0866243519121781	0	0
0	0	correct	0	0	0.078849371	26353664.0	0	0	0	01	0	0	true	ldv-races/race-2_1-container_of.yml	0	baseline	0.08568876993376762	0	0
0	0	correct	0	0	0.075068065	26394624.0	0	0	0	01	0	0	true	ldv-races/race-3_1-container_of-global.yml	0	baseline	0.0845130808884278	0	0
0	0	correct	0	0	0.076067472	26025984.0	0	0	0	01	0	0	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	0	pruning	0.08049612201284617	0	0
0	0	correct	0	0	0.070482366	25939968.0	1	1	0	01	0	0	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	pruning	0.07577229593880475	1	1
0	0	correct	0	0	0.070977797	25886720.0	0	0	0	01	0	0	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	0	pruning	0.07460068899672478	0	0
0	0	correct	2	0	0.069834741	26009600.0	0	0	0	01	1	0	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	0	pruning	0.07806190999690443	0	0
1	1	correct	7	0	0.070531803	26005504.0	2	2	0	01	4	1	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	3	pruning	0.07556261506397277	2	2
0	0	correct	4	0	0.057023518	26009600.0	0	0	0	01	2	0	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	0	pruning	0.06864861608482897	0	0
1	1	correct	7	0	0.07444495	25980928.0	2	2	0	01	4	1	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	3	pruning	0.0818900850135833	2	2
1	1	correct	10	0	0.073850353	25985024.0	2	2	0	01	7	1	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	1	pruning	0.0753832629416138	3	2
0	0	correct	3	0	0.069096322	25997312.0	1	1	0	01	2	0	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	pruning	0.07026651897467673	1	1
1	1	correct	10	0	0.069203492	25989120.0	2	2	0	01	8	1	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	3	pruning	0.07604072301182896	2	2
0	0	correct	3	0	0.070238294	26021888.0	0	0	0	01	2	0	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	0	pruning	0.07706820394378155	0	0
1	1	correct	8	0	0.068070111	25968640.0	2	2	0	01	7	1	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	2	pruning	0.07396917301230133	2	2
1	1	correct	3	0	0.072531351	25985024.0	2	2	0	01	3	1	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	1	pruning	0.08003594097681344	3	2
1	1	correct	3	0	0.073963223	26087424.0	2	2	0	01	3	1	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	1	pruning	0.08042809797916561	3	2
