   BENCHMARK INFORMATION
benchmark definition:    /data3/sujie/svcomp2026-caat/source/genmc-cd09f78b/optimization-analysis/core-direction-review-20260718/decisive-diagnostic-283.xml
name:                    decisive-diagnostic-283
run sets:                recursive-caat-observation-only.pthread-wmm-283
date:                    Sun, 2026-07-19 09:28:47 UTC
tool:                    GenMC SV-COMP fair-coverage adapter GenMC (https://plv.mpi-sws.org/genmc):
  GenMC v0.17.0 (commit #unknown)
  Built with LLVM 15.0.7 (Release)
tool executable:         /data3/sujie/svcomp2026-caat/source/genmc-cd09f78b/optimization-analysis/continuous/candidate-equivalence-quotient/formal-wrapper.sh
options:                 --disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats
parallel runs:           24
resource limits:
- memory:                4000.0 MB
- time:                  60 s
- cpu cores:             1
hardware requirements:
- cpu cores:             1
- memory:                4000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    e174c7375735
os:                      Linux-5.15.0-185-generic-x86_64-with-glibc2.39
cpu:                     Intel Xeon Platinum 8280M CPU @ 2.60GHz
- cores:                 56
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     810198.736896 MB
------------------------------------------------------------



recursive-caat-observation-only.pthread-wmm-283
Run set 1 of 1 with options '--disable-estimation --disable-mm-detector --svcomp-backend=caat-sc --cat-stats' and propertyfile 'None'

inputfile                                                                                                                                                              status                       cpu time   wall time        host
mix034_pso.opt_tso.opt.yml                                                                                                                                             false(unreach-call)              1.19        1.20        None
mix035.oepc.yml                                                                                                                                                        false(unreach-call)             36.99       37.00        None
mix035_power.opt_rmo.opt.yml                                                                                                                                           TIMEOUT                         61.00       61.01        None
mix035_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.01       61.01        None
mix036.oepc.yml                                                                                                                                                        TIMEOUT                         60.98       61.01        None
mix036_power.opt_rmo.opt.yml                                                                                                                                           TIMEOUT                         61.00       61.01        None
mix036_pso.opt_tso.opt.yml                                                                                                                                             TIMEOUT                         61.00       61.01        None
mix037.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix037_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix037_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.99       61.01        None
mix038.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix038_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)             36.59       36.60        None
mix038_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.89       61.01        None
mix039.oepc.yml                                                                                                                                                        TIMEOUT                         60.99       61.01        None
mix039.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix040.opt.yml                                                                                                                                                         TIMEOUT                         60.99       61.01        None
mix040_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.99       61.01        None
mix040_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.65       61.01        None
mix041_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)              0.18        0.18        None
mix041_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  false(unreach-call)              1.03        1.03        None
mix042.oepc.yml                                                                                                                                                        false(unreach-call)             37.77       37.92        None
mix042.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.01        None
mix043.oepc.yml                                                                                                                                                        TIMEOUT                         60.76       61.01        None
mix043.opt.yml                                                                                                                                                         TIMEOUT                         61.00       61.02        None
mix044.opt.yml                                                                                                                                                         TIMEOUT                         60.88       61.01        None
mix044_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.96       61.01        None
mix044_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.01        None
mix045_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)             36.13       36.15        None
mix045_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  TIMEOUT                         61.00       61.01        None
mix046.oepc.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
mix046.opt.yml                                                                                                                                                         TIMEOUT                         60.97       61.01        None
mix047_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix047_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  TIMEOUT                         60.91       61.01        None
mix048_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt-podwr000_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.yml    false(unreach-call)              0.11        0.12        None
mix049_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt-podwr001_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt_tso.oepc_tso.opt.yml    false(unreach-call)              8.45        8.46        None
mix050.yml                                                                                                                                                             TIMEOUT                         61.00       61.01        None
mix051_power.oepc_power.opt_pso.oepc_rmo.oepc.yml                                                                                                                      TIMEOUT                         61.00       61.02        None
mix051_pso.opt_rmo.opt_tso.opt.yml                                                                                                                                     TIMEOUT                         61.00       61.01        None
mix051_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.98       61.01        None
mix052_power.oepc_power.opt_pso.oepc_rmo.oepc.yml                                                                                                                      false(unreach-call)              8.18        8.19        None
mix052_pso.opt_rmo.opt_tso.opt.yml                                                                                                                                     TIMEOUT                         61.00       61.01        None
mix052_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.99       61.01        None
mix053.opt.yml                                                                                                                                                         TIMEOUT                         60.91       61.01        None
mix053_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix053_tso.oepc.yml                                                                                                                                                    TIMEOUT                         60.99       61.01        None
mix054_power.oepc_power.opt_pso.oepc_rmo.oepc.yml                                                                                                                      false(unreach-call)              0.11        0.11        None
mix054_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                            false(unreach-call)              0.28        0.29        None
mix055.opt.yml                                                                                                                                                         TIMEOUT                         60.80       61.01        None
mix055_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         61.00       61.01        None
mix055_tso.oepc.yml                                                                                                                                                    TIMEOUT                         61.00       61.01        None
mix056_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)              8.19        8.20        None
mix056_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  TIMEOUT                         60.75       61.01        None
mix057_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                TIMEOUT                         60.98       61.01        None
mix057_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  TIMEOUT                         60.91       61.01        None
rfi000_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)              0.22        0.23        None
rfi000_power.opt_pso.opt_rmo.opt.yml                                                                                                                                   false(unreach-call)              1.03        1.03        None
rfi000_tso.yml                                                                                                                                                         true                             2.11        2.12        None
rfi001_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                                false(unreach-call)              0.19        0.20        None
rfi001_power.opt_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                                  false(unreach-call)              1.04        1.05        None
rfi002_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                      true                             5.52        5.53        None
rfi002_tso.yml                                                                                                                                                         true                             7.67        7.68        None
rfi003_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                      false(unreach-call)              2.81        2.83        None
rfi003_tso.yml                                                                                                                                                         true                             5.49        5.50        None
rfi004.yml                                                                                                                                                             false(unreach-call)              2.87        2.88        None
rfi005.yml                                                                                                                                                             false(unreach-call)              0.08        0.09        None
rfi006_power.oepc.yml                                                                                                                                                  false(unreach-call)              0.08        0.09        None
rfi006_power.opt.yml                                                                                                                                                   false(unreach-call)              0.09        0.09        None
rfi006_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                           TIMEOUT                         60.99       61.01        None
rfi006_rmo.yml                                                                                                                                                         false(unreach-call)              0.08        0.09        None
rfi007_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                      false(unreach-call)              0.14        0.15        None
rfi007_tso.yml                                                                                                                                                         false(unreach-call)              0.73        0.74        None
rfi008.oepc.yml                                                                                                                                                        false(unreach-call)              0.18        0.18        None
rfi008.opt.yml                                                                                                                                                         false(unreach-call)              1.73        1.73        None
rfi009_power.oepc.yml                                                                                                                                                  false(unreach-call)              0.08        0.09        None
rfi009_power.opt_pso.oepc_pso.opt_rmo.opt_tso.oepc_tso.opt.yml                                                                                                         TIMEOUT                         61.00       61.01        None
rfi009_rmo.oepc.yml                                                                                                                                                    false(unreach-call)              0.08        0.10        None
rfi010.yml                                                                                                                                                             false(unreach-call)              1.73        1.80        None
safe000_power.oepc.yml                                                                                                                                                 false(unreach-call)              0.09        0.10        None
safe000_power.opt.yml                                                                                                                                                  TIMEOUT                         61.00       61.02        None
safe000_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                          TIMEOUT                         60.99       61.01        None
safe000_rmo.yml                                                                                                                                                        false(unreach-call)              0.08        0.09        None
safe001_power.oepc.yml                                                                                                                                                 false(unreach-call)              0.09        0.09        None
safe001_power.opt_pso.oepc_pso.opt_rmo.opt.yml                                                                                                                         TIMEOUT                         61.00       61.01        None
safe001_rmo.oepc.yml                                                                                                                                                   false(unreach-call)              0.09        0.09        None
safe001_tso.yml                                                                                                                                                        TIMEOUT                         60.95       61.01        None
safe002_power.oepc.yml                                                                                                                                                 false(unreach-call)              0.09        0.09        None
safe002_power.opt_pso.oepc_pso.opt_rmo.opt.yml                                                                                                                         TIMEOUT                         60.99       61.01        None
safe002_rmo.oepc.yml                                                                                                                                                   false(unreach-call)              0.09        0.10        None
safe002_tso.yml                                                                                                                                                        TIMEOUT                         61.00       61.01        None
safe003_power.oepc_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                               false(unreach-call)             10.27       10.33        None
safe003_power.opt.yml                                                                                                                                                  TIMEOUT                         60.91       61.01        None
safe003_tso.yml                                                                                                                                                        TIMEOUT                         60.98       61.02        None
safe004_power.oepc_pso.oepc_rmo.oepc.yml                                                                                                                               false(unreach-call)              9.96        9.97        None
safe004_power.opt_pso.opt_rmo.opt.yml                                                                                                                                  TIMEOUT                         60.98       61.01        None
safe004_tso.yml                                                                                                                                                        TIMEOUT                         60.98       61.01        None
safe005_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                     TIMEOUT                         60.99       61.01        None
safe005_tso.yml                                                                                                                                                        TIMEOUT                         60.99       61.01        None
safe006_power.oepc-thin000_power.oepc.yml                                                                                                                              false(unreach-call)              0.08        0.09        None
safe006_power.opt-thin000_power.opt.yml                                                                                                                                false(unreach-call)              0.36        0.36        None
safe006_pso.oepc_pso.opt_tso.oepc_tso.opt-thin000_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                true                             0.20        0.20        None
safe006_rmo.oepc_rmo.opt-thin000_rmo.oepc_rmo.opt.yml                                                                                                                  false(unreach-call)              0.08        0.08        None
safe007_power.oepc-thin001_power.oepc.yml                                                                                                                              false(unreach-call)              0.08        0.08        None
safe007_power.opt-thin001_power.opt.yml                                                                                                                                TIMEOUT                         60.92       61.01        None
safe007_pso.oepc_pso.opt_tso.oepc_tso.opt-thin001_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                TIMEOUT                         60.87       61.01        None
safe007_rmo.oepc_rmo.opt-thin001_rmo.oepc_rmo.opt.yml                                                                                                                  false(unreach-call)              0.08        0.08        None
safe008_power.oepc_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                               false(unreach-call)              6.81        6.81        None
safe008_power.opt.yml                                                                                                                                                  TIMEOUT                         60.98       61.01        None
safe008_tso.yml                                                                                                                                                        TIMEOUT                         60.99       61.01        None
safe009_power.oepc.yml                                                                                                                                                 false(unreach-call)              0.08        0.09        None
safe009_power.opt.yml                                                                                                                                                  TIMEOUT (false(unreach-call))       60.41       60.43        None
safe009_pso.oepc_pso.opt_tso.oepc_tso.opt.yml                                                                                                                          true                            39.43       39.71        None
safe009_rmo.oepc.yml                                                                                                                                                   false(unreach-call)              0.08        0.09        None
safe009_rmo.opt.yml                                                                                                                                                    false(unreach-call)             52.39       52.41        None
safe010_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml                                                                                                     false(unreach-call)              0.10        0.11        None
safe010_tso.yml                                                                                                                                                        true                             0.19        0.20        None
safe011_power.oepc_pso.oepc_rmo.oepc_rmo.opt.yml                                                                                                                       false(unreach-call)              6.73        6.73        None
safe011_power.opt_pso.opt.yml                                                                                                                                          TIMEOUT                         60.89       61.01        None
safe011_tso.yml                                                                                                                                                        TIMEOUT                         60.99       61.01        None
safe012_power.oepc.yml                                                                                                                                                 false(unreach-call)              0.08        0.09        None
safe012_power.opt.yml                                                                                                                                                  TIMEOUT                         60.99       61.01        None
