model	task_yaml	cat_wall_seconds	caat_wall_seconds	wall_ratio_caat_over_cat	cat_memory_bytes	caat_memory_bytes	memory_ratio_caat_over_cat	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
sc	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	0.06451264582574368	0.06187285506166518	0.9590810339540423	25976832.0	25989120.0	1.000473036896878	18	4	1152	1152	126	650887	0	6
sc	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	0.06525254691950977	0.06471928209066391	0.9918276779371746	26095616.0	26107904.0	1.0004708836917282	35	8	2240	2240	688	754437	0	18
sc	c/pthread-atomic/szymanski.yml	0.060318358009681106	0.06094331294298172	1.010360940747099	26054656.0	26066944.0	1.0004716239584972	29	14	1856	1856	306	740000	0	31
sc	c/goblint-regression/28-race_reach_45-escape_racing.yml	0.058841407066211104	0.058350187027826905	0.9916517965345143	26030080.0	26050560.0	1.000786782061369	19	0	1216	1216	208	576177	0	1
sc	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	0.05844321311451495	0.06558206886984408	1.1221502955585467	25968640.0	25989120.0	1.000788643533123	12	0	768	768	82	569444	0	3
sc	c/pthread/stateful01-2.yml	0.06944001605734229	0.06053303903900087	0.871731351401385	26083328.0	26095616.0	1.0004711055276383	32	5	2048	2048	736	718750	0	9
sc	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0.06543256505392492	0.06439700885675848	0.9841736878828912	26001408.0	26013696.0	1.0004725897920606	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	0.06124231009744108	0.06324158003553748	1.032645240437786	26071040.0	26083328.0	1.000471327572663	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	0.0631529800593853	0.062889298889786	0.9958247232458176	26013696.0	26030080.0	1.0006298220752636	13	0	832	832	108	639053	0	1
sc	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0.06265736697241664	0.062144660856574774	0.9918173051212387	25919488.0	25944064.0	1.0009481668773703	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_37-traces-ex-4_true.yml	0.06005103699862957	0.06185568613000214	1.030051922857115	25993216.0	26005504.0	1.00047273873306	15	0	960	960	126	560000	0	3
sc	c/ldv-races/race-1_3-join.yml	0.06713338987901807	0.062187502859160304	0.9263274649355439	26243072.0	26275840.0	1.0012486343062275	23	0	1472	1472	272	514177	0	1
sc	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	0.061919800005853176	0.06275098398327827	1.0134235572037786	25993216.0	26009600.0	1.000630318310747	19	0	1216	1216	208	576177	0	4
sc	c/goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	0.06244476092979312	0.06014233594760299	0.9631286124262889	26034176.0	26050560.0	1.000629326620516	31	13	1984	1984	332	632231	0	9
sc	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	0.0623797089792788	0.06197302206419408	0.9934804614875679	26025984.0	26046464.0	1.0007869058860561	25	13	1600	1600	190	628099	0	9
sc	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	0.06367533700540662	0.0594893388915807	0.9342602911788204	26021888.0	26030080.0	1.00031481189989	21	5	1344	1344	180	639053	0	5
sc	c/pthread-ext/29_conditionals_vs.yml	0.0565154270734638	0.06114297593012452	1.0818811623000817	25948160.0	25968640.0	1.000789265982636	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	0.07479194388724864	0.0637888889759779	0.8528844907700459	26066944.0	26079232.0	1.0004714016341922	52	22	3328	3328	1574	582852	0	18
sc	c/goblint-regression/13-privatized_18-first-reads_true.yml	0.05990150501020253	0.06103758397512138	1.0189657833259007	26009600.0	26025984.0	1.0006299212598426	12	0	768	768	82	569444	0	3
sc	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	0.11222960497252643	0.0670789391733706	0.5976938009341776	26103808.0	26128384.0	1.000941471834301	61	41	3904	3904	2110	716633	0	54
sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	0.06417732196860015	0.061798772076144814	0.9629378444052389	26009600.0	26034176.0	1.0009448818897637	0	0	0	0	0	0	0	0
sc	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0.06346288090571761	0.05767111084423959	0.9087376750185285	26058752.0	26075136.0	1.0006287331027979	0	0	0	0	0	0	0	0
sc	c/pthread-ext/01b_inc.yml	0.0647814420517534	0.06166334100998938	0.9518673721515338	26005504.0	26025984.0	1.0007875255945817	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0.05958590586669743	0.0597478689160198	1.0027181436107508	26079232.0	26095616.0	1.0006282393591959	0	0	0	0	0	0	0	0
sc	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0.06378575903363526	0.05911120888777077	0.9267148307602717	26013696.0	26038272.0	1.0009447331128956	14	0	896	896	114	581632	0	3
sc	c/pthread/queue.yml	0.7421326129697263	0.0755042030941695	0.1017395028525037	26226688.0	26234880.0	1.0003123535842573	201	0	51456	51456	23872	590876	0	20
sc	c/goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	0.0649767299182713	0.06179399695247412	0.9510173415959764	26013696.0	26030080.0	1.0006298220752636	13	0	832	832	108	639053	0	1
