model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,realized_revisit_prefixes,rf_offered,rf_queued,validity_queries,work_added,work_popped
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-5.yml,TIMEOUT,error,60.967020802,61.01995929691475,26038272,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-6.yml,TIMEOUT,error,60.976490201,61.0191028220579,26079232,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-5.yml,false(unreach-call),correct,14.873480722,14.891863246914,26054656,642,642,51518,47782,47323,589,48431,2204,652,48728,49077,48598
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-6.yml,TIMEOUT,error,60.865108741,61.00739579205401,26034176,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-7.yml,TIMEOUT,error,60.96609236,61.00748820893932,26009600,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_24-sound_lock_racing.yml,TIMEOUT,error,61.029022768,61.05071648093872,1057161216,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/lazy01.yml,false(unreach-call),correct,0.070587674,0.07810219598468393,26058752,2,2,28,18,10,20,14,12,2,19,23,14
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_ok.yml,TIMEOUT,error,60.968324676,61.01577734493185,26148864,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/szymanski.yml,true,correct,0.08612929,0.09072650596499443,26034176,64,11,264,179,179,21,209,297,19,404,209,209
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/dekker.yml,true,correct,0.076547345,0.08317151002120227,26128384,7,5,43,22,24,11,33,26,6,44,33,33
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/dekker-unfair.yml,true,correct,0.077660789,0.0868156849173829,26095616,7,5,45,23,25,11,34,28,6,46,34,34
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind3-1.yml,false(unreach-call),correct,0.066642775,0.07337190303951502,26152960,0,0,3,1,0,2,2,5,1,4,3,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/exponential-nondet.yml,true,correct,0.0712123,0.07543240394443274,26157056,0,0,0,0,0,0,0,1,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind2-1.yml,false(unreach-call),correct,0.074682984,0.08278396702371538,26083328,1,1,3,1,0,3,2,5,0,4,4,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind2-100.yml,false(unreach-call),correct,0.07249915,0.08263081195764244,26161152,1,1,3,1,0,3,2,5,0,4,4,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/butterfly.yml,true,correct,27.296813094,27.329632862936705,26177536,32161,19876,29854,993,161,21,89068,444081,76012,418710,96882,96882
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml,true,correct,0.071552425,0.0776180389802903,25960448,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_06-cond_racing1.yml,TIMEOUT,error,61.026166337,61.05237368901726,1057210368,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok.yml,true,correct,0.097048533,0.10463891609106213,26243072,1,1,19,12,12,9,14,7,1,18,14,14
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok_longer.yml,true,correct,4.357393026,4.374847066006623,123031552,1,1,19,12,12,9,14,7,1,18,14,14
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok_longest.yml,true,correct,20.566699704,20.59289422398433,484073472,1,1,19,12,12,9,14,7,1,18,14,14
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_longer.yml,TIMEOUT,error,60.98776943,61.01673207699787,80691200,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue.yml,false(unreach-call),correct,1.107520376,1.1158201929647475,26296320,22,22,19779,18860,2480,18040,2503,1318,400,2959,19283,2505
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/singleton.yml,false(unreach-call),correct,0.07270567,0.08194806810934097,26218496,3,3,59,40,16,27,22,12,3,21,48,22
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/singleton_with-uninit-problems.yml,true,correct,0.074411071,0.08453138510230929,26218496,3,3,82,59,59,26,66,13,3,68,66,66
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-C-DAC/pthread-demo-datarace-3.yml,false(unreach-call),correct,0.149044091,0.15597703296225518,26083328,40,40,52520,50800,0,51601,41,1660,800,40,51641,41
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/reorder_2.yml,false(unreach-call),correct,0.643626846,0.6503398340428248,26214400,166,166,7064,6222,6130,208,6403,512,172,6452,6561,6459
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/twostage_3.yml,false(unreach-call),correct,0.08215847,0.09113959106616676,26370048,11,9,228,164,54,120,70,45,15,74,190,71
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_1-join.yml,true,correct,0.073781163,0.07563253992702812,26218496,0,0,4,2,2,2,2,2,0,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_3-join.yml,false(unreach-call),correct,0.069609917,0.07746898592449725,26292224,2,2,35,20,11,17,14,10,2,13,25,15
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_2-join.yml,false(unreach-call),correct,0.074631631,0.0797619268996641,26218496,2,2,35,20,11,17,14,10,2,13,25,15
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-4_1-thread_local_vars.yml,true,correct,0.069339288,0.07806160196196288,26308608,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-2_1-container_of.yml,true,correct,0.069021575,0.07418732496444136,26292224,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-3_1-container_of-global.yml,true,correct,0.067199576,0.07576348900329322,26370048,0,0,0,0,0,0,0,0,0,0,0,0
