archive	log	adapter_ns	adaptive_offline	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_33-traces-v-matters_true.yml.log	0	9	3109	0	3192	0	0	0	1	0	0	152149	23	604914	320	1976	1976	16	27	10	422592	0	12808	0	11	0	0	424110	0	12808	0	0	0	0	627039	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_31-traces-mine-vs-mutex_true.yml.log	0	83	15346	0	21656	0	0	0	1	0	0	1031074	29	628099	486	2192	2192	24	30	84	3430017	0	14176	0	87	0	0	3436245	0	14176	0	0	0	0	4822995	3	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_30-traces-oplus-vs-meet_true.yml.log	0	29	6382	0	8605	0	0	0	1	0	0	363308	25	639053	366	1904	1904	14	26	30	1148568	0	12352	0	31	0	0	1151558	0	12352	0	0	0	0	1648196	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	0	75	16358	0	23249	0	0	0	1	0	0	1200144	35	642857	728	2624	2624	25	36	76	3869718	0	16912	0	78	0	0	3876468	0	16912	0	0	0	0	5436355	2	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_20-publish-regression_true.yml.log	0	17	4314	0	5426	0	0	0	1	0	0	206377	23	632812	288	1760	1760	15	24	18	671387	0	11440	0	19	0	0	673432	0	11440	0	0	0	0	957415	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	0	11	3354	0	3760	0	0	0	1	0	0	172241	26	581632	368	2048	2048	19	28	12	528129	0	13264	0	13	0	0	529678	0	13264	0	0	0	0	760762	1	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	0	0	813	0	0	0	0	0	1	0	0	18412	10	640000	64	752	752	0	10	1	33869	0	5056	0	1	0	0	34401	0	5056	0	0	0	0	59317	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_29-multiple-protecting2-vesal_true.yml.log	0	87	16086	0	29253	0	0	0	1	0	0	1415051	35	640000	728	2624	2624	24	36	88	4481162	0	16912	0	91	0	0	4488802	0	16912	0	0	0	0	6317949	3	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.36-apron_21-traces-cluster-based_true.yml.log	0	85	18898	0	32102	0	0	0	1	0	0	1446550	34	754437	866	2552	2552	20	35	86	4439640	0	16456	0	91	0	0	4447996	0	16456	0	0	0	0	6316174	5	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.13-privatized_24-multiple-protecting_true.yml.log	0	425	96206	0	149224	0	0	0	1	0	0	12907127	56	606481	1798	4136	4136	46	57	426	37683146	0	26488	0	432	0	0	37718878	0	26488	0	0	0	0	52925528	6	0	0
perf-caat-pso.2026-07-15_19-34-29.logfiles.zip	caat-pso.perf.14_spin2003.yml.log	0	0	729	0	0	0	0	0	1	0	0	17970	12	611111	88	896	896	0	12	1	34319	0	5968	0	1	0	0	34796	0	5968	0	0	0	0	58006	0	0	0
