variant	model	repetition	task	expected_verdict	status	category	cpu_s	wall_s	rss_bytes	executions	materialize_ns	max_stable_events	max_current_base_bytes	max_history_base_bytes	cat_stat_records	xml
after	pso	r01	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	false(unreach-call)	correct	0.072996575	0.09228841995354742	25956352		27967	13	968	968	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_42-traces-ex-mini_true.yml	true	true	correct	0.061321542	0.1644356179749593	25976832		288131	26	1904	1904	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	true	true	correct	0.060029663	0.19016349804587662	25972736		51767	21	1544	1544	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	true	correct	0.063112304	0.1344176579732448	25964544		376438	25	1832	1832	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_46-refine-protected1_true.yml	true	true	correct	0.069176646	0.074750886997208	26030080		66530	14	1040	1040	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_47-refine-protected2_true.yml	true	true	correct	0.068333479	0.07768199709244072	26030080		139775	15	1112	1112	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	true	true	correct	0.068015854	0.07682189100887626	25980928		32599	6	464	464	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	true	true	correct	0.05807273	0.09600906795822084	25972736		19020	6	464	464	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	true	true	correct	0.061257926	0.06626913801301271	25956352		0	0	0	0	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	true	correct	0.061622673	0.1293860860168934	26062848		21225	10	752	752	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	true	true	correct	0.062337289	0.13740676897577941	26062848		21428	10	752	752	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_01-simple_racing.yml	false	OUT OF MEMORY	error	5.735168638	6.379066694062203	3999997952		0	0	0	0	0	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_06-cond_racing1.yml	false	OUT OF MEMORY	error	5.522353893	6.477260045940056	3999997952		0	0	0	0	0	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_11-ptr_racing.yml	false	OUT OF MEMORY	error	5.777520896	6.549251746037044	3999997952		0	0	0	0	0	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	false	false(unreach-call)	correct	3.500589602	4.010783524950966	56090624		0	0	0	0	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	false	OUT OF MEMORY	error	5.601764871	6.163372973911464	3999997952		0	0	0	0	0	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_37-indirect_racing.yml	false	OUT OF MEMORY	error	5.746357462	6.570368311018683	3999997952		0	0	0	0	0	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_45-escape_racing.yml	false	false(unreach-call)	correct	0.057997182	0.06923700193874538	26128384		23291	19	1400	1400	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/28-race_reach_46-escape_racefree.yml	true	true	correct	0.0639804	0.06788658595178276	26099712		370723	29	2120	2120	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	true	true	correct	0.069442736	0.08664958202280104	26034176		142055	16	1184	1184	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_16-traces-unprot2_true.yml	true	true	correct	0.066901371	0.07522550306748599	26005504		0	0	0	0	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false	false(unreach-call)	correct	0.061842489	0.08807659999001771	25976832		0	0	0	0	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	true	true	correct	0.065123609	0.14365917595569044	26152960		2360132	35	2552	2552	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	true	correct	0.065843741	0.12141582695767283	26017792		0	0	0	0	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
after	pso	r01	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	false(unreach-call)	correct	0.071110224	0.08295471197925508	25956352		0	0	0	0	1	optimization-analysis/continuous/cycle-closure-slicing-csr/server-results/formal/after/pso/r01/perf-caat-pso.2026-07-16_04-47-19.results.caat-pso.closure-slicing.unreach-call.xml.bz2
