variant	model	repetition	task	offline_ns	materialize_ns	peak_snapshot_bytes	max_current_base_bytes	max_stable_events	records	executions
after	pso	r02	queue_ok_longer.yml	24026504620	751761288	327539208	5872240	8033	1	2
after	pso	r02	queue_ok_longest.yml	0	0	0	0	0	0	-1
after	pso	r02	race-1_1-join.yml	81242	41704	7792	1184	16	1	1
after	pso	r02	race-1_2-join.yml	478202	176005	13264	2048	28	1	1
after	pso	r02	race-1_3-join.yml	555984	195922	13264	2048	28	1	1
after	pso	r02	race-2_1-container_of.yml	0	0	0	0	0	1	1
after	pso	r02	race-3_1-container_of-global.yml	0	0	0	0	0	1	1
after	pso	r02	race-4_1-thread_local_vars.yml	0	0	0	0	0	1	0
after	pso	r02	reorder_2.yml	838051199	255192994	75352	11872	82	1	162
after	pso	r02	singleton.yml	1237409	392048	21928	3416	47	1	1
after	pso	r02	singleton_with-uninit-problems.yml	4096053	1228960	22384	3488	48	1	4
after	pso	r02	stateful01-1.yml	597164	249485	16912	2624	36	1	0
after	pso	r02	stateful01-2.yml	6918514	2575277	16912	2624	36	1	6
after	pso	r02	szymanski.yml	13079381	3459844	14632	2264	31	1	6
after	pso	r02	time_var_mutex.yml	1159277	423174	15544	2408	33	1	2
after	pso	r02	triangular-1.yml	0	0	0	0	0	0	-1
after	pso	r02	triangular-2.yml	25701336153	13632990430	62584	9856	68	1	3638
after	pso	r02	twostage_3.yml	13102840	3443665	92680	14608	101	1	4
after	pso	r02	unwind2-1.yml	89092	41841	8704	1328	18	1	1
after	pso	r02	unwind2-100.yml	88223	41488	8704	1328	18	1	1
after	pso	r02	unwind3-1.yml	89289	38910	8704	1328	18	1	1
after	pso	r03	01b_inc.yml	172327	111910	10072	1544	21	1	0
after	pso	r03	02_inc_cas.yml	0	0	0	0	0	1	0
after	pso	r03	13-privatized_01-priv_nr_true.yml	352158	175640	10528	1616	22	1	2
after	pso	r03	13-privatized_18-first-reads_true.yml	282235	115246	7792	1184	16	1	2
after	pso	r03	13-privatized_18-first-reads_unknown_1_neg.yml	31307	21637	4144	608	8	1	0
after	pso	r03	13-privatized_18-first-reads_unknown_2_pos.yml	28022	21126	4144	608	8	1	0
after	pso	r03	13-privatized_19-publish-precision_true.yml	1051014	397191	10984	1688	23	1	3
after	pso	r03	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	1	0
after	pso	r03	13-privatized_19-publish-precision_unknown_1_pos.yml	37602	29634	6424	968	13	1	0
after	pso	r03	13-privatized_19-publish-precision_unknown_2_neg.yml	38187	26073	6424	968	13	1	0
after	pso	r03	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	1	0
after	pso	r03	13-privatized_20-publish-regression_true.yml	560953	197354	11440	1760	24	1	2
after	pso	r03	13-privatized_24-multiple-protecting_true.yml	31481388	13123264	26488	4136	57	1	7
after	pso	r03	13-privatized_25-struct_nr_true.yml	351269	146546	10528	1616	22	1	2
after	pso	r03	13-privatized_27-multiple-protecting2_true.yml	121941201	47052325	28312	4424	61	1	26
after	pso	r03	13-privatized_29-multiple-protecting2-vesal_true.yml	3966797	1299718	16912	2624	36	1	4
after	pso	r03	13-privatized_30-traces-oplus-vs-meet_true.yml	974787	362836	12352	1904	26	1	2
after	pso	r03	13-privatized_31-traces-mine-vs-mutex_true.yml	2989107	1067287	14176	2192	30	1	4
after	pso	r03	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	3271599	1180623	16912	2624	36	1	3
after	pso	r03	13-privatized_33-traces-v-matters_true.yml	385699	153361	12808	1976	27	1	1
after	pso	r03	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	419976	163729	13264	2048	28	1	1
after	pso	r03	13-privatized_35-traces-ex-2_true.yml	1036661	384354	11896	1832	25	1	2
after	pso	r03	13-privatized_36-traces-ex-3_true.yml	832717	342604	10528	1616	22	1	3
after	pso	r03	13-privatized_37-traces-ex-4_true.yml	952010	339487	11896	1832	25	1	2
after	pso	r03	13-privatized_38-traces-ex-4-switch_true.yml	1068628	373817	11896	1832	25	1	2
after	pso	r03	13-privatized_40-traces-ex-6_true.yml	269619	117128	10072	1544	21	1	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	1	0
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_pos.yml	34889	23282	6424	968	13	1	0
after	pso	r03	13-privatized_42-traces-ex-mini_true.yml	728276	273550	12352	1904	26	1	2
after	pso	r03	13-privatized_44-traces-mine2_true.yml	120024	53785	10072	1544	21	1	1
after	pso	r03	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	988715	374276	11896	1832	25	1	2
after	pso	r03	13-privatized_46-refine-protected1_true.yml	115632	55611	6880	1040	14	1	1
after	pso	r03	13-privatized_47-refine-protected2_true.yml	257676	108938	7336	1112	15	1	2
after	pso	r03	13-privatized_57-singlethreaded-unlock_true.yml	38110	23607	3232	464	6	1	1
after	pso	r03	13-privatized_58-singlethreaded-lock_true.yml	29805	17023	3232	464	6	1	1
after	pso	r03	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	1	1
after	pso	r03	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	33330	23764	5056	752	10	1	0
after	pso	r03	13-privatized_69-refine-protected-loop-interval_true.yml	40293	22070	5056	752	10	1	0
after	pso	r03	14_spin2003.yml	38648	22815	5968	896	12	1	0
after	pso	r03	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	-1
after	pso	r03	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	-1
after	pso	r03	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	-1
after	pso	r03	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	1	0
after	pso	r03	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	-1
after	pso	r03	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	-1
after	pso	r03	28-race_reach_45-escape_racing.yml	40135	21734	9160	1400	19	1	0
after	pso	r03	28-race_reach_46-escape_racefree.yml	1048533	374726	13720	2120	29	1	2
after	pso	r03	29_conditionals_vs.yml	0	0	0	0	0	1	0
after	pso	r03	36-apron_11-traces-max-simple_true.yml	275372	115407	7792	1184	16	1	2
after	pso	r03	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	1	1
after	pso	r03	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	1	0
after	pso	r03	36-apron_21-traces-cluster-based_true.yml	3832475	1312009	16456	2552	35	1	6
after	pso	r03	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	1	1
after	pso	r03	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	1	0
after	pso	r03	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	1	0
after	pso	r03	45_monabsex1_vs.yml	134899	59644	7792	1184	16	1	0
after	pso	r03	46_monabsex2_vs.yml	266391	97753	10072	1544	21	1	0
after	pso	r03	48_ticket_lock_low_contention_vs-pthread.yml	32878	20336	5968	896	12	1	0
after	pso	r03	48_ticket_lock_low_contention_vs.yml	143525	62685	11896	1832	25	1	0
after	pso	r03	butterfly.yml	31903285790	8988692700	28312	4424	61	1	64560
after	pso	r03	circular_buffer_bad.yml	33179642	12914896	81736	12880	89	1	1
after	pso	r03	circular_buffer_ok.yml	0	0	0	0	0	0	-1
after	pso	r03	dekker-unfair.yml	1653548	499698	16456	2552	35	1	4
after	pso	r03	dekker.yml	1566349	484915	16456	2552	35	1	4
after	pso	r03	exponential-nondet.yml	0	0	0	0	0	1	1
after	pso	r03	fib_safe-5.yml	0	0	0	0	0	0	-1
after	pso	r03	fib_safe-6.yml	0	0	0	0	0	0	-1
after	pso	r03	fib_unsafe-5.yml	49878028268	8909338908	443944	70112	243	1	632
after	pso	r03	fib_unsafe-6.yml	0	0	0	0	0	0	-1
after	pso	r03	fib_unsafe-7.yml	0	0	0	0	0	0	-1
after	pso	r03	lazy01.yml	690074	259157	13720	2120	29	1	1
after	pso	r03	pthread-demo-datarace-3.yml	33203866	17680543	598144	94480	262	1	0
after	pso	r03	queue.yml	1851446732	686235798	374632	59168	205	1	2
after	pso	r03	queue_longer.yml	0	0	0	0	0	0	-1
after	pso	r03	queue_ok.yml	31654760	7476802	1383064	218456	433	1	2
after	pso	r03	queue_ok_longer.yml	23535676165	785526642	327539208	5872240	8033	1	2
after	pso	r03	queue_ok_longest.yml	0	0	0	0	0	0	-1
after	pso	r03	race-1_1-join.yml	84151	45018	7792	1184	16	1	1
after	pso	r03	race-1_2-join.yml	460107	176267	13264	2048	28	1	1
after	pso	r03	race-1_3-join.yml	452463	205216	13264	2048	28	1	1
after	pso	r03	race-2_1-container_of.yml	0	0	0	0	0	1	1
after	pso	r03	race-3_1-container_of-global.yml	0	0	0	0	0	1	1
after	pso	r03	race-4_1-thread_local_vars.yml	0	0	0	0	0	1	0
after	pso	r03	reorder_2.yml	857966323	261055379	75352	11872	82	1	162
after	pso	r03	singleton.yml	1218863	390372	21928	3416	47	1	1
after	pso	r03	singleton_with-uninit-problems.yml	3917569	1176689	22384	3488	48	1	4
after	pso	r03	stateful01-1.yml	463504	176188	16912	2624	36	1	0
after	pso	r03	stateful01-2.yml	5111076	1891964	16912	2624	36	1	6
after	pso	r03	szymanski.yml	38855074	12310178	14632	2264	31	1	6
after	pso	r03	time_var_mutex.yml	908109	343733	15544	2408	33	1	2
