variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r02	36-apron_21-traces-cluster-based_true.yml	0	2497248	6648	35	172	3116	0	1
after	pso	r02	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	1
after	pso	r02	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	1
after	pso	r02	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	1
after	pso	r02	45_monabsex1_vs.yml	0	111112	3304	16	8	57	0	1
after	pso	r02	46_monabsex2_vs.yml	0	212652	4184	21	18	137	0	1
after	pso	r02	48_ticket_lock_low_contention_vs-pthread.yml	0	25583	2600	12	2	8	0	1
after	pso	r02	48_ticket_lock_low_contention_vs.yml	0	121959	4888	25	8	99	0	1
after	pso	r02	butterfly.yml	0	12383488597	11224	61	694890	54985280	0	1
after	pso	r02	circular_buffer_bad.yml	0	9394764	31880	89	476	37904	0	1
after	pso	r02	circular_buffer_ok.yml	0	0	0	0	0	0	0	0
after	pso	r02	dekker-unfair.yml	0	805606	6648	35	74	1600	0	1
after	pso	r02	dekker.yml	0	805002	6648	35	70	1568	0	1
after	pso	r02	exponential-nondet.yml	0	0	0	0	0	0	0	1
after	pso	r02	fib_safe-5.yml	0	0	0	0	0	0	0	0
after	pso	r02	fib_safe-6.yml	0	0	0	0	0	0	0	0
after	pso	r02	fib_unsafe-5.yml	0	5540327938	171752	243	96526	11518678	0	1
after	pso	r02	fib_unsafe-6.yml	0	0	0	0	0	0	0	0
after	pso	r02	fib_unsafe-7.yml	0	0	0	0	0	0	0	0
after	pso	r02	lazy01.yml	0	409867	5592	29	36	861	0	1
after	pso	r02	pthread-demo-datarace-3.yml	0	34143626	231304	262	80	930799	0	1
after	pso	r02	queue.yml	0	358600105	145000	205	5918	2074810	0	1
after	pso	r02	queue_longer.yml	0	0	0	0	0	0	0	0
after	pso	r02	queue_ok.yml	0	9354754	534328	433	34	133711	0	1
after	pso	r02	queue_ok_longer.yml	134040022	3155676256	44133960	8033	34	49930431	0	1
after	pso	r02	queue_ok_longest.yml	624951885	13162620294	174022760	16033	34	199380031	0	1
after	pso	r02	race-1_1-join.yml	0	57859	3304	16	6	30	0	1
after	pso	r02	race-1_2-join.yml	0	309753	5416	28	26	546	0	1
after	pso	r02	race-1_3-join.yml	0	307683	5416	28	26	546	0	1
after	pso	r02	race-2_1-container_of.yml	0	0	0	0	0	0	0	1
after	pso	r02	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	1
after	pso	r02	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	1
after	pso	r02	reorder_2.yml	0	235737164	29416	82	12692	778472	0	1
after	pso	r02	singleton.yml	0	509671	8760	47	40	1331	0	1
after	pso	r02	singleton_with-uninit-problems.yml	0	1688735	8936	48	130	3400	0	1
after	pso	r02	stateful01-1.yml	0	399248	6824	36	20	941	0	1
after	pso	r02	stateful01-2.yml	0	3025618	6824	36	246	4314	0	1
after	pso	r02	szymanski.yml	0	6525209	5944	31	756	9033	0	1
after	pso	r02	time_var_mutex.yml	0	468104	6296	33	44	1007	0	1
after	pso	r02	triangular-1.yml	0	0	0	0	0	0	0	0
after	pso	r02	triangular-2.yml	0	7373035479	24488	68	493952	14750405	0	1
after	pso	r02	twostage_3.yml	0	4860782	36104	101	138	38625	0	1
after	pso	r02	unwind2-1.yml	0	84609	3656	18	6	63	0	1
after	pso	r02	unwind2-100.yml	0	70161	3656	18	6	63	0	1
after	pso	r02	unwind3-1.yml	0	75857	3656	18	6	187	0	1
after	pso	r03	01b_inc.yml	0	133979	4184	21	10	129	0	1
after	pso	r03	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_01-priv_nr_true.yml	0	291185	4360	22	20	590	0	1
after	pso	r03	13-privatized_18-first-reads_true.yml	0	260196	3304	16	20	209	0	1
after	pso	r03	13-privatized_18-first-reads_unknown_1_neg.yml	0	26989	1896	8	2	27	0	1
after	pso	r03	13-privatized_18-first-reads_unknown_2_pos.yml	0	31914	1896	8	2	27	0	1
after	pso	r03	13-privatized_19-publish-precision_true.yml	0	670263	4536	23	66	1041	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_1_pos.yml	0	32942	2776	13	2	43	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_2_neg.yml	0	27754	2776	13	2	43	0	1
after	pso	r03	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_20-publish-regression_true.yml	0	468376	4712	24	36	597	0	1
after	pso	r03	13-privatized_24-multiple-protecting_true.yml	0	11096993	10520	57	852	23592	0	1
after	pso	r03	13-privatized_25-struct_nr_true.yml	0	238489	4360	22	20	590	0	1
after	pso	r03	13-privatized_27-multiple-protecting2_true.yml	0	50355219	11224	61	3092	82273	0	1
after	pso	r03	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2332722	6824	36	176	3243	0	1
after	pso	r03	13-privatized_30-traces-oplus-vs-meet_true.yml	0	572972	5064	26	60	981	0	1
