model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,max_rf_same_value_class,realized_revisit_prefixes,rf_offered,rf_queued,rf_same_value_candidate_upper_bound,rf_same_value_choice_points,rf_value_choice_points,rf_value_classes,validity_queries,work_added,work_popped
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/29_conditionals_vs.yml,true,correct,0.066486859,0.07195384497754276,26001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml,true,correct,0.069439923,0.07574366801418364,26005504,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/46_monabsex2_vs.yml,true,correct,0.06728911,0.07264922908507288,26025984,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/45_monabsex1_vs.yml,true,correct,0.070462933,0.07554813101887703,26062848,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/stateful01-1.yml,false(unreach-call),correct,0.069632053,0.07670212397351861,26038272,2,2,16,0,0,5,3,3,12,4,4,2,2,2,2,7,3
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/stateful01-2.yml,true,correct,0.078351009,0.08386289200279862,26062848,5,5,31,0,0,5,3,8,18,5,5,3,3,3,9,10,10
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/time_var_mutex.yml,true,correct,0.074692812,0.08247962594032288,26152960,1,1,10,0,0,2,2,2,5,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/01b_inc.yml,true,correct,0.068317884,0.08084356901235878,26042368,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-1.yml,true,correct,20.933984092,20.95583723206073,26009600,16631,16631,93321,0,0,46,8,27390,54976,16631,16631,10759,10759,10759,32277,33262,33262
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-2.yml,false(unreach-call),correct,4.967658374,4.9804254359332845,26013696,3648,3648,20454,0,0,36,7,6223,12076,3668,3668,2584,2584,2584,7732,7317,7287
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/02_inc_cas.yml,true,correct,0.071249343,0.07823446404654533,26013696,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_21-deref_read_racing.yml,false(unreach-call),correct,3.084698209,3.102144005941227,56483840,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs.yml,true,correct,0.074866952,0.0816766059724614,26005504,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_37-indirect_racing.yml,TIMEOUT,error,61.002162839,61.02505620603915,263438336,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_45-escape_racing.yml,false(unreach-call),correct,0.073570147,0.08236052200663835,26013696,1,1,8,0,0,2,2,2,6,1,1,1,1,1,1,3,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_46-escape_racefree.yml,true,correct,0.073942183,0.07660028606187552,26112000,1,1,19,0,0,2,2,2,10,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_01-simple_racing.yml,TIMEOUT,error,61.002396551,61.02290276600979,263241728,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_11-ptr_racing.yml,TIMEOUT,error,60.999951385,61.02702457096893,263487488,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_bad.yml,false(unreach-call),correct,0.100058888,0.10832961497362703,26128384,8,8,126,0,0,50,8,9,112,49,49,7,7,7,7,58,10
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-5.yml,true,correct,21.064694515,21.145908646984026,26116096,2771,2771,16239,0,0,36,7,4492,9505,2771,2771,1721,1721,1721,5163,5542,5542
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-6.yml,TIMEOUT,error,60.967326548,61.0136406889651,26066944,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-5.yml,false(unreach-call),correct,5.357983093,5.371055438998155,26013696,642,642,3736,0,0,26,6,1108,2204,652,652,475,475,475,1405,1295,1275
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-6.yml,false(unreach-call),correct,29.699634022,29.734121722984128,26087424,2954,2954,17614,0,0,37,7,5010,10305,2969,2969,2067,2067,2067,6177,5924,5897
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-7.yml,TIMEOUT,error,60.971504704,61.013120402931236,26009600,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_24-sound_lock_racing.yml,TIMEOUT,error,61.004146091,61.023961727973074,263282688,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/lazy01.yml,false(unreach-call),correct,0.071338401,0.08060347801074386,26112000,2,2,10,0,0,3,2,4,7,2,2,2,2,2,4,5,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_ok.yml,true,correct,16.015312437,16.03789037198294,26181632,3431,3431,22305,0,0,50,8,5147,12868,3431,3431,1716,1716,1716,5148,6862,6862
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/szymanski.yml,true,correct,0.082861315,0.09041495795827359,26009600,47,11,85,0,0,6,1,30,117,19,0,0,15,34,45,30,30
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/dekker.yml,true,correct,0.072460498,0.08274812705349177,26025984,4,3,21,0,0,4,1,9,21,6,0,0,6,12,15,9,9
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-atomic/dekker-unfair.yml,true,correct,0.069684743,0.10160808404907584,26103808,4,3,22,0,0,4,1,9,22,6,0,0,6,12,15,9,9
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind3-1.yml,false(unreach-call),correct,0.073265919,0.07600427605211735,26148864,0,0,2,0,0,1,1,2,3,1,0,0,1,2,2,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/exponential-nondet.yml,true,correct,0.068503399,0.07810762408189476,26140672,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind2-1.yml,false(unreach-call),correct,0.071085559,0.07835427497047931,26095616,1,1,3,1,0,3,0,2,2,0,0,0,0,0,1,4,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-theta/unwind2-100.yml,false(unreach-call),correct,0.07480992,0.07775698800105602,26165248,1,1,3,1,0,3,0,2,2,0,0,0,0,0,1,4,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/butterfly.yml,true,correct,24.947064645,24.977244919049554,26247168,32161,19876,29693,832,0,20,1,88907,210050,76012,0,0,51389,127401,184518,96721,96721
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml,true,correct,0.07351821,0.07826509501319379,26017792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_06-cond_racing1.yml,TIMEOUT,error,61.001525954,61.02286837995052,263426048,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok.yml,true,correct,0.089793552,0.09667797503061593,26185728,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok_longer.yml,true,correct,3.924899621,3.970689601963386,177930240,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_ok_longest.yml,true,correct,16.29367832,16.315457295975648,639774720,1,1,7,0,0,2,2,2,4,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue_longer.yml,TIMEOUT,error,60.983668836,61.013346898020245,32280576,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/queue.yml,false(unreach-call),correct,0.59481096,0.6034680729499087,26251264,22,22,919,0,0,401,21,23,859,400,400,20,20,20,20,423,25
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/singleton.yml,false(unreach-call),correct,0.079633113,0.09186844399664551,26300416,3,3,19,0,0,3,2,6,12,3,3,3,3,3,5,8,6
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/singleton_with-uninit-problems.yml,true,correct,0.077336544,0.08241144998464733,26267648,3,3,23,0,0,3,2,7,13,3,3,3,3,3,9,7,7
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-C-DAC/pthread-demo-datarace-3.yml,false(unreach-call),correct,1.634133402,1.651176588027738,26140672,40,40,1720,0,0,801,21,41,1660,800,800,40,40,40,40,841,41
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/reorder_2.yml,false(unreach-call),correct,0.27356294,0.2823284110054374,26267648,166,166,842,0,0,17,5,273,512,172,172,110,110,110,322,339,329
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/twostage_3.yml,false(unreach-call),correct,0.092617871,0.10068550298456103,26279936,11,9,64,0,0,10,3,16,45,15,15,10,10,10,20,26,17
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_1-join.yml,true,correct,0.069348463,0.08087348309345543,26263552,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_3-join.yml,false(unreach-call),correct,0.071661197,0.07883269398007542,26312704,2,2,15,0,0,3,3,3,9,2,2,1,1,1,1,5,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-1_2-join.yml,false(unreach-call),correct,0.067093764,0.07735560997389257,26288128,2,2,15,0,0,3,3,3,9,2,2,1,1,1,1,5,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-4_1-thread_local_vars.yml,true,correct,0.068386868,0.0791701260022819,26415104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-2_1-container_of.yml,true,correct,0.066440011,0.07581578998360783,26279936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/ldv-races/race-3_1-container_of-global.yml,true,correct,0.07247369,0.07743206492159516,26324992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
