adapter-ns	adaptive-offline	checkpoint-ns	copy-ns	cpu_s	equality-ns	eval-ops	evicted	has_statistics	history-ns	initialize	insert	insert-attempt-ns	lazy-cycle-checks	lazy-depth-fallbacks	lazy-edge-candidates	materialize-ns	max-active-events	max-base-relation-density-ppm	max-base-relation-pairs	max-current-base-bytes	max-history-base-bytes	max-inactive-events	max-stable-events	model	offline-evals	offline-ns	oracle	peak-snapshot-equivalent-bytes	peak-undo-bytes	preventive-all-pruned-fallbacks	preventive-co-candidates	preventive-co-pruned	preventive-lookup-ns	preventive-prefix-inconsistent	preventive-prefix-queries	preventive-rf-candidates	preventive-rf-pruned	profiled-queries	queue-pushes	rebuild	rebuild-ns	repetition	replace	retained-snapshot-equivalent-bytes	retained-undo-bytes	rollback	rollback-insert	rollback-ns	status	sync-ns	task	unchanged	value-changes	worklist-ns
0	9	5033	0	0.07165973	3337	0	0	True	0	1	0	0	20	0	306	191384	23	604914	320	1976	1976	16	27	pso	10	314555	0	5240	0	0	0	0	0	0	0	0	0	11	0	0	316808	r01	0	5240	0	0	0	0	true	565174	c/goblint-regression/13-privatized_33-traces-v-matters_true.yml	1	0	0
0	9	4616	0	0.067670634	3600	0	0	True	0	1	0	0	20	0	590	185654	21	580498	256	1616	1616	10	22	pso	10	303943	0	4360	0	0	0	0	0	0	0	0	0	11	0	0	306164	r01	0	4360	0	0	0	0	true	550177	c/goblint-regression/13-privatized_25-struct_nr_true.yml	1	0	0
0	0	0	0	0.067079323	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	false(unreach-call)	0	c/goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0
0	83	22878	0	0.073145654	24871	0	0	True	0	1	0	0	168	0	2572	1294881	29	628099	486	2192	2192	24	30	pso	84	2002901	0	5768	0	0	0	0	0	0	0	0	0	87	0	0	2012610	r01	0	5768	0	0	0	0	true	3693477	c/goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	3	0	0
0	0	1210	0	0.066470681	0	0	0	True	0	1	0	0	2	0	13	27196	10	640000	64	752	752	0	10	pso	1	46808	0	2248	0	0	0	0	0	0	0	0	0	1	0	0	47600	r01	0	2248	0	0	0	0	true	82579	c/goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	0	0	0
0	17	7215	0	0.073264237	5978	0	0	True	0	1	0	0	36	0	597	273909	23	632812	288	1760	1760	15	24	pso	18	481102	0	4712	0	0	0	0	0	0	0	0	0	19	0	0	484099	r01	0	4712	0	0	0	0	true	847097	c/goblint-regression/13-privatized_20-publish-regression_true.yml	1	0	0
0	29	7789	0	0.062857886	6595	0	0	True	0	1	0	0	60	0	981	344860	25	639053	366	1904	1904	14	26	pso	30	563507	0	5064	0	0	0	0	0	0	0	0	0	31	0	0	566591	r01	0	5064	0	0	0	0	true	1032911	c/goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	1	0	0
0	75	23755	0	0.077125948	28538	0	0	True	0	1	0	0	152	0	3063	1412341	35	642857	728	2624	2624	25	36	pso	76	2072171	0	6824	0	0	0	0	0	0	0	0	0	78	0	0	2080262	r01	0	6824	0	0	0	0	true	3896115	c/goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	2	0	0
0	11	5287	0	0.070396537	3713	0	0	True	0	1	0	0	24	0	292	216632	26	581632	368	2048	2048	19	28	pso	12	329800	0	5416	0	0	0	0	0	0	0	0	0	13	0	0	332023	r01	0	5416	0	0	0	0	true	612142	c/goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	1	0	0
0	0	1184	0	0.076212336	0	0	0	True	0	1	0	0	2	0	13	28155	10	640000	64	752	752	0	10	pso	1	42647	0	2248	0	0	0	0	0	0	0	0	0	1	0	0	50075	r01	0	2248	0	0	0	0	true	86022	c/goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	0	0
