backend	repetition	task_yaml	property	expected_verdict	status	category	cputime_seconds	walltime_seconds	memory_bytes	returnvalue	exitsignal	starttime	executions	blocked	max_active_events	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
caat-sc	r03	c/goblint-regression/28-race_reach_11-ptr_racing.yml	unreach-call	false	OUT OF MEMORY	error	22.938445667	22.943893648975063	3999997952		9	2026-07-15T03:08:12.872311+00:00											
caat-sc	r01	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	3.131033916	3.1428799239802174	57556992	42		2026-07-15T03:06:04.826389+00:00	0										
caat-sc	r02	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	3.156182689	3.1634025030070916	58204160	42		2026-07-15T03:07:08.895956+00:00	0										
caat-sc	r03	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	unreach-call	false	false(unreach-call)	correct	3.1130425	3.122916550026275	58482688	42		2026-07-15T03:08:12.771228+00:00	0										
caat-sc	r01	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	OUT OF MEMORY	error	22.092848712	22.1029795089853	3999997952		9	2026-07-15T03:06:05.062252+00:00											
caat-sc	r02	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	OUT OF MEMORY	error	23.216667889	23.226628174015786	3999997952		9	2026-07-15T03:07:09.191567+00:00											
caat-sc	r03	c/goblint-regression/28-race_reach_24-sound_lock_racing.yml	unreach-call	false	OUT OF MEMORY	error	22.571190387	22.575203337997664	3999997952		9	2026-07-15T03:08:12.973686+00:00											
caat-sc	r01	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	OUT OF MEMORY	error	21.284603937	21.29064580204431	3999997952		9	2026-07-15T03:06:04.903986+00:00											
caat-sc	r02	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	OUT OF MEMORY	error	21.658752853	21.667420798970852	3999997952		9	2026-07-15T03:07:08.982056+00:00											
caat-sc	r03	c/goblint-regression/28-race_reach_37-indirect_racing.yml	unreach-call	false	OUT OF MEMORY	error	21.040760668	21.047616066003684	3999997952		9	2026-07-15T03:08:12.806608+00:00											
caat-sc	r01	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.069928495	0.07563485903665423	25833472	42		2026-07-15T03:06:04.887090+00:00	0										
caat-sc	r02	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.05767455	0.06416912603890523	25862144	42		2026-07-15T03:07:08.997412+00:00	0										
caat-sc	r03	c/goblint-regression/28-race_reach_45-escape_racing.yml	unreach-call	false	false(unreach-call)	correct	0.060930703	0.06559555500280112	25825280	42		2026-07-15T03:08:12.810213+00:00	0										
caat-sc	r01	c/goblint-regression/28-race_reach_46-escape_racefree.yml	unreach-call	true	true	correct	0.058198716	0.06215441500535235	25825280	0		2026-07-15T03:06:04.924944+00:00	2										
caat-sc	r02	c/goblint-regression/28-race_reach_46-escape_racefree.yml	unreach-call	true	true	correct	0.065477897	0.0774534089723602	25788416	0		2026-07-15T03:07:09.015395+00:00	2										
caat-sc	r03	c/goblint-regression/28-race_reach_46-escape_racefree.yml	unreach-call	true	true	correct	0.057300423	0.06524284498300403	25886720	0		2026-07-15T03:08:12.814682+00:00	2										
caat-sc	r01	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	unreach-call	true	true	correct	0.066243979	0.06982172600692138	25817088	0		2026-07-15T03:06:04.057999+00:00	2										
caat-sc	r02	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	unreach-call	true	true	correct	0.065914373	0.07306323404191062	25833472	0		2026-07-15T03:07:07.875290+00:00	2										
caat-sc	r03	c/goblint-regression/36-apron_11-traces-max-simple_true.yml	unreach-call	true	true	correct	0.06950351	0.07379059697268531	25825280	0		2026-07-15T03:08:12.000543+00:00	2										
