index	kind	model	program	sha256	arguments	expected_sc	builtin_status	cat_status	classification	builtin_signature	cat_signature
102	correct	tso	correct/litmus/SB/variants/sb0.c	71b41783cc8dd69c39118a4c452df25919c17712ec6c0d85193b7717cc027f93	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 4	No errors were detected.;Number of complete executions explored: 4
103	correct	sc	correct/litmus/SB/variants/sb1.c	cc37a7ce50a64ff9f7417e872dd875873f6a18825dc5b9893a6dffbf00056b0e	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
103	correct	tso	correct/litmus/SB/variants/sb1.c	cc37a7ce50a64ff9f7417e872dd875873f6a18825dc5b9893a6dffbf00056b0e	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 4	No errors were detected.;Number of complete executions explored: 4
104	correct	sc	correct/litmus/TC1/variants/tc10.c	f309ac112a0f60c89343175700127c61b11649df672c7a959e468554259b6141	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
104	correct	tso	correct/litmus/TC1/variants/tc10.c	f309ac112a0f60c89343175700127c61b11649df672c7a959e468554259b6141	 | 	3	0	0	match	No errors were detected.;Number of complete executions explored: 3	No errors were detected.;Number of complete executions explored: 3
105	correct	sc	correct/litmus/TC2/variants/tc20.c	fa8a250af35fb46a76e103e3afbe09ef05ef474141d07a10d8a99cb2c9db3a37	 | 	4	0	0	match	No errors were detected.;Number of complete executions explored: 4	No errors were detected.;Number of complete executions explored: 4
105	correct	tso	correct/litmus/TC2/variants/tc20.c	fa8a250af35fb46a76e103e3afbe09ef05ef474141d07a10d8a99cb2c9db3a37	 | 	4	0	0	match	No errors were detected.;Number of complete executions explored: 4	No errors were detected.;Number of complete executions explored: 4
106	correct	sc	correct/litmus/W+JW/variants/W+JW0.c	dd4010ca4e89b30dbd55f5dddb2840bfbae7a611c301179c6002e5134dbf6262	 | 	1	0	0	match	No errors were detected.;Number of complete executions explored: 1	No errors were detected.;Number of complete executions explored: 1
106	correct	tso	correct/litmus/W+JW/variants/W+JW0.c	dd4010ca4e89b30dbd55f5dddb2840bfbae7a611c301179c6002e5134dbf6262	 | 	1	0	0	match	No errors were detected.;Number of complete executions explored: 1	No errors were detected.;Number of complete executions explored: 1
107	correct	sc	correct/litmus/W+JW/variants/W+JW1.c	b00574c6dd2e9c8f63bf18557275c6254f93a875f41ed0b10976b7f1a9859865	 | 	1	0	0	match	No errors were detected.;Number of complete executions explored: 1	No errors were detected.;Number of complete executions explored: 1
107	correct	tso	correct/litmus/W+JW/variants/W+JW1.c	b00574c6dd2e9c8f63bf18557275c6254f93a875f41ed0b10976b7f1a9859865	 | 	1	0	0	match	No errors were detected.;Number of complete executions explored: 1	No errors were detected.;Number of complete executions explored: 1
108	correct	sc	correct/litmus/W+RRR+W/variants/w+rrr+w0.c	ec3d7658ece5f5137e5afcbcd9b7f2119900a849f3b15002d12c3a25b537bf63	-disable-ipr -disable-sr  | 	20	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 20	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 20
108	correct	tso	correct/litmus/W+RRR+W/variants/w+rrr+w0.c	ec3d7658ece5f5137e5afcbcd9b7f2119900a849f3b15002d12c3a25b537bf63	-disable-ipr -disable-sr  | 	20	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 20	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 20
109	correct	sc	correct/litmus/W+RWC/variants/w+rwc0.c	6160198ccda775cfa2cca7ec21a4e509c5c1eddbb7cdf6b28a8289170d02a5fd	 | 	7	0	0	match	No errors were detected.;Number of complete executions explored: 7	No errors were detected.;Number of complete executions explored: 7
109	correct	tso	correct/litmus/W+RWC/variants/w+rwc0.c	6160198ccda775cfa2cca7ec21a4e509c5c1eddbb7cdf6b28a8289170d02a5fd	 | 	7	0	0	match	No errors were detected.;Number of complete executions explored: 7	No errors were detected.;Number of complete executions explored: 7
110	correct	sc	correct/litmus/WRC+dep/variants/wrc+dep0.c	f23c7dfc1be3e77630062f464f4d02f81504b22bd81650fb7896cd74e301edbb	 | 	7	0	0	match	No errors were detected.;Number of complete executions explored: 7	No errors were detected.;Number of complete executions explored: 7
110	correct	tso	correct/litmus/WRC+dep/variants/wrc+dep0.c	f23c7dfc1be3e77630062f464f4d02f81504b22bd81650fb7896cd74e301edbb	 | 	7	0	0	match	No errors were detected.;Number of complete executions explored: 7	No errors were detected.;Number of complete executions explored: 7
111	correct	sc	correct/litmus/WWR+2WR/variants/wwr+2wr0.c	ad8939a4b60ac9445559febc1d16bdf464f291efd75d09790648f79ff5c5d8fb	-disable-ipr  | 	0	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 0;Number of blocked executions seen: 8	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 0;Number of blocked executions seen: 8
111	correct	tso	correct/litmus/WWR+2WR/variants/wwr+2wr0.c	ad8939a4b60ac9445559febc1d16bdf464f291efd75d09790648f79ff5c5d8fb	-disable-ipr  | 	0	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 0;Number of blocked executions seen: 8	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 0;Number of blocked executions seen: 8
112	correct	sc	correct/litmus/WWmerge1/variants/WWmerge10.c	17150a5586dadf20f8a662e757bc0c8e9e7f4916cbef6961c3db8ad52250332b	 | 	15	0	0	match	No errors were detected.;Number of complete executions explored: 15	No errors were detected.;Number of complete executions explored: 15
112	correct	tso	correct/litmus/WWmerge1/variants/WWmerge10.c	17150a5586dadf20f8a662e757bc0c8e9e7f4916cbef6961c3db8ad52250332b	 | 	15	0	0	match	No errors were detected.;Number of complete executions explored: 15	No errors were detected.;Number of complete executions explored: 15
