case	mode	workers	status	elapsed_ns	gate	complete	blocked	reduced	singleton_bypass	native_reads_synthesized	fail_open	verdict_sha256	summary_sha256
correct/litmus/2CoWR/variants/2cowr1.c	baseline	1	0	82971000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr1.c	baseline	2	0	61760000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr1.c	rvf	1	0	65255000	enabled	4	0	0	3	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr1.c	rvf	2	0	66634000	enabled	4	0	0	3	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr2.c	baseline	1	0	68137000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr2.c	baseline	2	0	64237000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr2.c	rvf	1	0	60937000	enabled	4	0	0	3	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr2.c	rvf	2	0	61242000	enabled	4	0	0	3	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr3.c	baseline	1	0	77604000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr3.c	baseline	2	0	60645000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr3.c	rvf	1	0	61752000	enabled	4	0	0	3	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr3.c	rvf	2	0	70559000	enabled	4	0	0	3	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr4.c	baseline	1	0	53335000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr4.c	baseline	2	0	58909000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr4.c	rvf	1	0	54946000	enabled	4	0	0	3	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/2CoWR/variants/2cowr4.c	rvf	2	0	58609000	enabled	4	0	0	3	2	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/CoRR/variants/corr0.c	baseline	1	0	58746000		6	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	6f56150db94902f011e8b6ea6423ecea1e3e5c9ef07e9f3ee2a2d2101c5b797c
correct/litmus/CoRR/variants/corr0.c	baseline	2	0	56247000		6	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	6f56150db94902f011e8b6ea6423ecea1e3e5c9ef07e9f3ee2a2d2101c5b797c
correct/litmus/CoRR/variants/corr0.c	rvf	1	0	69792000	enabled	6	0	0	4	3	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	6f56150db94902f011e8b6ea6423ecea1e3e5c9ef07e9f3ee2a2d2101c5b797c
correct/litmus/CoRR/variants/corr0.c	rvf	2	0	60839000	enabled	6	0	0	4	3	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	6f56150db94902f011e8b6ea6423ecea1e3e5c9ef07e9f3ee2a2d2101c5b797c
correct/litmus/CoRR/variants/corr1.c	baseline	1	0	56611000		6	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	6f56150db94902f011e8b6ea6423ecea1e3e5c9ef07e9f3ee2a2d2101c5b797c
correct/litmus/CoRR/variants/corr1.c	baseline	2	0	50237000		6	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	6f56150db94902f011e8b6ea6423ecea1e3e5c9ef07e9f3ee2a2d2101c5b797c
correct/litmus/CoRR/variants/corr1.c	rvf	1	0	57336000	enabled	6	0	0	4	3	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	6f56150db94902f011e8b6ea6423ecea1e3e5c9ef07e9f3ee2a2d2101c5b797c
correct/litmus/CoRR/variants/corr1.c	rvf	2	0	51283000	enabled	6	0	0	4	3	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	6f56150db94902f011e8b6ea6423ecea1e3e5c9ef07e9f3ee2a2d2101c5b797c
correct/litmus/CoRR0/variants/corr00.c	baseline	1	0	50298000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
correct/litmus/CoRR0/variants/corr00.c	baseline	2	0	50713000		4	0	0	0	0	0	6d5b2c6d928e1c0f689c7718ffc9bc6d8aa04d1b4cc100f6a7bf18b4fc9dd083	1cc28f3348c987c42f37e37145b1b475aaff31f7b593e724aa00b00573845cde
