shape	outcome	mode	workers	status	elapsed_ns	gate	complete	fail_open	loads_reduced	verdict_sha256
000000	1020	rvf	2	0	53923958	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1021	baseline	1	0	49768583		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1021	baseline	2	0	51968709		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1021	rvf	1	0	53864958	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1021	rvf	2	0	50608458	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1022	baseline	1	0	61339875		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1022	baseline	2	0	52498791		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1022	rvf	1	0	53819041	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1022	rvf	2	0	62987291	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1100	baseline	1	0	51128416		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1100	baseline	2	0	50829625		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1100	rvf	1	0	53775959	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1100	rvf	2	0	53131000	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1101	baseline	1	0	49711209		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1101	baseline	2	0	52465834		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1101	rvf	1	0	51729750	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1101	rvf	2	0	51668625	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1102	baseline	1	0	50436667		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1102	baseline	2	0	52428041		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1102	rvf	1	0	53169750	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1102	rvf	2	0	53420250	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1110	baseline	1	0	48640667		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1110	baseline	2	0	52235917		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1110	rvf	1	0	56558042	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1110	rvf	2	0	52206333	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1111	baseline	1	0	51681208		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1111	baseline	2	0	52798750		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1111	rvf	1	0	50056375	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1111	rvf	2	0	50321292	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1112	baseline	1	0	52726583		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1112	baseline	2	0	49855541		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1112	rvf	1	0	50341000	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1112	rvf	2	0	49848791	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1120	baseline	1	42	51237542		0	0	0	9a4d10a79dfde562a0d30b92e3105a0f2c22902db1896f9908cb681305e13c35
000000	1120	baseline	2	42	49669125		0	0	0	9a4d10a79dfde562a0d30b92e3105a0f2c22902db1896f9908cb681305e13c35
000000	1120	rvf	1	42	49784542	enabled	1	0	2	f57b24a087417dd370dd0273ca1391aafc732e211d6fbdecfa852a5cf23b38af
000000	1120	rvf	2	42	51036833	enabled	1	0	2	f57b24a087417dd370dd0273ca1391aafc732e211d6fbdecfa852a5cf23b38af
000000	1121	baseline	1	0	49868084		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1121	baseline	2	0	53601417		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1121	rvf	1	0	52020666	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1121	rvf	2	0	51829666	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1122	baseline	1	0	51551083		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1122	baseline	2	0	51563417		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1122	rvf	1	0	51439709	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1122	rvf	2	0	51511708	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1200	baseline	1	0	48831750		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1200	baseline	2	0	55162834		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1200	rvf	1	0	53723291	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1200	rvf	2	0	52593750	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1201	baseline	1	0	50642917		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1201	baseline	2	0	49850250		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1201	rvf	1	0	49982500	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1201	rvf	2	0	50593583	enabled	8	0	2	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1202	baseline	1	0	54548917		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
000000	1202	baseline	2	0	50183042		16	0	0	45a8a8a6aa4d2083aa6c7e5983769351efd2ba06b47e0f561c2b0d982e7dff35
