backend	task_yaml	runs	family	source_bytes	source_lines	adapter_source_lines	adapter_transitive_lines	all_repetitions_solved	statuses	median_wall_seconds	median_cpu_seconds	median_memory_bytes
caat-pso	c/goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	5	goblint-regression	747	30			true	false(unreach-call):5	0.0612332448	0.044932	26144768
caat-pso	c/ldv-races/race-1_1-join.yml	5	ldv-races	76847	1729			true	true:5	0.06468965	0.048323	26443776
caat-pso	c/ldv-races/race-1_2-join.yml	5	ldv-races	77137	1738			true	false(unreach-call):5	0.06662105	0.049913	26476544
caat-pso	c/ldv-races/race-1_3-join.yml	5	ldv-races	77119	1738			true	false(unreach-call):5	0.0680303681	0.049762	26472448
caat-pso	c/ldv-races/race-2_1-container_of.yml	5	ldv-races	187978	3959			true	true:5	0.0638025568	0.049334	26529792
caat-pso	c/ldv-races/race-3_1-container_of-global.yml	5	ldv-races	188000	3960			true	true:5	0.0631749141	0.048538	26521600
caat-pso	c/ldv-races/race-4_1-thread_local_vars.yml	5	ldv-races	78338	1800			true	true:5	0.06188779	0.04971	26554368
caat-pso	c/pthread-C-DAC/pthread-demo-datarace-3.yml	5	pthread-C-DAC	59412	1366			true	false(unreach-call):5	0.15643273	0.140034	26292224
caat-pso	c/pthread-atomic/dekker-unfair.yml	5	pthread-atomic	33417	787			true	true:5	0.0659143599	0.05379	26267648
caat-pso	c/pthread-atomic/dekker.yml	5	pthread-atomic	33410	787			true	true:5	0.067139914	0.053343	26275840
caat-pso	c/pthread-atomic/szymanski.yml	5	pthread-atomic	32937	772			true	true:5	0.083105111	0.071757	26267648
caat-pso	c/pthread-atomic/time_var_mutex.yml	5	pthread-atomic	30889	727			true	true:5	0.060503284	0.048065	26312704
caat-pso	c/pthread-deagle/circular_buffer_bad.yml	5	pthread-deagle	31305	766			true	false(unreach-call):5	0.146197502	0.129062	26349568
caat-pso	c/pthread-deagle/circular_buffer_ok.yml	5	pthread-deagle	31393	768			false	TIMEOUT:5			
caat-pso	c/pthread-ext/01b_inc.yml	5	pthread-ext	30901	708			true	true:5	0.06293497	0.046943	26226688
caat-pso	c/pthread-ext/02_inc_cas.yml	5	pthread-ext	31027	737			true	true:5	0.0547054249	0.045679	26218496
caat-pso	c/pthread-ext/14_spin2003.yml	5	pthread-ext	30571	699			true	true:5	0.059120818	0.04594	26181632
caat-pso	c/pthread-ext/29_conditionals_vs.yml	5	pthread-ext	30586	730			true	true:5	0.0610962061	0.046495	26173440
caat-pso	c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml	5	pthread-ext	34081	817			true	true:5	0.0560475211	0.046181	26177536
caat-pso	c/pthread-ext/45_monabsex1_vs.yml	5	pthread-ext	30819	719			true	true:5	0.0612962062	0.045745	26202112
caat-pso	c/pthread-ext/46_monabsex2_vs.yml	5	pthread-ext	30796	719			true	true:5	0.0647926461	0.046618	26202112
caat-pso	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	5	pthread-ext	30774	703			true	true:5	0.0654806609	0.046139	26218496
caat-pso	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	5	pthread-ext	31133	728			true	true:5	0.045957142	0.038132	26243072
caat-pso	c/pthread-theta/exponential-nondet.yml	5	pthread-theta	33638	788			true	true:5	0.062173018	0.046302	26308608
caat-pso	c/pthread-theta/unwind2-1.yml	5	pthread-theta	33683	783			true	false(unreach-call):5	0.0656274429	0.046096	26333184
