task_log	before_max_history_base_bytes	after_max_history_base_bytes	before_retained_snapshot_equivalent_bytes	after_retained_snapshot_equivalent_bytes	before_peak_snapshot_equivalent_bytes	after_peak_snapshot_equivalent_bytes
caat-sc.perf.45_monabsex1_vs.yml.log	0	0	0	0	0	0
caat-sc.perf.46_monabsex2_vs.yml.log	0	0	0	0	0	0
caat-sc.perf.48_ticket_lock_low_contention_vs-pthread.yml.log	0	0	0	0	0	0
caat-sc.perf.48_ticket_lock_low_contention_vs.yml.log	0	0	0	0	0	0
caat-sc.perf.butterfly.yml.log	3840	3840	12624	12136	12624	12136
caat-sc.perf.circular_buffer_bad.yml.log	10880	10880	35504	34136	35504	34136
caat-sc.perf.circular_buffer_ok.yml.log	59392	59392	193168	185736	193168	185736
caat-sc.perf.dekker-unfair.yml.log	1984	1984	6592	6336	6592	6336
caat-sc.perf.dekker.yml.log	1984	1984	6592	6336	6592	6336
caat-sc.perf.exponential-nondet.yml.log	0	0	0	0	0	0
caat-sc.perf.fib_safe-5.yml.log	62208	62208	202320	194536	202320	194536
caat-sc.perf.fib_safe-6.yml.log	89920	89920	292384	281136	292384	281136
caat-sc.perf.fib_unsafe-5.yml.log	62208	62208	202320	194536	202320	194536
caat-sc.perf.fib_unsafe-6.yml.log	89920	89920	292384	281136	292384	281136
caat-sc.perf.fib_unsafe-7.yml.log	102080	102080	331904	319136	331904	319136
caat-sc.perf.lazy01.yml.log	1664	1664	5552	5336	5552	5336
caat-sc.perf.pthread-demo-datarace-3.yml.log	83840	83840	272624	262136	272624	262136
caat-sc.perf.queue.yml.log	51456	51456	167376	160936	167376	160936
caat-sc.perf.queue_ok.yml.log	58624	58624	190672	183336	190672	183336
caat-sc.perf.queue_ok_longer.yml.log	16244928	16244928	52796160	50765536	52796160	50765536
caat-sc.perf.queue_ok_longest.yml.log	64745856	64745856	210424176	202330936	210424176	202330936
caat-sc.perf.race-1_1-join.yml.log	0	0	0	0	0	0
caat-sc.perf.race-1_2-join.yml.log	1472	1472	4928	4736	4928	4736
caat-sc.perf.race-1_3-join.yml.log	1472	1472	4928	4736	4928	4736
caat-sc.perf.race-2_1-container_of.yml.log	0	0	0	0	0	0
caat-sc.perf.race-3_1-container_of-global.yml.log	0	0	0	0	0	0
caat-sc.perf.race-4_1-thread_local_vars.yml.log	0	0	0	0	0	0
caat-sc.perf.reorder_2.yml.log	10496	10496	34256	32936	34256	32936
caat-sc.perf.singleton.yml.log	2752	2752	9088	8736	9088	8736
caat-sc.perf.singleton_with-uninit-problems.yml.log	2816	2816	9296	8936	9296	8936
caat-sc.perf.stateful01-1.yml.log	1984	1984	6592	6336	6592	6336
caat-sc.perf.stateful01-2.yml.log	2048	2048	6800	6536	6800	6536
caat-sc.perf.szymanski.yml.log	1856	1856	6176	5936	6176	5936
caat-sc.perf.time_var_mutex.yml.log	1792	1792	5968	5736	5968	5736
caat-sc.perf.triangular-1.yml.log	8704	8704	28432	27336	28432	27336
caat-sc.perf.triangular-2.yml.log	8704	8704	28432	27336	28432	27336
caat-sc.perf.twostage_3.yml.log	12800	12800	41744	40136	41744	40136
caat-sc.perf.unwind2-1.yml.log	0	0	0	0	0	0
caat-sc.perf.unwind2-100.yml.log	0	0	0	0	0	0
caat-sc.perf.unwind3-1.yml.log	1152	1152	3888	3736	3888	3736
caat-tso.perf.01b_inc.yml.log	0	0	0	0	0	0
caat-tso.perf.02_inc_cas.yml.log	0	0	0	0	0	0
caat-tso.perf.13-privatized_01-priv_nr_true.yml.log	1184	1184	7536	7400	7536	7400
caat-tso.perf.13-privatized_18-first-reads_true.yml.log	896	896	5776	5672	5776	5672
caat-tso.perf.13-privatized_18-first-reads_unknown_1_neg.yml.log	608	608	4016	3944	4016	3944
caat-tso.perf.13-privatized_18-first-reads_unknown_2_pos.yml.log	608	608	4016	3944	4016	3944
caat-tso.perf.13-privatized_19-publish-precision_true.yml.log	1328	1328	8416	8264	8416	8264
caat-tso.perf.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-tso.perf.13-privatized_19-publish-precision_unknown_1_pos.yml.log	968	968	6216	6104	6216	6104
caat-tso.perf.13-privatized_19-publish-precision_unknown_2_neg.yml.log	968	968	6216	6104	6216	6104
caat-tso.perf.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0
caat-tso.perf.13-privatized_20-publish-regression_true.yml.log	896	896	5776	5672	5776	5672
caat-tso.perf.13-privatized_24-multiple-protecting_true.yml.log	3776	3776	23376	22952	23376	22952
caat-tso.perf.13-privatized_25-struct_nr_true.yml.log	1184	1184	7536	7400	7536	7400
caat-tso.perf.13-privatized_27-multiple-protecting2_true.yml.log	4424	4424	27336	26840	27336	26840
caat-tso.perf.13-privatized_29-multiple-protecting2-vesal_true.yml.log	2264	2264	14136	13880	14136	13880
caat-tso.perf.13-privatized_30-traces-oplus-vs-meet_true.yml.log	1544	1544	9736	9560	9736	9560
caat-tso.perf.13-privatized_31-traces-mine-vs-mutex_true.yml.log	1832	1832	11496	11288	11496	11288
caat-tso.perf.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	2192	2192	13696	13448	13696	13448
caat-tso.perf.13-privatized_33-traces-v-matters_true.yml.log	1400	1400	8856	8696	8856	8696
caat-tso.perf.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	1040	1040	6656	6536	6656	6536
caat-tso.perf.13-privatized_35-traces-ex-2_true.yml.log	1472	1472	9296	9128	9296	9128
caat-tso.perf.13-privatized_36-traces-ex-3_true.yml.log	1328	1328	8416	8264	8416	8264
caat-tso.perf.13-privatized_37-traces-ex-4_true.yml.log	1112	1112	7096	6968	7096	6968
caat-tso.perf.13-privatized_38-traces-ex-4-switch_true.yml.log	1472	1472	9296	9128	9296	9128
caat-tso.perf.13-privatized_40-traces-ex-6_true.yml.log	1040	1040	6656	6536	6656	6536
caat-tso.perf.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-tso.perf.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	968	968	6216	6104	6216	6104
caat-tso.perf.13-privatized_42-traces-ex-mini_true.yml.log	1400	1400	8856	8696	8856	8696
caat-tso.perf.13-privatized_44-traces-mine2_true.yml.log	968	968	6216	6104	6216	6104
caat-tso.perf.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	1472	1472	9296	9128	9296	9128
caat-tso.perf.13-privatized_46-refine-protected1_true.yml.log	0	0	0	0	0	0
caat-tso.perf.13-privatized_47-refine-protected2_true.yml.log	896	896	5776	5672	5776	5672
caat-tso.perf.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	0	0
caat-tso.perf.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	0	0	0	0
caat-tso.perf.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0
caat-tso.perf.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	0	0	0	0	0	0
caat-tso.perf.13-privatized_69-refine-protected-loop-interval_true.yml.log	0	0	0	0	0	0
caat-tso.perf.14_spin2003.yml.log	0	0	0	0	0	0
caat-tso.perf.28-race_reach_21-deref_read_racing.yml.log	0	0	0	0	0	0
caat-tso.perf.28-race_reach_45-escape_racing.yml.log	1400	1400	8856	8696	8856	8696
caat-tso.perf.28-race_reach_46-escape_racefree.yml.log	1256	1256	7976	7832	7976	7832
caat-tso.perf.29_conditionals_vs.yml.log	0	0	0	0	0	0
caat-tso.perf.36-apron_11-traces-max-simple_true.yml.log	896	896	5776	5672	5776	5672
caat-tso.perf.36-apron_16-traces-unprot2_true.yml.log	0	0	0	0	0	0
caat-tso.perf.36-apron_17-traces-rpb-litmus_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-tso.perf.36-apron_21-traces-cluster-based_true.yml.log	2552	2552	15896	15608	15896	15608
caat-tso.perf.36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml.log	0	0	0	0	0	0
caat-tso.perf.36-apron_41-threadenter-no-locals_unknown_1_pos.yml.log	0	0	0	0	0	0
caat-tso.perf.43_NetBSD_sysmon_power_sliced.yml.log	0	0	0	0	0	0
caat-tso.perf.45_monabsex1_vs.yml.log	0	0	0	0	0	0
caat-tso.perf.46_monabsex2_vs.yml.log	0	0	0	0	0	0
caat-tso.perf.48_ticket_lock_low_contention_vs-pthread.yml.log	0	0	0	0	0	0
caat-tso.perf.48_ticket_lock_low_contention_vs.yml.log	0	0	0	0	0	0
caat-tso.perf.butterfly.yml.log	4352	4352	26896	26408	26896	26408
caat-tso.perf.circular_buffer_bad.yml.log	12304	12304	75376	74008	75376	74008
caat-tso.perf.circular_buffer_ok.yml.log	66944	66944	409056	401624	409056	401624
caat-tso.perf.dekker-unfair.yml.log	2264	2264	14136	13880	14136	13880
caat-tso.perf.dekker.yml.log	2264	2264	14136	13880	14136	13880
caat-tso.perf.exponential-nondet.yml.log	0	0	0	0	0	0
caat-tso.perf.fib_safe-5.yml.log	70112	70112	428416	420632	428416	420632
caat-tso.perf.fib_safe-6.yml.log	101320	101320	619016	607768	619016	607768
caat-tso.perf.fib_unsafe-5.yml.log	70112	70112	428416	420632	428416	420632
caat-tso.perf.fib_unsafe-6.yml.log	101320	101320	619016	607768	619016	607768
caat-tso.perf.fib_unsafe-7.yml.log	115000	115000	702616	689848	702616	689848
caat-tso.perf.lazy01.yml.log	1904	1904	11936	11720	11936	11720
caat-tso.perf.pthread-demo-datarace-3.yml.log	94480	94480	577216	566728	577216	566728
caat-tso.perf.queue.yml.log	58016	58016	354496	348056	354496	348056
caat-tso.perf.queue_ok.yml.log	66080	66080	403776	396440	403776	396440
caat-tso.perf.queue_ok_longer.yml.log	18277560	18277560	111689336	109658712	111689336	109658712
caat-tso.perf.queue_ok_longest.yml.log	72843120	72843120	445138256	437045016	445138256	437045016
caat-tso.perf.race-1_1-join.yml.log	0	0	0	0	0	0
caat-tso.perf.race-1_2-join.yml.log	1688	1688	10616	10424	10616	10424
caat-tso.perf.race-1_3-join.yml.log	1688	1688	10616	10424	10616	10424
caat-tso.perf.race-2_1-container_of.yml.log	0	0	0	0	0	0
caat-tso.perf.race-3_1-container_of-global.yml.log	0	0	0	0	0	0
caat-tso.perf.race-4_1-thread_local_vars.yml.log	0	0	0	0	0	0
caat-tso.perf.reorder_2.yml.log	11872	11872	72736	71416	72736	71416
caat-tso.perf.singleton.yml.log	3128	3128	19416	19064	19416	19064
caat-tso.perf.singleton_with-uninit-problems.yml.log	3200	3200	19856	19496	19856	19496
caat-tso.perf.stateful01-1.yml.log	2264	2264	14136	13880	14136	13880
caat-tso.perf.stateful01-2.yml.log	2336	2336	14576	14312	14576	14312
caat-tso.perf.szymanski.yml.log	2120	2120	13256	13016	13256	13016
caat-tso.perf.time_var_mutex.yml.log	2048	2048	12816	12584	12816	12584
caat-tso.perf.triangular-1.yml.log	9856	9856	60416	59320	60416	59320
caat-tso.perf.triangular-2.yml.log	9856	9856	60416	59320	60416	59320
caat-tso.perf.twostage_3.yml.log	14464	14464	88576	86968	88576	86968
caat-tso.perf.unwind2-1.yml.log	0	0	0	0	0	0
caat-tso.perf.unwind2-100.yml.log	0	0	0	0	0	0
caat-tso.perf.unwind3-1.yml.log	1328	1328	8416	8264	8416	8264
