tool			Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0	Deagle 4.1.0	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)	CBMC 5.70.0 (cbmc-5.70.0-121-g4f69955d00)
run set			deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	deagle-ilp32-census.deagle.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call	cbmc-ilp32-census-all.cbmc.r01.unreach-call
/Users/sujie/Documents/Codes/C++/GenMC/genmc/optimization-analysis/svcomp2026/remote-results/new-server/			status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
cbmc/sv-benchmarks/c/weaver/popl20-nonblocking-cntr-alt.wvr.yml	unreach-call	true					TIMEOUT	11.007210238	11.00791120599024	86.941696
cbmc/sv-benchmarks/c/weaver/mult-dist.wvr.yml	unreach-call	true					TIMEOUT	11.004356628	11.008885276969522	60.637184
cbmc/sv-benchmarks/c/weaver/chl-sre-symm.wvr.yml	unreach-call	true					true	0.242990133	0.25401423301082104	7.921664
cbmc/sv-benchmarks/c/weaver/clever.wvr.yml	unreach-call	true					TIMEOUT	10.9824962	11.008987607026938	394.579968
cbmc/sv-benchmarks/c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	unreach-call	true					TIMEOUT	11.042284149	11.005648438003846	586.620928
cbmc/sv-benchmarks/c/weaver/popl20-more-nonblocking-counter-alt2.wvr.yml	unreach-call	true					TIMEOUT	10.976209647	11.009106484998483	31.866880
cbmc/sv-benchmarks/c/weaver/mult-flipped-dist.wvr.yml	unreach-call	true					TIMEOUT	11.004348411	11.009404282958712	30.216192
cbmc/sv-benchmarks/c/weaver/popl20-counter-determinism.wvr.yml	unreach-call	true					false(unreach-call)	2.880640667	2.8898469289997593	72.990720
cbmc/sv-benchmarks/c/weaver/popl20-difference-det.wvr.yml	unreach-call	true					false(unreach-call)	1.590987285	1.599337145977188	65.626112
cbmc/sv-benchmarks/c/weaver/parallel-misc-2.wvr.yml	unreach-call	true					false(unreach-call)	2.862277668	2.8764529670006596	103.870464
cbmc/sv-benchmarks/c/weaver/parallel-misc-4.wvr.yml	unreach-call	true					false(unreach-call)	2.616670616	2.633594137034379	93.716480
cbmc/sv-benchmarks/c/weaver/parallel-misc-2-unrolled-atomic.wvr.yml	unreach-call	true					TIMEOUT	11.008611696	11.009919910982717	126.439424
cbmc/sv-benchmarks/c/weaver/bench-exp2x3.wvr.yml	unreach-call	true					TIMEOUT	11.012133172	11.006978799006902	165.773312
cbmc/sv-benchmarks/c/weaver/chl-sre-trans.wvr.yml	unreach-call	true					true	0.253832576	0.2635169859859161	9.023488
cbmc/sv-benchmarks/c/weaver/parallel-ticket-3.wvr.yml	unreach-call	true					false(unreach-call)	0.210739119	0.21872342802817002	15.384576
cbmc/sv-benchmarks/c/weaver/spaghetti.wvr.yml	unreach-call	true					TIMEOUT	11.001966617	11.006651311006863	267.132928
cbmc/sv-benchmarks/c/weaver/bench-exp2x4.wvr.yml	unreach-call	true					TIMEOUT	11.008764564	11.009064456971828	118.935552
cbmc/sv-benchmarks/c/weaver/chl-sre-subst.wvr.yml	unreach-call	true					true	0.823649013	0.8336350540048443	10.719232
cbmc/sv-benchmarks/c/weaver/parallel-misc-3-extended.wvr.yml	unreach-call	true					false(unreach-call)	6.795087657	6.807539862988051	230.850560
cbmc/sv-benchmarks/c/weaver/chl-simpl-str-symm.wvr.yml	unreach-call	true					true	0.879693796	0.8906150740222074	10.944512
cbmc/sv-benchmarks/c/weaver/parallel-bluetooth.wvr.yml	unreach-call	true					true	0.242900534	0.25017200998263434	8.564736
cbmc/sv-benchmarks/c/weaver/popl20-bad-threaded-sum-2.wvr.yml	unreach-call	true					TIMEOUT	10.960844951	11.003314433037303	97.005568
cbmc/sv-benchmarks/c/weaver/bench-exp2x6.wvr.yml	unreach-call	true					TIMEOUT	11.024230038	11.010266254015733	360.382464
cbmc/sv-benchmarks/c/weaver/test-easy10.wvr.yml	unreach-call	true					true	2.196667449	2.210993116023019	19.656704
cbmc/sv-benchmarks/c/weaver/parallel-ticket-4.wvr.yml	unreach-call	true					false(unreach-call)	0.785360677	0.7949042830150574	24.367104
cbmc/sv-benchmarks/c/weaver/parallel-bakery-2.wvr.yml	unreach-call	true					true	1.039250031	1.0497100049979053	12.435456
cbmc/sv-benchmarks/c/weaver/array-eq-symm.wvr.yml	unreach-call	true					TIMEOUT	11.027139506	11.009998318040743	663.461888
cbmc/sv-benchmarks/c/weaver/popl20-mult-equiv.wvr.yml	unreach-call	true					TIMEOUT	10.97522498	11.007369920960627	72.101888
cbmc/sv-benchmarks/c/weaver/fibonacci.wvr.yml	unreach-call	true					TIMEOUT	11.010002357	11.006251132988837	91.127808
cbmc/sv-benchmarks/c/weaver/popl20-proofs-counter-add-4-semi-Q67.wvr.yml	unreach-call	true					TIMEOUT	11.012793112	11.010561620001681	124.596224
cbmc/sv-benchmarks/c/weaver/popl20-mult-4.wvr.yml	unreach-call	true					TIMEOUT	11.009136398	11.010551817016676	118.456320
cbmc/sv-benchmarks/c/weaver/chl-time-symm.wvr.yml	unreach-call	true					true	0.944530005	0.9532869310351089	13.729792
cbmc/sv-benchmarks/c/weaver/chl-file-item-symm.wvr.yml	unreach-call	true					true	0.837791632	0.8490985099924728	11.169792
cbmc/sv-benchmarks/c/weaver/bench-exp3x3.wvr.yml	unreach-call	true					TIMEOUT	11.003823038	11.007323606987484	90.734592
cbmc/sv-benchmarks/c/weaver/chl-simpl-str-trans.wvr.yml	unreach-call	true					true	0.892257853	0.9032086590304971	14.327808
cbmc/sv-benchmarks/c/weaver/popl20-channel-sum.wvr.yml	unreach-call	true					TIMEOUT	11.027169439	11.009662360011134	475.795456
cbmc/sv-benchmarks/c/weaver/bench-exp2x9.wvr.yml	unreach-call	true					TIMEOUT	10.95775845	11.009593781025615	121.323520
cbmc/sv-benchmarks/c/weaver/popl20-bad-counter-queue.wvr.yml	unreach-call	false					false(unreach-call)	0.277365099	0.28778294299263507	15.781888
cbmc/sv-benchmarks/c/weaver/unroll-2.wvr.yml	unreach-call	true					TIMEOUT	11.008783871	11.006272235012148	647.901184
cbmc/sv-benchmarks/c/weaver/test-context1.wvr.yml	unreach-call	true					TIMEOUT	11.028533022	11.006289709999692	459.460608
cbmc/sv-benchmarks/c/weaver/popl20-simple-queue.wvr.yml	unreach-call	true					TIMEOUT	11.022036596	11.00995454902295	418.586624
cbmc/sv-benchmarks/c/weaver/chl-match-symm.wvr.yml	unreach-call	true					true	1.243269387	1.2605907160323113	14.901248
cbmc/sv-benchmarks/c/weaver/chl-simpl-str-subst.wvr.yml	unreach-call	true					true	1.148451865	1.1584127320093103	15.011840
cbmc/sv-benchmarks/c/weaver/popl20-more-sorted.wvr.yml	unreach-call	true					TIMEOUT	11.030805532	11.007516561017837	484.515840
cbmc/sv-benchmarks/c/weaver/popl20-more-sum-array-hom.wvr.yml	unreach-call	true					TIMEOUT	11.012330462	11.010278014990035	190.853120
cbmc/sv-benchmarks/c/weaver/parallel-ticket-5.wvr.yml	unreach-call	true					false(unreach-call)	1.21456417	1.2176887260284275	37.376000
cbmc/sv-benchmarks/c/weaver/unroll-cond-2.wvr.yml	unreach-call	true					TIMEOUT	11.04563125	11.006742611993104	864.899072
