model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,max_rf_same_value_class,realized_revisit_prefixes,rf_offered,rf_queued,rf_same_value_candidate_upper_bound,rf_same_value_choice_points,rf_value_choice_points,rf_value_classes,validity_queries,work_added,work_popped
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/popl20-prod-cons-eq.wvr.yml,true,correct,0.069399702,0.09247989708092064,25858048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/chl-name-comparator-subst.wvr.yml,true,correct,0.069480979,0.08568895806092769,25907200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/popl20-bad-commit-1.wvr-bad.yml,true,correct,0.075326072,0.08935917296912521,25788416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/chl-nzb-file-trans.wvr.yml,true,correct,0.093966953,0.10326283005997539,25976832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/chl-nzb-file-subst.wvr.yml,true,correct,0.095918613,0.10809797700494528,26001408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/weaver/chl-poker-hand-trans.wvr.yml,true,correct,0.121985478,0.14401845505926758,26726400,2,2,3,0,0,2,1,4,9,2,0,0,2,4,4,4,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/28_buggy_simple_loop1_vf.yml,TIMEOUT,error,60.988695294,61.02109813806601,26112000,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/14_spin2003.yml,true,correct,0.065097757,0.07792096305638552,26144768,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml,true,correct,0.070841347,0.09072136995382607,26091520,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/45_monabsex1_vs.yml,true,correct,0.066731563,0.08154441509395838,26140672,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/31_simple_loop5_vs.yml,TIMEOUT,error,60.730680174,61.047543279011734,360144896,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/stateful01-2.yml,true,correct,0.070305745,0.08174279902596027,26140672,5,5,31,0,0,5,3,8,18,5,5,3,3,3,9,10,10
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/01b_inc.yml,true,correct,0.063391674,0.07429824897553772,26128384,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-1.yml,true,correct,22.31382172,22.34435651404783,26230784,16631,16631,93321,0,0,46,8,27390,54976,16631,16631,10759,10759,10759,32277,33262,33262
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/09_fmaxsym-zero.yml,true,correct,0.068701466,0.08283564099110663,26136576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/35_double_lock_p3_vs.yml,true,correct,0.069733255,0.0814109779894352,26144768,2,2,7,0,0,3,1,4,7,2,0,0,2,4,4,4,4
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/triangular-longer-2.yml,TIMEOUT,error,60.918577416,61.02099955594167,26140672,11753,11753,86635,0,0,62,6,21383,49216,11768,11768,9643,9643,9643,28903,23521,23493
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/02_inc_cas.yml,true,correct,0.063479359,0.08213581203017384,26185728,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_21-deref_read_racing.yml,ERROR (unsupported property: invalid memory access),error,3.099926485,3.1146900550229475,56377344,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/11_fmaxsymopt-zero.yml,true,correct,0.070931751,0.08395820204168558,26136576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/48_ticket_lock_low_contention_vs.yml,true,correct,0.0719108,0.08160604408476502,26087424,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_37-indirect_racing.yml,TIMEOUT,error,61.006189611,61.030418187961914,262471680,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_46-escape_racefree.yml,true,correct,0.071037278,0.081753253005445,26206208,1,1,19,0,0,2,2,2,10,1,1,1,1,1,3,2,2
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/37_stack_lock_p0_vs_concur.yml,true,correct,0.880499174,0.9085149829043075,26267648,0,0,194,0,0,0,0,0,97,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_05-lockfuns_racefree.yml,TIMEOUT,error,60.992299159,61.033418160979636,262860800,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/11_fmaxsymopt.yml,true,correct,0.070087462,0.08070862398017198,26095616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_02-simple_racefree.yml,TIMEOUT,error,60.967605747,61.02959526097402,262807552,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_12-ptr_racefree.yml,TIMEOUT,error,60.996930688,61.03082314692438,262668288,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_bad.yml,false(unreach-call),correct,0.089458437,0.10402124398387969,26288128,8,8,126,0,0,50,8,9,112,49,49,7,7,7,7,58,10
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-6.yml,TIMEOUT,error,60.635393826,61.013625410036184,26210304,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-5.yml,false(unreach-call),correct,5.500106325,5.528462518006563,26140672,642,642,3736,0,0,26,6,1108,2204,652,652,475,475,475,1405,1295,1275
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-7.yml,TIMEOUT,error,60.958822027,61.01341897610109,26124288,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_safe-11.yml,TIMEOUT,error,60.705191016,61.01610790891573,26161152,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-10.yml,TIMEOUT,error,60.920875154,61.017405797028914,26177536,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/fib_unsafe-12.yml,TIMEOUT,error,60.973611608,61.018925820011646,26210304,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_24-sound_lock_racing.yml,TIMEOUT,error,60.902725445,61.0311355110025,262881280,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/03_incdec.yml,true,correct,0.067716374,0.08079702197574079,26087424,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-deagle/circular_buffer_ok.yml,true,correct,17.235290021,17.258108851965517,26271744,3431,3431,22305,0,0,50,8,5147,12868,3431,3431,1716,1716,1716,5148,6862,6862
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_20-callback_racefree.yml,TIMEOUT,error,61.004831414,61.0257520750165,262893568,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_23-sound_unlock_racing.yml,ERROR (unsupported external),error,1.26575638,1.2818887850735337,26279936,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_04-munge_racefree.yml,TIMEOUT,error,61.025984318,61.058449013973586,902574080,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_10-ptrmunge_racefree.yml,TIMEOUT,error,61.022424979,61.05871748004574,902672384,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_60-invariant_racefree.yml,TIMEOUT,error,61.010042101,61.036272181081586,262795264,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-lit/qw2004-2b.yml,false(unreach-call),correct,0.091676731,0.10563724196981639,26181632,22,22,169,0,0,24,6,34,116,40,40,16,16,16,38,63,40
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/26_stack_cas_longer-2.yml,TIMEOUT,error,60.980301016,61.01995285297744,34099200,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/26_stack_cas_longer-1.yml,false(unreach-call),correct,0.0870125,0.0995778419310227,26484736,0,0,11,0,0,1,0,1,6,0,0,0,0,0,0,1,1
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-ext/25_stack.yml,TIMEOUT,error,60.978338059,61.01958948094398,32935936,,,,,,,,,,,,,,,,,
