category	cputime	executions	expected	memory	model	repetition	status	task	variant	walltime
correct	13.089478651		true	25948160.0	sc	01	true	pthread/butterfly.yml	baseline	13.102970091043971
correct	0.06386954		true	25792512.0	sc	01	true	pthread-ext/43_NetBSD_sysmon_power_sliced.yml	baseline	0.07148100301856175
error	23.144070589		false	3999997952.0	sc	01	OUT OF MEMORY	goblint-regression/28-race_reach_06-cond_racing1.yml	baseline	23.16691611497663
correct	0.078519153		true	26038272.0	sc	01	true	pthread/queue_ok.yml	baseline	0.08321908098878339
correct	1.31247238		true	160448512.0	sc	01	true	pthread/queue_ok_longer.yml	baseline	1.3204835269716568
correct	6.778304532		true	596893696.0	sc	01	true	pthread/queue_ok_longest.yml	baseline	6.786802568996791
error	61.028953165		false	630829056.0	sc	01	TIMEOUT	pthread/queue_longer.yml	baseline	61.063617250998504
correct	0.097362681		false	26005504.0	sc	01	false(unreach-call)	pthread/queue.yml	baseline	0.10119431797647849
correct	0.071776482		false	26087424.0	sc	01	false(unreach-call)	pthread/singleton.yml	baseline	0.07974442600971088
correct	0.073458058		true	26050560.0	sc	01	true	pthread/singleton_with-uninit-problems.yml	baseline	0.08308087603654712
correct	0.12264112		false	25935872.0	sc	01	false(unreach-call)	pthread-C-DAC/pthread-demo-datarace-3.yml	baseline	0.13082019198918715
correct	0.159318022		false	25997312.0	sc	01	false(unreach-call)	pthread/reorder_2.yml	baseline	0.16883132996736094
correct	0.090293317		false	26202112.0	sc	01	false(unreach-call)	pthread/twostage_3.yml	baseline	0.09627333795651793
correct	0.073011281		true	26066944.0	sc	01	true	ldv-races/race-1_1-join.yml	baseline	0.08051935402909294
correct	0.069665992		false	26091520.0	sc	01	false(unreach-call)	ldv-races/race-1_3-join.yml	baseline	0.0766249870066531
correct	0.074557044		false	26136576.0	sc	01	false(unreach-call)	ldv-races/race-1_2-join.yml	baseline	0.08022314601112157
correct	0.075290021		true	26079232.0	sc	01	true	ldv-races/race-4_1-thread_local_vars.yml	baseline	0.08383404702180997
correct	0.072184431		true	26120192.0	sc	01	true	ldv-races/race-2_1-container_of.yml	baseline	0.0822184740100056
correct	0.077664239		true	26087424.0	sc	01	true	ldv-races/race-3_1-container_of-global.yml	baseline	0.08284392696805298
correct	0.077533025		true	25829376.0	sc	01	true	goblint-regression/13-privatized_66-mine-W-init_true.yml	cache	0.08333439199486747
correct	0.074084394		false	25821184.0	sc	01	false(unreach-call)	goblint-regression/36-apron_41-threadenter-no-locals_unknown_1_pos.yml	cache	0.07689929899061099
correct	0.076591114		true	25821184.0	sc	01	true	goblint-regression/36-apron_16-traces-unprot2_true.yml	cache	0.08207763102836907
correct	0.066468669		true	25747456.0	sc	01	true	goblint-regression/13-privatized_57-singlethreaded-unlock_true.yml	cache	0.0726791070192121
correct	0.07169011		true	25821184.0	sc	01	true	goblint-regression/13-privatized_47-refine-protected2_true.yml	cache	0.07757208403199911
correct	0.070502483		true	25784320.0	sc	01	true	goblint-regression/13-privatized_46-refine-protected1_true.yml	cache	0.07659805996809155
correct	0.066581457		true	25845760.0	sc	01	true	goblint-regression/36-apron_11-traces-max-simple_true.yml	cache	0.07217309100087732
correct	0.06990404		false	25747456.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	cache	0.07457742397673428
correct	0.067414312		false	25800704.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_41-traces-ex-7_unknown_1_neg.yml	cache	0.07222325698239729
correct	0.062764643		true	25849856.0	sc	01	true	goblint-regression/13-privatized_40-traces-ex-6_true.yml	cache	0.06951331498567015
correct	0.058200211		true	25825280.0	sc	01	true	goblint-regression/13-privatized_58-singlethreaded-lock_true.yml	cache	0.06305861001601443
correct	0.070199887		true	25829376.0	sc	01	true	goblint-regression/13-privatized_44-traces-mine2_true.yml	cache	0.07598354702349752
correct	0.066639697		false	25849856.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_2_pos.yml	cache	0.07173974998295307
correct	0.07097799		false	25870336.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	cache	0.07842730404809117
correct	0.067194451		true	25755648.0	sc	01	true	goblint-regression/13-privatized_36-traces-ex-3_true.yml	cache	0.07024918199749663
correct	0.067561611		true	25804800.0	sc	01	true	goblint-regression/13-privatized_18-first-reads_true.yml	cache	0.0723731920006685
correct	0.069005638		true	25735168.0	sc	01	true	goblint-regression/13-privatized_35-traces-ex-2_true.yml	cache	0.07643541996367276
correct	0.067768318		true	25821184.0	sc	01	true	goblint-regression/13-privatized_37-traces-ex-4_true.yml	cache	0.0742314129602164
correct	0.073256639		true	25853952.0	sc	01	true	goblint-regression/13-privatized_38-traces-ex-4-switch_true.yml	cache	0.07966689998283982
correct	0.070823387		false	25763840.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_pos.yml	cache	0.07428413699381053
correct	0.07179127		false	25817088.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	cache	0.08147098298650235
correct	0.069718553		false	25833472.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_1_neg.yml	cache	0.07705671200528741
correct	0.067396843		false	25767936.0	sc	01	false(unreach-call)	goblint-regression/13-privatized_19-publish-precision_unknown_2_neg.yml	cache	0.08239957701880485
correct	0.069137682		true	25743360.0	sc	01	true	goblint-regression/13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	cache	0.07916519104037434
correct	0.067265784		true	25767936.0	sc	01	true	goblint-regression/13-privatized_01-priv_nr_true.yml	cache	0.07708041998557746
correct	0.070016992		true	25833472.0	sc	01	true	goblint-regression/13-privatized_19-publish-precision_true.yml	cache	0.08130022400291637
correct	0.06950255		true	25862144.0	sc	01	true	goblint-regression/13-privatized_42-traces-ex-mini_true.yml	cache	0.07761110598221421
correct	0.072688549		true	25829376.0	sc	01	true	goblint-regression/13-privatized_33-traces-v-matters_true.yml	cache	0.08017998503055423
correct	0.071676768		true	25833472.0	sc	01	true	goblint-regression/13-privatized_25-struct_nr_true.yml	cache	0.07663229299942032
correct	0.064617394		true	25837568.0	sc	01	true	goblint-regression/13-privatized_69-refine-protected-loop-interval_true.yml	cache	0.07472181902267039
correct	0.069143334		false	25800704.0	sc	01	false(unreach-call)	goblint-regression/36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	cache	0.07763516495469958
correct	0.069271094		true	25903104.0	sc	01	true	goblint-regression/13-privatized_31-traces-mine-vs-mutex_true.yml	cache	0.08235764596611261
correct	0.066838204		true	25821184.0	sc	01	true	goblint-regression/13-privatized_20-publish-regression_true.yml	cache	0.07662689796416089
correct	0.07638094		true	25804800.0	sc	01	true	goblint-regression/13-privatized_30-traces-oplus-vs-meet_true.yml	cache	0.08815129596041515
correct	0.074067297		true	25858048.0	sc	01	true	goblint-regression/13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	cache	0.07776313403155655
correct	0.073852375		true	25821184.0	sc	01	true	goblint-regression/13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	cache	0.08224985498236492
correct	0.081884835		true	25903104.0	sc	01	true	goblint-regression/13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	cache	0.08565852098399773
correct	0.074674596		true	25829376.0	sc	01	true	goblint-regression/13-privatized_29-multiple-protecting2-vesal_true.yml	cache	0.08371666597668082
correct	0.070977362		true	25899008.0	sc	01	true	goblint-regression/13-privatized_24-multiple-protecting_true.yml	cache	0.08376497001154348
correct	0.077142505		true	25890816.0	sc	01	true	goblint-regression/36-apron_21-traces-cluster-based_true.yml	cache	0.08574836800107732
correct	0.077200711		true	25829376.0	sc	01	true	goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	cache	0.08509341697208583
correct	0.093537171		true	25866240.0	sc	01	true	goblint-regression/13-privatized_27-multiple-protecting2_true.yml	cache	0.10009431996149942
correct	0.076130017		true	25829376.0	sc	01	true	pthread-ext/14_spin2003.yml	cache	0.0849432009854354
correct	0.0779875		true	25825280.0	sc	01	true	pthread-ext/29_conditionals_vs.yml	cache	0.0953131890273653
correct	0.078546991		true	25796608.0	sc	01	true	pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	cache	0.08793867100030184
correct	0.076946144		true	25763840.0	sc	01	true	pthread-ext/46_monabsex2_vs.yml	cache	0.0873208919656463
correct	0.072572488		true	25821184.0	sc	01	true	pthread-ext/45_monabsex1_vs.yml	cache	0.08169849799014628
correct	0.080077741		false	25870336.0	sc	01	false(unreach-call)	pthread/stateful01-1.yml	cache	0.09302719100378454
correct	0.076086669		true	25907200.0	sc	01	true	pthread/stateful01-2.yml	cache	0.08631116000469774
correct	0.075027896		true	25968640.0	sc	01	true	pthread-atomic/time_var_mutex.yml	cache	0.08290039101848379
correct	0.075898328		true	25853952.0	sc	01	true	pthread-ext/01b_inc.yml	cache	0.09000207798089832
correct	4.882025967		true	25882624.0	sc	01	true	pthread/triangular-1.yml	cache	4.89892464899458
