variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r03	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2464093	5768	30	168	7121	5648	1
after	pso	r03	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2568779	6824	36	152	7396	5847	1
after	pso	r03	13-privatized_33-traces-v-matters_true.yml	0	281136	5240	27	20	466	391	1
after	pso	r03	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	302499	5416	28	24	707	577	1
after	pso	r03	13-privatized_35-traces-ex-2_true.yml	0	678680	4888	25	60	1846	1481	1
after	pso	r03	13-privatized_36-traces-ex-3_true.yml	0	739806	4360	22	54	1168	943	1
after	pso	r03	13-privatized_37-traces-ex-4_true.yml	0	781957	4888	25	56	1685	1353	1
after	pso	r03	13-privatized_38-traces-ex-4-switch_true.yml	0	899672	4888	25	60	1818	1453	1
after	pso	r03	13-privatized_40-traces-ex-6_true.yml	0	205119	4184	21	16	264	222	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	43670	2776	13	2	44	36	1
after	pso	r03	13-privatized_42-traces-ex-mini_true.yml	0	614147	5064	26	40	1079	843	1
after	pso	r03	13-privatized_44-traces-mine2_true.yml	0	102264	4184	21	6	108	92	1
after	pso	r03	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	873616	4888	25	58	1776	1345	1
after	pso	r03	13-privatized_46-refine-protected1_true.yml	0	109452	2952	14	8	176	117	1
after	pso	r03	13-privatized_47-refine-protected2_true.yml	0	272030	3128	15	20	289	239	1
after	pso	r03	13-privatized_57-singlethreaded-unlock_true.yml	0	34541	1544	6	2	13	9	1
after	pso	r03	13-privatized_58-singlethreaded-lock_true.yml	0	42228	1544	6	2	13	9	1
after	pso	r03	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	1
after	pso	r03	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	33876	2248	10	2	13	13	1
after	pso	r03	13-privatized_69-refine-protected-loop-interval_true.yml	0	35255	2248	10	2	13	13	1
after	pso	r03	14_spin2003.yml	0	31598	2600	12	2	20	16	1
after	pso	r03	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_21-deref_read_racing.yml	0	0	0	0	0	0	0	1
after	pso	r03	28-race_reach_24-sound_lock_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_37-indirect_racing.yml	0	0	0	0	0	0	0	0
after	pso	r03	28-race_reach_45-escape_racing.yml	0	36794	3832	19	2	78	63	1
after	pso	r03	28-race_reach_46-escape_racefree.yml	0	1265542	5592	29	56	2166	1718	1
after	pso	r03	29_conditionals_vs.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_11-traces-max-simple_true.yml	0	219256	3304	16	20	303	253	1
after	pso	r03	36-apron_16-traces-unprot2_true.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_21-traces-cluster-based_true.yml	0	2825264	6648	35	172	5641	4874	1
after	pso	r03	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	0	0	0	0	0	0	0	1
after	pso	r03	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	0	0	0	0	0	0	0	1
after	pso	r03	43_NetBSD_sysmon_power_sliced.yml	0	0	0	0	0	0	0	1
after	pso	r03	45_monabsex1_vs.yml	0	103856	3304	16	8	210	144	1
after	pso	r03	46_monabsex2_vs.yml	0	280395	4184	21	18	831	558	1
after	pso	r03	48_ticket_lock_low_contention_vs-pthread.yml	0	43488	2600	12	2	20	16	1
after	pso	r03	48_ticket_lock_low_contention_vs.yml	0	162016	4888	25	8	428	345	1
after	pso	r03	butterfly.yml	0	14945282727	11224	61	694890	64655580	63118065	1
after	pso	r03	circular_buffer_bad.yml	0	15514998	31880	89	476	123721	90056	1
after	pso	r03	circular_buffer_ok.yml	0	0	0	0	0	0	0	0
after	pso	r03	dekker-unfair.yml	0	1090482	6648	35	74	4327	4033	1
after	pso	r03	dekker.yml	0	1040545	6648	35	70	4168	3884	1
after	pso	r03	exponential-nondet.yml	0	0	0	0	0	0	0	1
after	pso	r03	fib_safe-5.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_safe-6.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-5.yml	0	12263665996	171752	243	96526	59081568	48653991	1
after	pso	r03	fib_unsafe-6.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-7.yml	0	0	0	0	0	0	0	0
after	pso	r03	lazy01.yml	0	427659	5592	29	36	1292	1083	1
after	pso	r03	pthread-demo-datarace-3.yml	0	40639680	231304	262	80	930799	667018	1
after	pso	r03	queue.yml	0	626251352	145000	205	5918	8338574	5756739	1
after	pso	r03	queue_longer.yml	0	0	0	0	0	0	0	0
after	pso	r03	queue_ok.yml	0	10097739	534328	433	34	139619	112697	1
after	pso	r03	queue_ok_longer.yml	119702772	3462640669	44133960	8033	34	50040459	40080337	1
after	pso	r03	queue_ok_longest.yml	438034983	14403677930	174022760	16033	34	199599659	159839537	1
after	pso	r03	race-1_1-join.yml	0	69678	3304	16	6	62	49	1
after	pso	r03	race-1_2-join.yml	0	310211	5416	28	26	955	695	1
after	pso	r03	race-1_3-join.yml	0	305238	5416	28	26	955	695	1
after	pso	r03	race-2_1-container_of.yml	0	0	0	0	0	0	0	1
