variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	returnvalue	executions	lazy-cycle-checks	reasoner-calls	reasoner-ns	reasoner-table-slots	reasoner-derived-candidates	reasoner-composition-middles	provenance-materializations	provenance-materialization-ns	provenance-materialization-ops	nogood-learn-attempts	nogood-learned	nogood-match-queries	nogood-literal-checks	nogood-hits	nogood-maximum-bytes
baseline	sc	r01	race-1_3-join.yml	false(unreach-call)	correct	0.059598648	0.06481748993974179	26075136.0	42	1	0														
baseline	sc	r01	race-1_2-join.yml	false(unreach-call)	correct	0.067936126	0.07379655493423343	26083328.0	42	1	0														
baseline	sc	r01	race-4_1-thread_local_vars.yml	true	correct	0.064897998	0.06913479196373373	26124288.0	0	0	0														
baseline	sc	r01	race-2_1-container_of.yml	true	correct	0.064592361	0.07095181196928024	26165248.0	0	1	0														
baseline	sc	r01	race-3_1-container_of-global.yml	true	correct	0.064680124	0.07139928301330656	26083328.0	0	1	0														
baseline	sc	r02	13-privatized_66-mine-W-init_true.yml	true	correct	0.067490762	0.08821293793153018	25698304.0	0	1	0														
baseline	sc	r02	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false(unreach-call)	correct	0.068127902	0.0732439219718799	25702400.0	42	0	0														
baseline	sc	r02	36-apron_16-traces-unprot2_true.yml	true	correct	0.064053693	0.07235343602951616	25747456.0	0	1	0														
baseline	sc	r02	13-privatized_57-singlethreaded-unlock_true.yml	true	correct	0.066172361	0.07094631099607795	25800704.0	0	1	0														
baseline	sc	r02	13-privatized_47-refine-protected2_true.yml	true	correct	0.069832392	0.07600182294845581	25800704.0	0	2	0														
baseline	sc	r02	13-privatized_46-refine-protected1_true.yml	true	correct	0.066251104	0.0723635540343821	25780224.0	0	1	0														
baseline	sc	r02	36-apron_11-traces-max-simple_true.yml	true	correct	0.065931762	0.06923202401958406	25817088.0	0	2	0														
baseline	sc	r02	13-privatized_41-traces-ex-7_unknown_1_pos.yml	false(unreach-call)	correct	0.064230105	0.0749121030094102	25817088.0	42	0	0														
baseline	sc	r02	13-privatized_41-traces-ex-7_unknown_1_neg.yml	false(unreach-call)	correct	0.06733361	0.07236650900449604	25812992.0	42	0	0														
baseline	sc	r02	13-privatized_40-traces-ex-6_true.yml	true	correct	0.067625935	0.08051790797617286	25808896.0	0	1	0														
baseline	sc	r02	13-privatized_58-singlethreaded-lock_true.yml	true	correct	0.069917998	0.07583221595268697	25841664.0	0	1	0														
baseline	sc	r02	13-privatized_44-traces-mine2_true.yml	true	correct	0.065788048	0.08743680897168815	25825280.0	0	1	0														
baseline	sc	r02	13-privatized_18-first-reads_unknown_2_pos.yml	false(unreach-call)	correct	0.068006449	0.07281316199805588	25870336.0	42	0	0														
baseline	sc	r02	13-privatized_18-first-reads_unknown_1_neg.yml	false(unreach-call)	correct	0.070138083	0.07459720794577152	25882624.0	42	0	0														
baseline	sc	r02	13-privatized_36-traces-ex-3_true.yml	true	correct	0.071766792	0.0766857829876244	25755648.0	0	3	0														
baseline	sc	r02	13-privatized_18-first-reads_true.yml	true	correct	0.064188173	0.06908978696446866	25894912.0	0	2	0														
baseline	sc	r02	13-privatized_35-traces-ex-2_true.yml	true	correct	0.07228947	0.07835058798082173	25821184.0	0	2	0														
baseline	sc	r02	13-privatized_37-traces-ex-4_true.yml	true	correct	0.068080678	0.07264608202967793	25841664.0	0	2	0														
baseline	sc	r02	13-privatized_38-traces-ex-4-switch_true.yml	true	correct	0.070489446	0.07344995299354196	25825280.0	0	2	0														
baseline	sc	r02	13-privatized_19-publish-precision_unknown_1_pos.yml	false(unreach-call)	correct	0.071713055	0.0786920509999618	25800704.0	42	0	0														
baseline	sc	r02	13-privatized_19-publish-precision_unknown_2_pos.yml	false(unreach-call)	correct	0.074677379	0.08037355402484536	25784320.0	42	0	0														
baseline	sc	r02	13-privatized_19-publish-precision_unknown_1_neg.yml	false(unreach-call)	correct	0.070301415	0.07381475006695837	25853952.0	42	0	0														
baseline	sc	r02	13-privatized_19-publish-precision_unknown_2_neg.yml	false(unreach-call)	correct	0.066049289	0.07017583097331226	25825280.0	42	0	0														
baseline	sc	r02	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	correct	0.066376683	0.07074598106555641	25862144.0	0	2	0														
baseline	sc	r02	13-privatized_01-priv_nr_true.yml	true	correct	0.062278063	0.06891207001172006	25882624.0	0	2	0														
baseline	sc	r02	13-privatized_19-publish-precision_true.yml	true	correct	0.070908676	0.07793738099280745	25845760.0	0	3	0														
baseline	sc	r02	13-privatized_42-traces-ex-mini_true.yml	true	correct	0.06723495	0.07135465496685356	25796608.0	0	2	0														
baseline	sc	r02	13-privatized_33-traces-v-matters_true.yml	true	correct	0.066378138	0.0720903939800337	25870336.0	0	1	0														
baseline	sc	r02	13-privatized_25-struct_nr_true.yml	true	correct	0.069701541	0.07703502604272217	25894912.0	0	2	0														
baseline	sc	r02	13-privatized_69-refine-protected-loop-interval_true.yml	true	correct	0.068764552	0.08001438097562641	25829376.0	0	0	0														
baseline	sc	r02	36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false(unreach-call)	correct	0.068548519	0.07737301092129201	25804800.0	42	0	0														
baseline	sc	r02	13-privatized_31-traces-mine-vs-mutex_true.yml	true	correct	0.069934806	0.07321719196625054	25878528.0	0	4	0														
baseline	sc	r02	13-privatized_20-publish-regression_true.yml	true	correct	0.067386768	0.07391730404924601	25780224.0	0	2	0														
baseline	sc	r02	13-privatized_30-traces-oplus-vs-meet_true.yml	true	correct	0.067455336	0.07338614703621715	25858048.0	0	2	0														
baseline	sc	r02	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	correct	0.072958571	0.07557576498948038	25845760.0	0	3	0														
baseline	sc	r02	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	correct	0.071332357	0.07797014201059937	25845760.0	0	1	0														
baseline	sc	r02	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	correct	0.067802184	0.07379078306257725	25841664.0	0	0	0														
baseline	sc	r02	13-privatized_29-multiple-protecting2-vesal_true.yml	true	correct	0.067003125	0.07598488300573081	25858048.0	0	4	0														
baseline	sc	r02	13-privatized_24-multiple-protecting_true.yml	true	correct	0.074466481	0.08152771694585681	25907200.0	0	7	0														
baseline	sc	r02	36-apron_21-traces-cluster-based_true.yml	true	correct	0.068808156	0.07552395097445697	25956352.0	0	6	0														
baseline	sc	r02	36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	correct	0.073275865	0.07990260003134608	25821184.0	0	1	0														
baseline	sc	r02	13-privatized_27-multiple-protecting2_true.yml	true	correct	0.077643228	0.08519692195113748	25878528.0	0	26	0														
baseline	sc	r02	14_spin2003.yml	true	correct	0.068325457	0.07326204900164157	25747456.0	0	0	0														
baseline	sc	r02	29_conditionals_vs.yml	true	correct	0.069113532	0.07195408002007753	25751552.0	0	0	0														
