variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r01	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	26345472
after	pso	r01	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26349568
after	pso	r01	reorder_2.yml	0	244604087	29416	82	12692	356071	0	6346	581642	1323681	0	162	1	26218496
after	pso	r01	singleton.yml	0	543549	8760	47	40	280	0	20	1389	2398	0	1	1	26341376
after	pso	r01	singleton_with-uninit-problems.yml	0	1729732	8936	48	130	956	0	65	4022	5806	0	4	1	26279936
after	pso	r01	stateful01-1.yml	0	433219	6824	36	20	318	0	10	732	1874	0	0	1	26054656
after	pso	r01	stateful01-2.yml	0	2507503	6824	36	246	1692	0	123	4722	7687	0	6	1	26095616
after	pso	r01	szymanski.yml	0	6867282	5944	31	756	4332	0	378	19100	22401	0	6	1	26013696
after	pso	r01	time_var_mutex.yml	0	870253	6296	33	44	346	0	22	1211	2104	0	2	1	26046464
after	pso	r01	triangular-1.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	26071040
after	pso	r01	triangular-2.yml	0	7409535415	24488	68	493952	6107784	0	246976	13697731	25261021	0	3638	1	26112000
after	pso	r01	twostage_3.yml	0	4845763	36104	101	138	12711	0	69	16782	68265	0	4	1	26345472
after	pso	r01	unwind2-1.yml	0	75416	3656	18	6	30	0	3	100	104	0	1	1	26152960
after	pso	r01	unwind2-100.yml	0	71472	3656	18	6	30	0	3	100	104	0	1	1	26091520
after	pso	r01	unwind3-1.yml	0	78810	3656	18	6	83	0	3	175	345	0	1	1	26091520
after	pso	r02	01b_inc.yml	0	178585	4184	21	10	76	0	5	257	296	0	0	1	26058752
after	pso	r02	02_inc_cas.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26009600
after	pso	r02	13-privatized_01-priv_nr_true.yml	0	260580	4360	22	20	410	0	10	435	788	0	2	1	25972736
after	pso	r02	13-privatized_18-first-reads_true.yml	0	291019	3304	16	20	87	0	10	319	444	0	2	1	25985024
after	pso	r02	13-privatized_18-first-reads_unknown_1_neg.yml	0	44559	1896	8	2	12	0	1	37	62	0	0	1	25993216
after	pso	r02	13-privatized_18-first-reads_unknown_2_pos.yml	0	42430	1896	8	2	12	0	1	37	62	0	0	1	26079232
after	pso	r02	13-privatized_19-publish-precision_true.yml	0	973096	4536	23	66	521	0	33	1779	2234	0	3	1	25997312
after	pso	r02	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	26062848
after	pso	r02	13-privatized_19-publish-precision_unknown_1_pos.yml	0	50155	2776	13	2	17	0	1	62	114	0	0	1	26058752
after	pso	r02	13-privatized_19-publish-precision_unknown_2_neg.yml	0	49552	2776	13	2	17	0	1	62	114	0	0	1	26075136
after	pso	r02	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25989120
after	pso	r02	13-privatized_20-publish-regression_true.yml	0	391294	4712	24	36	387	0	18	758	899	0	2	1	26083328
after	pso	r02	13-privatized_24-multiple-protecting_true.yml	0	16491333	10520	57	852	12744	0	426	49443	79141	0	7	1	26095616
after	pso	r02	13-privatized_25-struct_nr_true.yml	0	336032	4360	22	20	410	0	10	435	788	0	2	1	25989120
after	pso	r02	13-privatized_27-multiple-protecting2_true.yml	0	56983231	11224	61	3092	47319	0	1546	126165	191546	0	26	1	26112000
after	pso	r02	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2661145	6824	36	176	1937	0	88	5589	7742	0	4	1	26071040
after	pso	r02	13-privatized_30-traces-oplus-vs-meet_true.yml	0	863749	5064	26	60	540	0	30	1470	1985	0	2	1	26058752
after	pso	r02	13-privatized_31-traces-mine-vs-mutex_true.yml	0	2240445	5768	30	168	1514	0	84	4423	5494	0	4	1	26042368
after	pso	r02	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2778573	6824	36	152	1965	0	76	5031	7134	0	3	1	26038272
after	pso	r02	13-privatized_33-traces-v-matters_true.yml	0	354107	5240	27	20	121	0	10	509	1029	0	1	1	26038272
after	pso	r02	13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	0	373366	5416	28	24	151	0	12	515	745	0	1	1	26005504
after	pso	r02	13-privatized_35-traces-ex-2_true.yml	0	615755	4888	25	60	403	0	30	1385	1805	0	2	1	25964544
after	pso	r02	13-privatized_36-traces-ex-3_true.yml	0	746288	4360	22	54	343	0	27	1132	1667	0	3	1	26038272
after	pso	r02	13-privatized_37-traces-ex-4_true.yml	0	781791	4888	25	56	316	0	28	1221	1498	0	2	1	26066944
